Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2017,261,AGC Division of APG Inc,PA,Investor Owned,RFC,538,531,"1,874,348",.,.,.,0,.,.,0,.,"1,874,348","431,636","1,442,712",.,.,.,"1,874,348","65,899.00",.,"25,734.00",811,.,"14,373.00","106,817.00",O
2017,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,126.2,108.3,0,"607,950",0,.,0,0,0,0,0,"607,950","585,887",0,0,699,"21,364","607,950","55,375.00",.,0,0,0,"1,289.00","56,664.00",O
2017,289,City of Alexander City,AL,Municipal,SERC,30.7,32.4,.,"149,183",.,.,0,.,.,0,.,"149,183","123,075",.,.,.,"26,108","149,183","13,107.00",.,.,.,.,.,"13,107.00",O
2017,295,City of Alexandria - (MN),MN,Municipal,MRO,58.5,47.9,.,"295,978",.,.,0,.,.,0,.,"295,978","280,236",.,.,.,"15,742","295,978","24,724.00",.,.,.,.,567.3,"25,291.30",O
2017,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,144.2,148.9,.,"1,002,739",.,.,0,"34,795","34,795",0,.,"1,002,739","983,883",.,.,341,"18,515","1,002,739","65,254.00",.,.,.,.,372,"65,626.00",O
2017,298,City of Alexandria - (LA),LA,Municipal,SPP,161,126,"194,158","734,723",.,.,0,.,.,0,.,"928,881","660,204","194,158","9,804",.,"64,715","928,881","66,890.50",.,"8,560.60",.,.,.,"75,451.10",O
2017,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,14.6,14.1,0,"91,074",0,0,.,0,0,.,0,"91,074","83,141",0,0,0,"7,933","91,074","14,836.00",.,.,.,.,.,"14,836.00",O
2017,307,Algoma Utility Comm,WI,Municipal,MISO,7.6,8,0,"42,514",0,0,.,0,0,.,0,"42,514","40,444",0,0,79,"1,991","42,514","4,302.50",.,.,.,.,31.5,"4,334.00",O
2017,308,City of Acworth - (GA),GA,Municipal,SERC,26.9,16.2,.,"97,683",.,.,0,"3,406",.,"3,406",.,"101,089","95,288",.,.,"1,538","4,263","101,089","13,082.70",.,.,.,.,"1,097.40","14,180.10",O
2017,309,City of Algona - (IA),IA,Municipal,MRO,24,18,"66,365","55,064",.,.,0,"109,602",.,"109,602","-3,504","227,527","114,097","109,603",.,.,"3,827","227,527","11,375.00",.,"4,064.00",.,.,.,"15,439.00",O
2017,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,MRO,26.9,28.3,102,"142,742",.,.,0,.,.,0,.,"142,844","126,114","8,804",.,498,"7,428","142,844","18,427.60",.,355,.,.,171.8,"18,954.40",O
2017,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,649.9,752.1,"2,170,757","1,364,320","62,158",.,"62,158",.,.,0,.,"3,597,235",.,"3,546,807",.,.,"50,428","3,597,235",.,.,"188,316.00","2,500.00","2,600.00","3,239.00","196,655.00",O
2017,343,AEP Generating Company,OH,Investor Owned,RFC,"1,315.00","2,518.00","6,069,003",.,.,.,0,.,.,0,.,"6,069,003",.,"6,069,003",.,.,.,"6,069,003",.,.,"340,871.50",.,.,210,"341,081.50",O
2017,367,City of Alliance- (NE),NE,Municipal,MRO,25.6,20.9,26,"118,825",.,.,0,.,.,0,"-4,404","114,447","108,117",.,"1,911",.,"4,419","114,447","12,687.50",.,.,.,.,919,"13,606.50",O
2017,392,Alpena Power Co,MI,Investor Owned,RFC,61,55,.,"374,043",.,.,0,.,.,0,.,"374,043","358,831",.,.,133,"15,079","374,043","34,742.10",.,.,.,.,247.1,"34,989.20",O
2017,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,91.6,95.8,.,"406,461",.,.,0,.,.,0,.,"406,461","406,461",.,.,.,.,"406,461","49,254.90",.,.,.,.,.,"49,254.90",O
2017,416,City of Altus - (OK),OK,Municipal,SPP,57.9,31.8,.,"216,495",.,.,0,.,.,0,.,"216,495","199,088",.,"9,231",.,"8,176","216,495","23,342.20",.,.,.,.,.,"23,342.20",O
2017,471,Amana Society Service Co,IA,Investor Owned,MRO,16,15,"1,924","99,779",.,.,0,.,.,0,.,"101,703","99,621",.,.,.,"2,082","101,703","7,914.00",.,.,.,.,59,"7,973.00",O
2017,540,BP Energy Company,TX,Retail Power Marketer,TRE,13,13,.,"881,120",.,.,0,.,.,0,.,"881,120","881,120",.,.,.,.,"881,120","23,647.00",.,.,.,.,.,"23,647.00",O
2017,554,City of Ames - (IA),IA,Municipal,MRO,149.2,110.3,"281,373","505,745",.,.,0,.,.,0,.,"787,118","640,964","126,140",0,404,"19,610","787,118","60,180.30",.,"3,148.10",.,"1,822.00","6,568.50","71,718.90",O
2017,560,City of Amherst- (OH),OH,Municipal,RFC,27,18,.,"108,152",.,.,0,.,.,0,.,"108,152","99,933",.,.,.,"8,219","108,152","11,096.00",.,.,.,.,.,"11,096.00",O
2017,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,175.7,212.8,.,"741,061",.,.,0,.,.,0,.,"741,061","698,503",.,.,948,"41,610","741,061","82,368.80",.,.,.,.,"6,893.20","89,262.00",O
2017,571,City of Amory,MS,Municipal,SERC,29.9,21.9,0,"136,792",0,.,0,0,0,0,0,"136,792","133,137",0,0,0,"3,655","136,792","13,311.00",.,0,0,0,336.2,"13,647.20",O
2017,577,City of Alcoa Utilities,TN,Municipal,SERC,137.9,173.8,0,"620,728",0,.,0,0,0,0,0,"620,728","590,397",0,0,15,"30,317","620,728","62,499.00",.,0,0,0,"1,542.60","64,041.60",O
2017,590,City of Anaheim - (CA),CA,Municipal,WECC,562,344,"418,882","2,925,011",.,.,0,.,.,0,.,"3,343,893","2,344,878","908,838",.,.,"90,177","3,343,893","375,052.00",.,"33,213.00",.,"30,725.00","1,120.00","440,110.00",O
2017,599,Anchorage Municipal Light and Power,AK,Municipal,AK,145,163,"1,286,344","95,933",.,.,0,.,.,0,.,"1,382,277","966,678","387,688",.,.,"27,911","1,382,277","166,730.40",.,"23,344.40","-5,810.30",.,779,"185,043.50",O
2017,604,City of Andalusia,AL,Municipal,SERC,59.3,49.1,.,"373,093",.,.,0,.,.,0,.,"373,093","369,185",.,.,.,"3,908","373,093","27,337.00",.,.,.,.,.,"27,337.00",O
2017,636,City of Anderson - (IN),IN,Municipal,RFC,166.3,136.5,0,"858,810",0,0,0,0,0,0,0,"858,810","843,558",0,0,.,"15,252","858,810","83,762.50",0,0,0,0,"2,256.60","86,019.10",O
2017,659,American Transmission Co,WI,Transmission,,"11,751.00","9,458.00",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,"-10,103.00","722,591.10","1,828.80","714,316.90",O
2017,689,Connexus Energy,MN,Cooperative,MRO,504.7,347.2,.,"2,315,519",.,.,0,.,.,0,.,"2,315,519","1,918,613","320,350",.,.,"76,556","2,315,519","235,678.30",.,"25,402.60",.,.,.,"261,080.90",O
2017,690,City of Bardstown - (KY),KY,Municipal,RFC,37.8,32.1,.,"200,526",.,.,0,.,.,0,.,"200,526","192,741",.,.,.,"7,785","200,526","16,095.00",.,.,.,.,.,"16,095.00",O
2017,691,City of Anoka,MN,Municipal,MRO,61.2,40.9,.,"275,812",.,.,0,.,.,0,.,"275,812","268,852",.,.,.,"6,960","275,812","27,493.00",.,.,.,.,157,"27,650.00",O
2017,694,Anza Electric Coop Inc,CA,Cooperative,WECC,14.5,11.3,.,"64,082",.,.,0,.,.,0,.,"64,082","59,236",.,.,125,"4,721","64,082","10,611.00",.,.,.,.,.,"10,611.00",O
2017,712,Arkansas River Power Authority,CO,Political Subdivision,WECC,65.5,43,"18,998","263,475",.,.,0,.,.,0,.,"282,473",.,"275,051",.,.,"7,422","282,473",.,.,"28,614.50",.,.,.,"28,614.50",O
2017,719,Town of Apex- (NC),NC,Municipal,SERC,95.1,54.4,.,"325,569",.,.,0,.,.,0,.,"325,569","303,798",.,"1,735","11,263","8,773","325,569","29,220.10",.,.,.,.,.,"29,220.10",O
2017,727,Appalachian Electric Coop,TN,Cooperative,SERC,197.1,252.2,0,"939,489",0,.,0,0,0,0,0,"939,489","890,133",0,0,"1,144","48,212","939,489","98,267.00",.,0,0,0,"3,191.00","101,458.00",O
2017,733,Appalachian Power Co,OH,Investor Owned,RFC,"5,596.00","6,967.00","25,686,531","9,976,293",.,.,0,.,.,0,.,"35,662,824","27,429,334","6,008,360",501,.,"2,224,629","35,662,824","2,544,960.00",889,"288,636.00","-12,774.00","92,074.00","53,117.00","2,966,902.00",O
2017,750,Arab Electric Coop Inc,AL,Cooperative,SERC,69.9,81.6,0,"315,553",0,.,0,0,0,0,0,"315,553","288,438",0,0,378,"26,736","315,553","31,823.00",.,0,0,0,"1,282.90","33,105.90",O
2017,796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,WECC,738,428,"1,701,913","2,081,090","105,376","73,520","31,856","241,415","234,451","6,964",.,"3,821,823",0,"3,766,422",.,.,"55,401","3,821,823",.,.,"154,150.50",.,"22,173.10","9,797.80","186,121.40",O
2017,798,Arizona Power Authority,AZ,State,WECC,400.3,266.8,.,"794,339",.,.,0,.,.,0,.,"794,339",.,"771,203",.,.,"23,136","794,339",.,.,"34,374.90",.,.,.,"34,374.90",O
2017,803,Arizona Public Service Co,AZ,Investor Owned,WECC,"7,367.00","4,303.00","24,920,924","7,825,768","633,695","639,817","-6,122","47,821,543","47,821,543",0,.,"32,740,570","28,018,011","2,892,159",.,"61,297","1,769,103","32,740,570","3,407,017.00",.,"117,096.00",.,.,"66,454.00","3,590,567.00",O
2017,807,Arkansas Electric Coop Corp,AR,Cooperative,SPP,"2,756.00","2,779.00","9,716,099","5,526,723","11,857","11,670",187,.,.,0,.,"15,243,009",.,"15,135,226",.,.,"107,783","15,243,009",.,.,"777,239.00",.,"11,194.30","1,048.60","789,481.90",O
2017,814,Entergy Arkansas Inc,AR,Investor Owned,SERC,"4,616.00","3,735.00","26,473,510","4,134,405","874,063","233,092","640,971",.,.,0,.,"31,248,886","20,888,456","8,331,076",.,"52,893","1,976,461","31,248,886","1,739,545.30",.,"249,028.40",-430.4,"109,073.40","28,076.10","2,125,292.80",O
2017,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,SERC,303.2,320.1,.,"1,252,032",.,.,0,.,.,0,.,"1,252,032","1,186,080",.,.,362,"65,590","1,252,032","113,969.30",.,.,.,.,"2,902.20","116,871.50",O
2017,828,City of Arlington - (MN),MN,Municipal,MRO,15.8,11.3,.,"16,785",.,.,0,.,.,0,.,"16,785","15,679",.,.,.,"1,106","16,785","1,518.80",.,.,.,.,56.5,"1,575.30",O
2017,887,"Arrowhead Electric Coop, Inc",MN,Cooperative,MRO,7.8,23.3,.,"76,768",.,.,0,.,.,0,.,"76,768","71,976",.,.,"4,792",.,"76,768","9,608.00",.,.,.,.,77.9,"9,685.90",O
2017,907,City of Ashland - (OR),OR,Municipal,WECC,42,38,"3,071","180,005",.,.,0,.,.,0,.,"183,076","177,290",.,.,.,"5,786","183,076","15,377.50",.,.,.,.,.,"15,377.50",O
2017,918,City of Aspen- (CO),CO,Municipal,WECC,11.1,14.5,"18,989","50,039",.,.,0,.,.,0,.,"69,028","64,474",.,.,.,"4,554","69,028","6,970.00",.,.,.,.,.,"6,970.00",O
2017,924,"Associated Electric Coop, Inc",MO,Transmission,SERC,"4,284.00","4,374.00","15,687,378","7,740,504",.,.,0,.,.,0,.,"23,427,882",.,"22,372,148",.,"3,941","1,051,793","23,427,882",.,.,"1,060,094.00","23,477.00",.,.,"1,083,571.00",O
2017,942,Atchison-Holt Electric Coop,MO,Cooperative,SERC,17.2,15.1,.,"88,979",.,.,0,.,.,0,.,"88,979","83,215",.,.,203,"5,561","88,979","9,320.00",.,.,.,.,.,"9,320.00",O
2017,944,City of Athens - (AL),AL,Municipal,SERC,255.2,315.4,0,"1,159,739",0,.,0,0,0,0,0,"1,159,739","1,093,809",0,0,0,"65,930","1,159,739","103,405.00",.,0,0,0,"2,396.00","105,801.00",O
2017,947,Athens Utility Board,TN,Municipal,SERC,113.1,109.3,0,"657,367",0,.,0,0,0,0,0,"657,367","628,761",0,0,435,"28,171","657,367","48,777.00",.,0,0,0,875.3,"49,652.30",O
2017,963,Atlantic City Electric Co,NJ,Investor Owned,RFC,"2,401.00","1,628.00",.,"6,098,878",.,.,0,"254,375",.,"254,375",.,"6,353,253","4,448,035","1,238,364",.,"9,417","657,437","6,353,253","750,735.30","236,593.90","65,465.80","11,621.10","135,191.40",.,"1,199,607.50",O
2017,965,Atlantic Municipal Utilities,IA,Municipal,MRO,24.5,21.8,"117,328","41,072",.,.,0,.,.,0,-658,"157,742","108,113","44,210",.,.,"5,419","157,742","8,366.00",.,"1,242.00",.,824,112,"10,544.00",O
2017,970,Homefield Energy,IL,Retail Power Marketer,RFC,.,.,.,"8,812,911",.,.,0,.,.,0,.,"8,812,911","8,812,911",.,.,.,.,"8,812,911","527,741.60",.,.,.,.,.,"527,741.60",O
2017,993,Auburn Board of Public Works,NE,Municipal,MRO,13.2,13.4,0,"61,516",.,.,0,.,.,0,.,"61,516","55,590",.,.,241,"5,685","61,516","5,207.00",.,.,.,.,864,"6,071.00",O
2017,994,City of Auburn - (IN),IN,Municipal,RFC,75.7,66.1,.,"434,660",.,.,0,.,.,0,.,"434,660","426,676",.,876,.,"7,108","434,660","38,677.60",.,.,.,.,"2,827.10","41,504.70",O
2017,998,City of Augusta - (KS),KS,Municipal,SPP,21.9,11.7,-795,"79,733",.,.,0,.,.,0,"-2,375","76,563","66,039",81,"2,717",.,"7,726","76,563","6,996.20",.,4.9,"1,911.40",367.7,.,"9,280.20",O
2017,1009,City of Austin - (MN),MN,Municipal,MRO,66.4,49.1,.,"342,558",.,.,0,.,.,0,.,"342,558","335,917",.,.,.,"6,641","342,558","35,895.20",.,.,.,.,697.1,"36,592.30",O
2017,1015,Austin Energy,TX,Municipal,TRE,"2,654.00","2,123.00","9,408,274","5,120,522","1,180,155","987,847","192,308",.,.,0,.,"14,721,104","12,905,561","1,071,191",.,.,"744,352","14,721,104","1,179,480.00",.,"37,391.50",.,"78,528.20",.,"1,295,399.70",O
2017,1024,City of Ava - (MO),MO,Municipal,SERC,14,11,.,"65,800",.,.,0,.,.,0,.,"65,800","61,245",.,"1,823",.,"2,732","65,800","3,031.00",.,.,.,.,.,"3,031.00",O
2017,1036,Town of Ayden - (NC),NC,Municipal,SERC,20.2,22.6,.,"105,174",.,.,0,.,.,0,.,"105,174","101,787",.,"1,386",.,"2,001","105,174","10,924.00",.,.,.,.,406.3,"11,330.30",O
2017,1050,City of Azusa,CA,Municipal,WECC,62.4,41.1,.,"343,640",.,.,0,.,.,0,"-19,055","324,585","255,975","59,692",.,.,"8,918","324,585","36,845.00",.,"4,017.00",.,.,542,"41,404.00",O
2017,1062,BARC Electric Coop Inc,VA,Cooperative,SERC,31.5,47.6,127,"187,870",.,.,0,.,.,0,.,"187,997","173,401",.,.,"1,458","13,138","187,997","21,170.00",.,.,.,.,540,"21,710.00",O
2017,1101,Bagley Public Utilities Comm,MN,Municipal,MRO,4.8,4.9,.,"26,740",.,.,0,.,.,0,.,"26,740","24,112",.,204,247,"2,177","26,740","2,710.30",.,.,.,.,39.7,"2,750.00",O
2017,1148,City of Baldwin City- (KS),KS,Municipal,SPP,9,5.5,223,"33,717",.,.,0,.,.,0,.,"33,940","30,691",.,267,.,"2,982","33,940","4,313.80",.,.,.,.,.,"4,313.80",O
2017,1149,Baldwin County El Member Corp,AL,Cooperative,SERC,319,342,.,"1,414,087",.,.,0,.,.,0,.,"1,414,087","1,347,727",.,.,.,"66,360","1,414,087","152,638.00",.,.,.,.,.,"152,638.00",O
2017,1167,Baltimore Gas & Electric Co,MD,Investor Owned,RFC,"6,448.00","5,665.00",.,"13,669,290",.,.,0,.,.,0,.,"13,669,290","11,645,890",.,.,"16,164","2,007,236","13,669,290","1,588,834.20","585,879.60",.,.,"228,054.00","86,342.90","2,489,110.70",O
