Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2017,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,372,"3,789",227,935,"7,435",717,"1,613.00","22,115",18,.,.,.,"2,920.00","33,339",962
2017,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,"4,624.00","47,574","2,737","5,623.00","40,384","4,691","52,087.00","862,586",233,.,.,.,"62,334.00","950,544","7,661"
2017,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,"28,514.00","274,578","20,216","37,961.30","380,802","3,779",415.2,"4,824",5,0,0,0,"66,890.50","660,204","24,000"
2017,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,"9,842.00","47,807","9,439","2,125.00","13,598",511,"2,869.00","21,736",1,0,0,0,"14,836.00","83,141","9,951"
2017,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,"1,393.60","10,921","1,658","2,029.60","19,496",358,879.3,"10,027",2,0,0,0,"4,302.50","40,444","2,018"
2017,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,"8,459.90","59,403","5,930","4,383.00","34,101",587,239.8,"1,784",3,.,.,.,"13,082.70","95,288","6,520"
2017,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,SWPP,"4,045.00","28,107","3,035","3,476.00","29,898",681,"3,854.00","56,092",14,.,.,.,"11,375.00","114,097","3,730"
2017,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,"16,669.10","112,248","9,454","1,758.50","13,866",517,.,.,.,.,.,.,"18,427.60","126,114","9,971"
2017,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,SWPP,"4,873.60","37,878","4,150","4,980.50","42,016","1,056","2,833.40","28,223",11,.,.,.,"12,687.50","108,117","5,217"
2017,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,"11,842.00","85,293","13,708","12,453.70","104,553","3,979","10,446.40","168,985",4,.,.,.,"34,742.10","358,831","17,691"
2017,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"31,461.40","228,658","18,537","8,624.50","65,704","1,858","9,169.00","112,099",235,.,.,.,"49,254.90","406,461","20,630"
2017,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,SWPP,"12,512.10","86,753","7,571","7,181.70","66,330","1,193","3,648.40","46,005",2,.,.,.,"23,342.20","199,088","8,766"
2017,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,889,"6,850",703,955,"8,312",182,"6,070.00","84,459",1,0,0,0,"7,914.00","99,621",886
2017,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0,0,0,0,"20,215.00","838,724",2,0,0,0,"20,215.00","838,724",2
2017,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0,0,0,0,"3,432.00","42,396",2,0,0,0,"3,432.00","42,396",2
2017,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,"19,848.10","164,873","23,445","29,230.50","340,083","2,986","11,101.70","136,008",6,.,.,.,"60,180.30","640,964","26,437"
