Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2019,201,City of Alachua - (FL),FL,Municipal,FRCC,28.7,24.4,0,"137,182",0,0,0,0,0,0,0,"137,182","130,169",0,0,"1,259","5,754","137,182","14,146.00",0,0,0,0,51,"14,197.00",O
2019,202,Town of Black Creek - (NC),NC,Municipal,SERC,2.4,3.3,0,"12,921",0,0,0,0,0,0,0,"12,921","11,366",0,0,0,"1,555","12,921","1,462.00",0,0,0,0,0,"1,462.00",O
2019,207,City of Alameda,CA,Municipal,WECC,62.1,62,0,"356,594","154,177","154,177",0,0,0,0,0,"356,594","342,755",0,0,0,"13,839","356,594","62,579.90",0,0,0,0,"5,831.10","68,411.00",O
2019,213,Alaska Electric Light&Power Co,AK,Investor Owned,AK,55,66,"123,203","235,572",0,0,0,0,0,0,0,"358,775","337,796",0,0,"4,564","16,415","358,775","43,712.90",0,0,0,0,676.7,"44,389.60",O
2019,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,1,1,"23,806","50,884",0,0,0,0,0,0,0,"74,690","67,047",0,0,"1,751","5,892","74,690","18,401.00",0,0,0,0,"2,405.00","20,806.00",O
2019,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,17.8,23.2,"127,782",0,0,0,0,0,0,0,0,"127,782","118,982",0,0,"3,258","5,542","127,782","55,665.10",0,0,0,0,804.6,"56,469.70",O
2019,228,City of Albany - (MO),MO,Municipal,MPS,5.2,5.2,0,"15,723",0,0,0,0,0,0,0,"15,723","15,151",0,0,572,0,"15,723","2,054.00",0,0,0,0,0,"2,054.00",O
2019,229,City of Albany - (IL),IL,Municipal,RFC,2,1,0,"4,912",0,0,0,0,0,0,0,"4,912","4,744",0,63,0,105,"4,912",596,0,0,0,0,13,609,O
2019,230,Albany Utility Board,GA,Municipal,SERC,182.1,162.1,0,"914,950",0,0,0,0,0,0,0,"914,950","881,515",0,0,0,"33,435","914,950","97,945.00",0,0,0,0,442,"98,387.00",O
2019,232,City of Albemarle - (NC),NC,Municipal,SERC,63,58.6,0,"293,574",0,0,0,0,0,0,0,"293,574","282,568",0,0,94,"10,912","293,574","32,014.10",0,0,0,0,296.3,"32,310.40",O
2019,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,54,57.9,0,"235,364",0,0,0,0,0,0,0,"235,364","219,383",0,0,612,"15,369","235,364","29,768.00",0,0,0,0,725,"30,493.00",O
