Connecticut,87848,80225,577,0,7046
Maine,75929,62881,1309,7636,4103
Massachusetts,278077,171665,7951,932,97529
New Hampshire,54754,50632,1037,482,2603
Rhode Island,14747,13928,216,603,0
Vermont,32565,31313,261,237,754
New Jersey,248942,169398,6335,6663,66546
New York,530218,283431,12330,7665,226792
Pennsylvania,292635,248491,3035,3938,37171
Illinois,368077,266128,4358,10640,86951
Indiana,355416,286681,8335,450,59950
Michigan,490029,365172,1396,1274,122187
Ohio,393018,344824,3383,9581,35230
Wisconsin,333539,293498,3639,1047,35355
Iowa,135976,110464,1432,2425,21655
Kansas,177782,107093,2730,408,67551
Minnesota,439325,312853,5950,10832,109690
Missouri,286004,188432,915,5412,91245
Nebraska,113270,96097,1450,0,15723
North Dakota,78068,49845,253,0,27970
South Dakota,57821,49246,486,181,7908
Delaware,53706,48405,1537,0,3764
District of Columbia,8790,3646,427,0,4717
Florida,2020211,1687933,12418,6609,313251
Georgia,695512,615027,306,652,79527
Maryland,222098,197676,209,0,24213
North Carolina,966987,748171,961,0,217855
South Carolina,769584,683265,672,2253,83394
Virginia,385314,334070,1354,3099,46791
West Virginia,32644,28963,146,0,3535
Alabama,202767,186889,942,0,14936
Kentucky,131515,98315,1025,1036,31139
Mississippi,96251,94217,0,840,1194
Tennessee,540406,434730,562,723,104391
Arkansas,112823,106468,2634,291,3430
Louisiana,221150,215309,1685,472,3684
Oklahoma,161866,145465,2274,2693,11434
Texas,2427261,1895667,8956,6808,515830
Arizona,558760,469112,2211,1754,85683
Colorado,767518,637944,2383,3167,124024
Idaho,194670,161769,2543,1226,29132
Montana,71114,66649,699,3766,0
Nevada,259670,216060,1440,886,41284
New Mexico,66405,66197,0,0,208
Utah,409400,359343,1932,2471,45654
Wyoming,43010,41627,618,426,339
Alaska,29961,24796,1451,1483,2231
California,1659071,1118825,24260,18047,497939
Hawaii,90026,61613,12835,0,15578
Oregon,416440,243492,11419,300,161229
Washington,705744,554817,21284,8118,121525
