Connecticut,146774,83097,833,951,61893
Maine,63712,58519,0,0,5193
Massachusetts,592778,147448,7774,3463,434093
New Hampshire,60770,43673,958,0,16139
Rhode Island,16148,15564,584,0,0
Vermont,32127,27754,862,350,3161
New Jersey,460541,164615,3972,3240,288714
New York,2074680,287407,10253,16636,1760384
Pennsylvania,315880,240375,3183,11339,60983
Illinois,371153,271868,2695,5082,91508
Indiana,348463,277924,3972,2192,64375
Michigan,393139,314297,2247,1840,74755
Ohio,367206,322275,6472,13933,24526
Wisconsin,298102,241237,6449,797,49619
Iowa,217164,167115,893,964,48192
Kansas,132332,107761,1617,1501,21453
Minnesota,421357,293305,4016,2522,121514
Missouri,238644,213642,975,3866,20161
Nebraska,94858,83413,739,0,10706
North Dakota,157323,85779,1937,0,69607
South Dakota,61384,48529,2893,0,9962
Delaware,60361,48993,2206,1419,7743
District of Columbia,63703,3611,880,0,59212
Florida,1892720,1485668,4051,13872,389129
Georgia,762340,580766,1450,1177,178947
Maryland,309121,273438,0,0,35683
North Carolina,817290,709791,461,1844,105194
South Carolina,542352,479394,8600,240,54118
Virginia,390649,380158,1696,2230,6565
West Virginia,37818,36984,141,0,693
Alabama,197026,173069,417,150,23390
Kentucky,137565,118326,2215,2151,14873
Mississippi,96777,93759,185,638,2195
Tennessee,531385,416962,2566,5717,106140
Arkansas,114021,110067,1766,537,1651
Louisiana,241787,229407,2228,1011,9141
Oklahoma,152929,149266,3052,413,198
Texas,2156733,1894507,17924,12960,231342
Arizona,622555,539384,784,1634,80753
Colorado,629057,534736,7527,1064,85730
Idaho,171016,147275,477,2029,21235
Montana,80829,70202,1826,3092,5709
Nevada,210855,166508,0,230,44117
New Mexico,88992,87635,283,866,208
Utah,370248,307077,1364,13347,48460
Wyoming,46763,46263,500,0,0
Alaska,30190,27033,587,515,2055
California,1816615,1225652,30923,48184,511856
Hawaii,122853,113653,0,0,9200
Oregon,338238,240704,2211,1385,93938
Washington,691952,492259,11782,19293,168618
