Connecticut,250,4,4,243,145802,702,527,31025
Maine,386,14,11,155,86171,2341,927,14398
Massachusetts,677,34,36,768,219505,6602,8552,148383
New Hampshire,330,8,0,5,83364,1489,0,421
Rhode Island,67,14,3,5,17547,1919,576,338
Vermont,122,4,0,94,32974,523,0,3939
New Jersey,947,94,127,1752,223819,10911,42703,184695
New York,1131,92,30,2522,347198,15778,5312,309222
Pennsylvania,1743,56,116,882,456599,7466,13179,103949
Illinois,1032,24,94,823,279150,4191,14865,82650
Indiana,1809,62,11,636,491654,7940,2170,70110
Michigan,1667,36,19,316,460616,7868,2759,54228
Ohio,1824,40,71,996,510946,5027,6109,115696
Wisconsin,1245,82,3,1037,340494,13237,763,136390
Iowa,1236,6,16,226,286777,1047,1800,34420
Kansas,537,46,8,443,160814,5984,880,61127
Minnesota,1803,36,22,1108,470970,6664,4382,167322
Missouri,1120,106,27,990,291770,9862,1985,85684
Nebraska,586,2,12,99,131953,286,1665,11095
North Dakota,216,18,6,217,58361,2036,1033,27715
South Dakota,333,4,4,261,80125,412,532,27130
Delaware,612,48,4,159,81688,5621,578,27326
District of Columbia,15,2,4,393,3497,247,523,47104
Florida,9864,236,163,2790,2539404,41353,22988,391481
Georgia,4200,34,30,288,959470,7185,2522,32793
Maryland,1114,0,17,163,267378,0,2949,24562
North Carolina,5328,20,70,704,1268695,1647,7453,91311
South Carolina,3468,44,3,622,807497,3990,238,54184
Virginia,2509,30,27,1814,486391,2949,2797,161301
West Virginia,238,6,30,99,47140,1009,2250,11251
Alabama,1505,12,85,435,329811,1426,5442,62272
Kentucky,859,14,12,99,196349,1409,1130,9650
Mississippi,778,4,6,42,156679,516,370,3577
Tennessee,3261,38,22,2315,707568,3700,2516,136059
Arkansas,799,80,106,117,177198,10282,6202,8773
Louisiana,1385,46,6,117,290857,3620,745,11952
Oklahoma,1122,36,0,96,244653,3870,0,6730
Texas,14331,236,100,5516,3034125,24558,11252,603187
Arizona,4002,132,50,1574,1053174,12583,3414,164355
Colorado,3444,54,14,605,971200,10118,2183,77854
Idaho,1200,6,19,174,260025,867,1465,22272
Montana,245,28,19,170,63885,4805,2687,12037
Nevada,1458,172,64,268,400268,8575,8982,30258
New Mexico,392,2,3,58,102392,532,324,7700
Utah,1836,18,88,580,486982,2702,13642,89443
Wyoming,181,8,6,36,86082,6287,642,3755
Alaska,112,6,4,13,33377,911,695,2055
California,5243,182,93,4832,1473286,38305,23567,825769
Hawaii,259,2,0,0,119328,325,0,0
Oregon,950,20,23,428,265254,3410,2674,54280
Washington,2302,120,97,1055,667541,26430,21027,150048
