Connecticut,279,12,4,151,98512,2302,1200,17095
Maine,385,4,3,16,85303,549,250,2395
Massachusetts,516,56,16,1089,165601,11709,2450,214773
New Hampshire,255,12,8,173,68921,1297,80,19317
Rhode Island,85,16,4,12,23494,1310,230,739
Vermont,84,4,8,70,22971,633,1000,7173
New Jersey,984,192,45,1977,239410,24950,4766,155711
New York,974,112,54,2542,314562,17961,8496,320360
Pennsylvania,1507,42,158,660,370305,5706,15551,75486
Illinois,776,26,25,509,222232,4711,4399,98045
Indiana,1555,38,10,231,455999,4850,1610,18364
Michigan,1213,88,6,826,325720,14251,846,96861
Ohio,1524,22,21,687,441024,3114,3106,37449
Wisconsin,896,52,3,547,272013,8770,611,69899
Iowa,803,46,4,212,202177,6600,810,24620
Kansas,496,18,0,18,149064,2535,0,1235
Minnesota,1256,16,7,1123,346329,3403,1244,121828
Missouri,943,10,59,603,246856,1335,6961,80377
Nebraska,459,90,0,471,100721,13261,0,39840
North Dakota,104,8,0,136,31477,889,0,15500
South Dakota,262,8,27,557,59538,1048,3269,53099
Delaware,525,30,0,6,74912,2447,0,501
District of Columbia,16,0,0,610,3730,0,0,73113
Florida,9439,140,89,1966,2377288,18920,16044,205688
Georgia,3885,28,24,562,903804,6453,2168,69639
Maryland,1002,0,15,386,213321,0,2033,57718
North Carolina,4724,10,3,2463,1179484,1951,750,252789
South Carolina,2826,22,3,954,664779,3522,238,87658
Virginia,1944,12,4,561,432954,1068,600,60823
West Virginia,215,0,4,55,41987,0,240,5561
Alabama,1254,4,12,68,278070,722,769,10493
Kentucky,745,16,10,342,171554,1094,1463,33974
Mississippi,583,0,30,40,119364,0,3337,3356
Tennessee,2696,6,53,1359,641399,412,8560,196933
Arkansas,698,82,58,469,158890,11249,5858,59984
Louisiana,1247,52,3,40,273173,3712,472,7092
Oklahoma,988,18,0,103,224496,1805,0,9021
Texas,12675,278,101,4899,2761409,29940,5360,757565
Arizona,3437,104,19,1020,895301,13266,3390,147658
Colorado,2731,108,40,811,817361,16332,7405,113790
Idaho,1130,30,26,304,266372,4840,3656,35320
Montana,187,36,20,31,51384,7063,3195,3882
Nevada,1088,16,108,731,297132,1928,11491,78739
New Mexico,376,0,3,28,94342,0,324,2876
Utah,1953,40,82,708,530025,4928,9650,53664
Wyoming,137,4,3,0,41706,828,292,0
Alaska,101,2,9,12,30668,346,1357,1897
California,4654,252,136,3325,1219121,45301,22317,500023
Hawaii,165,0,36,184,62398,0,10598,54748
Oregon,943,26,0,408,251419,5002,0,45004
Washington,1766,182,278,1443,518977,27946,44839,189601
