Connecticut,439,302,8,10,119,11
Maine,485,440,6,3,36,3
Massachusetts,1155,639,56,15,445,28
New Hampshire,447,210,4,0,233,5
Rhode Island,91,87,4,0,0,0
Vermont,286,126,50,15,95,13
New Jersey,2376,1114,108,41,1113,55
New York,2748,1064,110,68,1506,80
Pennsylvania,2768,2032,90,50,596,22
Illinois,2117,1087,48,76,906,48
Indiana,2083,1470,28,3,582,17
Michigan,2936,1695,16,28,1197,41
Ohio,2167,1393,50,79,645,41
Wisconsin,1638,1181,84,59,314,16
Iowa,1452,826,48,4,574,19
Kansas,1340,530,32,12,766,24
Minnesota,2631,1367,2,12,1250,43
Missouri,1671,1016,76,11,568,21
Nebraska,690,538,6,6,140,5
North Dakota,342,214,24,0,104,9
South Dakota,457,269,2,11,175,7
Delaware,569,521,14,4,30,5
District of Columbia,1023,11,4,0,1008,5
Florida,12123,8413,154,71,3485,129
Georgia,5778,3399,12,27,2340,78
Maryland,1271,991,6,0,274,18
North Carolina,5022,3908,26,20,1068,39
South Carolina,2856,2542,2,0,312,19
Virginia,2415,1930,16,4,465,10
West Virginia,221,166,0,0,55,11
Alabama,1130,1039,6,7,78,5
Kentucky,1303,697,24,8,574,32
Mississippi,695,519,2,68,106,14
Tennessee,3956,2255,24,23,1654,35
Arkansas,707,536,46,50,75,9
Louisiana,1285,1257,12,4,12,2
Oklahoma,1092,742,30,0,320,18
Texas,13241,9841,140,66,3194,110
Arizona,3156,2547,40,14,555,29
Colorado,3326,2399,28,65,834,40
Idaho,1329,1103,12,75,139,19
Montana,420,243,18,18,141,14
Nevada,1736,1030,14,6,686,41
New Mexico,423,339,2,0,82,11
Utah,2146,1567,8,41,530,36
Wyoming,172,103,2,7,60,3
Alaska,129,95,14,7,13,2
California,8745,4896,230,146,3473,175
Hawaii,364,274,2,0,88,2
Oregon,2008,918,22,6,1062,47
Washington,3606,2029,144,86,1347,59
