Connecticut,533,191,10,28,304,11
Maine,242,223,8,0,11,2
Massachusetts,1437,607,50,26,754,35
New Hampshire,208,165,2,0,41,3
Rhode Island,91,82,6,3,0,0
Vermont,145,103,2,13,27,5
New Jersey,2226,840,68,23,1295,83
New York,3193,852,114,109,2118,124
Pennsylvania,1675,1024,68,86,497,35
Illinois,2457,825,16,53,1563,44
Indiana,1849,958,34,13,844,31
Michigan,2053,960,12,23,1058,52
Ohio,1687,1059,10,42,576,26
Wisconsin,1312,695,36,7,574,28
Iowa,794,424,26,0,344,14
Kansas,624,362,8,18,236,3
Minnesota,1543,717,0,0,826,32
Missouri,1657,621,38,22,976,19
Nebraska,723,433,18,0,272,4
North Dakota,535,191,8,0,336,8
South Dakota,197,141,8,0,48,6
Delaware,385,315,0,3,67,5
District of Columbia,781,5,0,0,776,5
Florida,8127,4965,40,63,3059,93
Georgia,3499,2207,6,27,1259,41
Maryland,1103,684,6,0,413,19
North Carolina,3518,2635,18,4,861,38
South Carolina,1880,1591,4,0,285,12
Virginia,2280,1683,10,19,568,13
West Virginia,157,136,0,4,17,3
Alabama,999,707,64,6,222,12
Kentucky,884,584,50,27,223,8
Mississippi,446,414,6,6,20,3
Tennessee,3432,1622,2,0,1808,49
Arkansas,414,375,4,4,31,2
Louisiana,957,915,10,3,29,2
Oklahoma,804,667,18,3,116,6
Texas,13240,6992,96,31,6121,165
Arizona,2129,1544,12,3,570,27
Colorado,2498,1468,10,11,1009,21
Idaho,742,558,6,30,148,8
Montana,223,141,20,15,47,3
Nevada,1143,657,0,0,486,40
New Mexico,273,269,4,0,0,0
Utah,1789,1023,8,51,707,38
Wyoming,123,110,0,0,13,1
Alaska,79,58,0,3,18,2
California,8553,3214,92,115,5132,142
Hawaii,192,181,2,0,9,1
Oregon,1371,708,12,8,643,24
Washington,2871,1382,46,52,1391,39
