Connecticut,278,202,8,3,65,8
Maine,357,222,6,0,129,5
Massachusetts,819,429,38,54,298,23
New Hampshire,338,124,32,3,179,6
Rhode Island,67,55,4,3,5,1
Vermont,73,47,2,9,15,3
New Jersey,1778,738,70,52,918,71
New York,4036,537,52,68,3379,106
Pennsylvania,1353,976,60,50,267,19
Illinois,1296,548,14,41,693,22
Indiana,1528,854,8,40,626,31
Michigan,1187,667,6,10,504,29
Ohio,1095,872,28,19,176,15
Wisconsin,726,454,76,10,186,14
Iowa,425,287,2,0,136,4
Kansas,428,256,20,13,139,7
Minnesota,1352,588,0,0,764,10
Missouri,1098,626,34,6,432,26
Nebraska,621,255,4,0,362,5
North Dakota,45,43,2,0,0,0
South Dakota,182,112,4,3,63,7
Delaware,604,512,20,14,58,7
District of Columbia,591,16,8,0,567,5
Florida,11190,7795,138,146,3111,99
Georgia,4045,3283,26,19,717,57
Maryland,1743,979,0,28,736,17
North Carolina,4219,3316,26,3,874,46
South Carolina,3483,2421,14,0,1048,54
Virginia,2859,1531,0,42,1286,34
West Virginia,287,203,2,3,79,12
Alabama,1169,1079,6,7,77,5
Kentucky,935,536,42,16,341,23
Mississippi,623,547,60,6,10,2
Tennessee,2733,1984,16,88,645,18
Arkansas,643,563,16,22,42,4
Louisiana,1133,1080,34,6,13,2
Oklahoma,740,710,16,14,0,0
Texas,14258,8978,158,166,4956,102
Arizona,2641,2191,86,4,360,21
Colorado,3026,1708,20,33,1265,44
Idaho,880,719,8,31,122,11
Montana,280,146,10,47,77,12
Nevada,1204,782,10,28,384,14
New Mexico,349,299,4,0,46,5
Utah,1594,1175,14,35,370,21
Wyoming,103,72,8,8,15,2
Alaska,90,69,4,4,13,1
California,9373,4069,262,145,4897,153
Hawaii,432,162,2,0,268,18
Oregon,1255,789,40,4,422,14
Washington,2875,1480,80,154,1161,48
