Connecticut,223,14,0,406,57692,2389,0,8724
Maine,294,42,7,35,66362,6177,859,3224
Massachusetts,510,118,26,451,145121,18160,4314,91779
New Hampshire,201,14,6,69,43539,2232,785,14709
Rhode Island,79,4,14,0,19855,678,1285,0
Vermont,66,8,0,139,15348,955,0,14667
New Jersey,1118,114,136,1394,185578,17383,9761,127387
New York,666,96,25,1162,206314,14178,3501,153553
Pennsylvania,1246,44,119,342,314090,7613,14029,60470
Illinois,695,22,32,1101,184458,3485,8429,76430
Indiana,1428,32,12,192,395641,5451,1827,18345
Michigan,1046,12,17,59,261474,2152,2108,7823
Ohio,1299,30,21,99,365927,4059,2590,13249
Wisconsin,772,48,0,625,231660,8915,0,63049
Iowa,678,24,3,274,168550,3810,440,34481
Kansas,390,22,0,15,113139,2428,0,1734
Minnesota,972,8,7,1229,260100,1734,1244,213229
Missouri,883,32,14,258,233416,3664,2299,34502
Nebraska,488,28,18,59,106332,3605,2372,6884
North Dakota,155,16,0,90,46080,2091,0,9489
South Dakota,269,4,20,200,60021,625,2619,18305
Delaware,556,14,7,16,69320,1535,86,1218
District of Columbia,8,2,0,677,1900,224,0,75990
Florida,9641,222,77,3734,2493430,37025,10635,457469
Georgia,3520,48,113,133,785296,10231,13496,15013
Maryland,923,6,19,656,203806,691,2551,114644
North Carolina,4932,24,4,1739,1169758,3182,391,223458
South Carolina,3202,28,4,226,750511,5274,318,16949
Virginia,1907,78,27,620,435369,2855,3319,65319
West Virginia,258,2,3,30,44979,160,153,2660
Alabama,1489,8,3,73,291799,993,400,19651
Kentucky,689,52,49,105,151518,4109,4246,8970
Mississippi,682,8,9,24,125274,877,671,2154
Tennessee,2797,48,46,319,612393,4062,4158,30498
Arkansas,690,74,21,358,160360,9124,1221,54172
Louisiana,1585,34,4,51,322401,3161,963,10066
Oklahoma,1072,56,7,338,226396,4780,980,36739
Texas,12801,346,223,5923,2837196,33492,15746,687892
Arizona,3276,28,16,1143,895533,3521,2784,175452
Colorado,2734,10,119,885,789012,2632,28574,124863
Idaho,992,24,26,331,219340,3323,2905,42121
Montana,225,14,31,53,59250,2284,5501,4884
Nevada,1204,66,30,412,326753,3257,1062,29115
New Mexico,411,0,0,20,100375,0,0,1356
Utah,1690,30,22,1314,413512,3913,3044,220177
Wyoming,101,2,7,13,42126,302,471,1718
Alaska,34,8,0,0,11974,1071,0,0
California,4273,174,157,3345,1216512,32966,32739,580381
Hawaii,205,2,3,133,86769,712,752,25868
Oregon,880,24,13,1226,242714,3118,2654,140400
Washington,2013,108,88,1667,588858,25766,18141,198029
