Connecticut,428,2,8,382,113288,200,1127,65581
Maine,562,12,0,112,113503,2128,0,29757
Massachusetts,641,26,12,725,212586,5852,2301,78130
New Hampshire,344,2,0,48,102865,689,0,10360
Rhode Island,85,32,4,15,23619,2765,756,1274
Vermont,142,6,3,21,45650,1213,373,1762
New Jersey,1137,98,47,2004,204145,10983,4347,171624
New York,1332,90,36,2538,316582,12289,6317,306993
Pennsylvania,1767,68,43,384,414089,5593,4624,39536
Illinois,1065,56,21,587,276583,8426,2637,59246
Indiana,1926,50,7,492,538076,8074,1346,49814
Michigan,1588,64,57,331,421435,7407,10226,42066
Ohio,1829,38,66,633,518681,5995,6820,82736
Wisconsin,1424,176,6,597,423759,28883,1050,79692
Iowa,1077,16,4,247,260558,1863,460,28058
Kansas,621,54,16,256,178713,5348,2600,30140
Minnesota,1820,76,27,984,490502,15231,6036,105206
Missouri,1295,42,16,251,303385,4456,2137,22700
Nebraska,551,10,0,305,130648,2063,0,27137
North Dakota,360,48,9,52,90031,5565,606,7500
South Dakota,438,20,18,286,89628,2892,2043,27274
Delaware,748,26,0,18,97922,2422,0,1890
District of Columbia,11,4,0,348,2564,494,0,41710
Florida,10633,212,214,3349,2714107,27394,38022,520645
Georgia,4521,206,21,711,1003498,34987,2519,81626
Maryland,1334,0,27,571,325376,0,3531,77460
North Carolina,5222,6,54,623,1227435,1159,3774,70804
South Carolina,3338,24,3,197,785976,1927,238,15529
Virginia,2108,6,26,888,448416,1530,3426,117274
West Virginia,264,0,0,60,49176,0,0,6429
Alabama,1514,4,22,143,282804,733,2010,21572
Kentucky,847,22,19,417,194714,2394,2693,32550
Mississippi,685,2,7,40,135803,185,471,3732
Tennessee,2971,26,10,1011,707503,3104,1128,105177
Arkansas,872,100,13,250,200097,8924,671,20535
Louisiana,1504,20,7,16,294183,2089,772,1486
Oklahoma,1132,22,0,277,254802,1945,0,19150
Texas,14268,270,123,6658,3081029,32995,12833,665033
Arizona,4070,44,10,216,1062902,6867,1236,40480
Colorado,3240,146,17,1216,931559,17812,2664,155364
Idaho,1321,22,108,134,283533,2747,10977,18604
Montana,236,18,4,150,64083,3324,653,12957
Nevada,1347,72,22,565,372108,3336,3489,46711
New Mexico,390,0,8,47,103898,0,632,6169
Utah,2082,22,46,213,558107,5890,9390,25440
Wyoming,173,6,3,14,78526,876,116,680
Alaska,127,0,4,11,37098,0,695,1739
California,6200,144,84,3048,1710093,29564,17485,511990
Hawaii,146,4,0,0,61409,433,0,0
Oregon,819,44,7,134,217999,7418,1146,14903
Washington,2163,88,64,2151,624091,20682,8976,227689
