Connecticut,102948,79430,96,700,22722
Maine,79540,71354,1493,0,6693
Massachusetts,463866,333766,6983,8164,114953
New Hampshire,67106,60192,5790,184,940
Rhode Island,24376,23583,239,554,0
Vermont,43913,33675,911,343,8984
New Jersey,315555,213896,8335,5331,87993
New York,574381,288490,20661,13689,251541
Pennsylvania,447334,371019,11593,15647,49075
Illinois,573078,285174,3231,10765,273908
Indiana,449137,403200,6298,2380,37259
Michigan,583000,451046,10681,3326,117947
Ohio,552475,423875,4799,13235,110566
Wisconsin,390349,309917,6550,1214,72668
Iowa,226195,180105,1242,774,44074
Kansas,159170,136119,2418,1076,19557
Minnesota,527745,422000,1240,6896,97609
Missouri,279692,244006,9132,517,26037
Nebraska,134835,119345,915,0,14575
North Dakota,68996,57090,287,5527,6092
South Dakota,93284,79488,2206,300,11290
Delaware,86337,68026,2731,4544,11036
District of Columbia,42643,1387,0,0,41256
Florida,2646248,2066023,16421,15618,548186
Georgia,941252,849814,1421,2297,87720
Maryland,313092,279470,925,7500,25197
North Carolina,1098712,1005999,3154,877,88682
South Carolina,719018,678789,475,0,39754
Virginia,572018,476153,1090,1632,93143
West Virginia,44217,42810,646,0,761
Alabama,231860,205777,144,956,24983
Kentucky,202135,179035,2277,1757,19066
Mississippi,107512,105202,226,753,1331
Tennessee,697912,606281,4290,1521,85820
Arkansas,161055,128102,2810,531,29612
Louisiana,271859,261332,2871,629,7027
Oklahoma,203011,191664,2710,161,8476
Texas,3012438,2492225,24476,16583,479154
Arizona,755677,627240,3081,2772,122584
Colorado,1026727,689335,2169,22135,313088
Idaho,264173,230622,699,2814,30038
Montana,146681,77257,3208,13281,52935
Nevada,302321,251454,3186,703,46978
New Mexico,99231,85083,262,0,13886
Utah,509958,475507,1592,3305,29554
Wyoming,59828,54895,632,3261,1040
Alaska,46746,39359,2883,1342,3162
California,3117000,1920700,46800,40031,1109469
Hawaii,102506,93510,1854,948,6194
Oregon,360895,240624,9561,1893,108817
Washington,860385,642516,12719,9474,195676
