Connecticut,68293,58344,1464,1338,7147
Maine,53400,45497,195,0,7708
Massachusetts,427868,176274,4251,5599,241744
New Hampshire,28767,23905,960,388,3514
Rhode Island,15937,14414,1094,429,0
Vermont,7612,6043,267,542,760
New Jersey,326459,162799,7309,3470,152881
New York,673667,178316,14913,9344,471094
Pennsylvania,323493,241455,2214,4200,75624
Illinois,311558,158631,1059,11790,140078
Indiana,288078,250077,2064,0,35937
Michigan,297935,247331,664,2804,47136
Ohio,276860,262904,1172,7356,5428
Wisconsin,219332,171045,3560,1499,43228
Iowa,159646,95810,237,3777,59822
Kansas,144474,111668,1167,1908,29731
Minnesota,341295,227422,193,2950,110730
Missouri,222983,160734,3791,3258,55200
Nebraska,98679,65327,795,255,32302
North Dakota,8039,8039,0,0,0
South Dakota,44868,33764,604,0,10500
Delaware,78210,59731,1446,864,16169
District of Columbia,11152,2312,869,0,7971
Florida,2017222,1643409,11938,17748,344127
Georgia,589342,553592,253,6453,29044
Maryland,175569,171967,0,0,3602
North Carolina,794217,653004,3019,0,138194
South Carolina,567831,525904,613,612,40702
Virginia,412724,391649,931,4577,15567
West Virginia,31631,25581,375,0,5675
Alabama,193272,163873,964,2216,26219
Kentucky,142438,110564,402,4477,26995
Mississippi,100324,94319,4527,845,633
Tennessee,482405,418963,2880,2347,58215
Arkansas,144365,99485,3140,863,40877
Louisiana,169950,160561,4191,861,4337
Oklahoma,154488,139907,5133,0,9448
Texas,2104908,1801182,13633,19208,270885
Arizona,609347,517772,3472,530,87573
Colorado,663725,605314,383,2904,55124
Idaho,140746,125102,262,0,15382
Montana,34092,27495,2064,1915,2618
Nevada,287977,216221,2048,8425,61283
New Mexico,79261,78458,0,0,803
Utah,331115,280231,486,8061,42337
Wyoming,19395,17545,138,1712,0
Alaska,28016,23437,1026,1182,2371
California,2540333,1610155,34137,48809,847232
Hawaii,71887,46172,325,948,24442
Oregon,341907,180628,8629,1984,150666
Washington,698353,488084,11456,15841,182972
