Connecticut,85864,61525,1612,1651,21076
Maine,43855,37831,145,600,5279
Massachusetts,313121,170967,13440,5836,122878
New Hampshire,46492,31010,1908,1477,12097
Rhode Island,15477,14201,330,946,0
Vermont,43343,37531,0,329,5483
New Jersey,399543,201047,9474,5923,183099
New York,1289148,226008,10788,11881,1040471
Pennsylvania,287379,202211,2199,7778,75191
Illinois,252490,167145,3823,12781,68741
Indiana,243404,202768,5126,1179,34331
Michigan,271307,187695,2757,903,79952
Ohio,300099,257346,1241,5151,36361
Wisconsin,192745,152162,5868,770,33945
Iowa,116076,87409,193,260,28214
Kansas,100442,96976,2933,443,90
Minnesota,209698,198164,0,0,11534
Missouri,278408,148078,12911,9231,108188
Nebraska,92708,71035,501,0,21172
North Dakota,11244,10415,253,0,576
South Dakota,21350,19498,165,0,1687
Delaware,57411,47595,1750,1563,6503
District of Columbia,8511,2708,1540,0,4263
Florida,2189990,1471864,7642,12341,698143
Georgia,582743,456180,283,3209,123071
Maryland,226429,197244,0,5000,24185
North Carolina,728432,649627,710,315,77780
South Carolina,432454,415040,805,240,16369
Virginia,383392,324372,737,2106,56177
West Virginia,25602,19077,660,0,5865
Alabama,187432,132202,2067,1492,51671
Kentucky,106935,89422,2923,733,13857
Mississippi,83794,77136,955,828,4875
Tennessee,435451,362789,3214,6852,62596
Arkansas,87991,83140,2299,175,2377
Louisiana,230525,180625,9104,1011,39785
Oklahoma,176365,144479,3147,0,28739
Texas,2215938,1632493,19829,13413,550203
Arizona,593577,481812,1725,3009,107031
Colorado,672493,396638,2837,2643,270375
Idaho,109084,103390,207,701,4786
Montana,64486,33448,893,7212,22933
Nevada,186235,170277,0,378,15580
New Mexico,70462,67584,0,0,2878
Utah,277269,261491,1181,2719,11878
Wyoming,24268,22206,290,1772,0
Alaska,24807,21249,355,515,2688
California,1854313,1037751,16102,14504,785956
Hawaii,153432,55231,2543,0,95658
Oregon,248598,155567,2274,4267,86490
Washington,567423,426841,7888,9034,123660
