Connecticut,85925,79691,127,529,5578
Maine,63697,61598,724,500,875
Massachusetts,328090,251605,2993,3518,69974
New Hampshire,75662,57260,1108,724,16570
Rhode Island,17475,17475,0,0,0
Vermont,33449,22151,1847,507,8944
New Jersey,347303,197916,4985,5790,138612
New York,488342,284219,13075,11008,180040
Pennsylvania,299696,253542,10174,5740,30240
Illinois,386880,264044,4939,5769,112128
Indiana,313050,248434,2906,1266,60444
Michigan,373463,289449,7051,1802,75161
Ohio,362261,293989,5346,12061,50865
Wisconsin,252051,219864,8950,439,22798
Iowa,167728,143758,555,305,23110
Kansas,112836,106627,2825,2029,1355
Minnesota,423841,332912,2100,1367,87462
Missouri,272716,185281,1008,4920,81507
Nebraska,118233,95783,2516,0,19934
North Dakota,94927,51529,957,0,42441
South Dakota,51767,43427,2289,2952,3099
Delaware,84408,51810,394,2199,30005
District of Columbia,32360,10381,0,0,21979
Florida,1652694,1469230,4048,11277,168139
Georgia,589038,549998,1198,5079,32763
Maryland,357598,348317,923,0,8358
North Carolina,892215,775029,923,1123,115140
South Carolina,508437,462705,386,637,44709
Virginia,398984,347907,1928,1497,47652
West Virginia,34764,32156,960,480,1168
Alabama,258440,169991,0,2347,86102
Kentucky,126907,112284,1630,1466,11527
Mississippi,89122,84709,2906,401,1106
Tennessee,452902,402150,0,8169,42583
Arkansas,152672,95774,620,125,56153
Louisiana,218265,216182,1032,472,579
Oklahoma,234303,195555,4019,0,34729
Texas,2478930,1875797,17497,10971,574665
Arizona,666237,522565,2576,1028,140068
Colorado,621607,517564,2593,1897,99553
Idaho,172110,161631,1249,0,9230
Montana,52402,43540,3191,1920,3751
Nevada,200099,177137,0,597,22365
New Mexico,75089,74881,0,0,208
Utah,406501,353466,1398,5647,45990
Wyoming,46075,45130,0,187,758
Alaska,30890,26726,1119,515,2530
California,1759377,1124959,22568,15642,596208
Hawaii,170648,52890,5646,0,112112
Oregon,279014,215452,3677,3200,56685
Washington,901448,497590,11855,5458,386545
