Connecticut,206,12,0,443,66972,1004,0,36701
Maine,324,14,3,55,74849,1881,375,5903
Massachusetts,501,24,16,806,159651,4649,3050,98348
New Hampshire,213,2,0,27,61672,150,0,5081
Rhode Island,69,8,4,17,15193,932,317,1469
Vermont,128,2,0,8,32670,301,0,507
New Jersey,710,56,31,1024,139395,7167,3101,110505
New York,720,74,63,1643,186095,5797,7900,154780
Pennsylvania,1465,56,60,387,375574,7269,8020,54228
Illinois,726,36,44,428,191556,6330,7255,68503
Indiana,1284,56,78,765,344140,10385,7002,105703
Michigan,1190,30,11,307,310925,6499,1013,40193
Ohio,1335,48,24,735,379313,6452,2208,61001
Wisconsin,1033,108,8,527,285919,14645,1430,55851
Iowa,794,42,10,105,174610,6017,1570,10123
Kansas,395,28,12,158,112059,3888,3700,17956
Minnesota,1220,24,12,1195,319748,4237,2303,217565
Missouri,914,66,41,382,222854,9709,5265,52968
Nebraska,451,4,3,107,101685,441,282,12876
North Dakota,217,0,0,23,63152,0,0,2544
South Dakota,317,6,7,184,74988,855,205,16509
Delaware,406,10,20,5,53369,1217,2251,418
District of Columbia,13,6,0,374,3031,741,0,44827
Florida,8042,156,132,3446,2111296,16799,25780,507487
Georgia,2862,36,15,985,634732,4595,1464,81389
Maryland,765,0,4,781,173153,0,352,178988
North Carolina,4012,14,3,1312,930543,1014,750,106004
South Carolina,2205,32,11,483,540938,2819,852,29856
Virginia,1663,40,38,1492,365199,2649,4312,172261
West Virginia,230,2,0,55,40690,159,0,10829
Alabama,1118,4,19,193,248009,779,1761,21431
Kentucky,661,18,31,380,147115,2336,2146,35253
Mississippi,538,6,7,309,103173,951,471,25855
Tennessee,2365,48,91,1195,512121,3457,10720,89248
Arkansas,601,76,120,272,127418,6906,11096,20902
Louisiana,1092,62,3,43,213658,5132,722,8002
Oklahoma,705,32,3,15,152767,3594,613,1129
Texas,9887,232,193,5607,2237588,22519,19475,674750
Arizona,2479,36,12,601,659581,5271,3725,53183
Colorado,2307,16,10,271,684045,1921,1704,34582
Idaho,1037,46,71,114,213665,7617,11978,10710
Montana,178,36,68,189,48893,5217,9113,18377
Nevada,600,16,16,490,166396,2549,2572,54441
New Mexico,300,0,0,10,76634,0,0,586
Utah,1402,6,29,789,391238,739,3495,129090
Wyoming,159,6,0,0,46146,1263,0,0
Alaska,83,6,12,12,24368,1037,2111,1897
California,3439,82,47,3137,980773,17373,10342,663054
Hawaii,160,4,0,94,77716,1204,0,17604
Oregon,735,12,8,513,192908,2283,952,75694
Washington,1810,108,73,2566,526290,22637,14279,342908
