Connecticut,491,242,2,0,247,10
Maine,618,172,52,4,390,12
Massachusetts,1026,457,28,36,505,28
New Hampshire,264,122,10,0,132,4
Rhode Island,66,53,4,0,9,1
Vermont,148,81,2,7,58,6
New Jersey,2288,776,66,79,1367,64
New York,2699,763,118,40,1778,83
Pennsylvania,1855,1409,40,89,317,26
Illinois,1192,779,36,61,316,31
Indiana,1642,1215,16,3,408,16
Michigan,2053,1155,26,7,865,39
Ohio,1873,1181,6,27,659,41
Wisconsin,1128,734,38,8,348,13
Iowa,617,532,4,4,77,3
Kansas,507,299,16,12,180,5
Minnesota,2136,879,4,4,1249,21
Missouri,1787,785,104,34,864,19
Nebraska,572,336,2,0,234,6
North Dakota,86,71,0,0,15,1
South Dakota,269,164,4,12,89,5
Delaware,508,473,8,0,27,3
District of Columbia,250,13,6,0,231,7
Florida,11661,7977,124,79,3481,83
Georgia,4690,3743,34,4,909,31
Maryland,1788,1147,0,0,641,4
North Carolina,5174,4144,34,4,992,43
South Carolina,2734,2300,12,7,415,18
Virginia,2496,1658,34,19,785,19
West Virginia,327,235,4,33,55,11
Alabama,1283,1198,8,4,73,4
Kentucky,811,684,50,11,66,5
Mississippi,585,570,0,0,15,2
Tennessee,3877,2447,2,3,1425,20
Arkansas,746,654,28,31,33,4
Louisiana,1496,1473,14,0,9,1
Oklahoma,1279,880,12,15,372,8
Texas,15852,10968,124,138,4622,155
Arizona,3691,2758,40,21,872,25
Colorado,3078,1866,2,47,1163,24
Idaho,1125,1044,12,22,47,3
Montana,316,157,32,24,103,6
Nevada,1100,936,22,40,102,8
New Mexico,398,381,8,3,6,1
Utah,1751,1299,14,31,407,19
Wyoming,138,114,2,7,15,2
Alaska,120,93,6,8,13,1
California,8345,4624,200,197,3324,153
Hawaii,247,243,4,0,0,0
Oregon,2252,852,44,32,1324,39
Washington,4294,1861,104,85,2244,67
