Connecticut,33387,30203,225,1030,1929
Maine,13603,11936,0,0,1667
Massachusetts,141286,64213,2681,200,74192
New Hampshire,19386,9477,250,0,9659
Rhode Island,4465,4465,0,0,0
Vermont,19664,9608,240,444,9372
New Jersey,177906,118479,6725,1531,51171
New York,225895,108481,4828,2990,109596
Pennsylvania,256142,130714,200,1218,124010
Illinois,220430,106623,650,1217,111940
Indiana,160431,146832,1006,0,12593
Michigan,130786,125572,350,937,3927
Ohio,159855,149813,10,565,9467
Wisconsin,148402,93959,1289,1327,51827
Iowa,86186,60473,303,508,24902
Kansas,96952,61983,729,480,33760
Minnesota,191665,157672,305,880,32808
Missouri,145418,126092,666,4051,14609
Nebraska,65425,54745,444,0,10236
North Dakota,23581,8471,380,0,14730
South Dakota,31648,24187,0,0,7461
Delaware,45538,38745,1275,444,5074
District of Columbia,30386,3881,0,0,26505
Florida,1765341,1235538,7708,25203,496892
Georgia,594326,485522,463,3535,104806
Maryland,165804,141570,355,6524,17355
North Carolina,667368,538803,8317,315,119933
South Carolina,467445,373980,1350,0,92115
Virginia,277419,244394,956,800,31269
West Virginia,28880,20693,289,1260,6638
Alabama,197039,146606,273,4171,45989
Kentucky,79167,65269,2660,1870,9368
Mississippi,70347,65515,2773,808,1251
Tennessee,321201,288773,2942,5720,23766
Arkansas,109299,84979,1887,22000,433
Louisiana,270242,204906,2231,1009,62096
Oklahoma,164456,153177,897,855,9527
Texas,2216705,1675378,16602,4016,520709
Arizona,435855,358941,1583,1277,74054
Colorado,456364,348158,2414,4711,101081
Idaho,111989,104323,213,6108,1345
Montana,37399,31855,860,1047,3637
Nevada,208551,170405,0,0,38146
New Mexico,52677,50901,683,885,208
Utah,217450,196418,0,7156,13876
Wyoming,33392,33017,0,375,0
Alaska,15513,14395,572,546,0
California,1631578,884215,13079,10223,724061
Hawaii,141296,72396,440,0,68460
Oregon,269156,183798,6848,0,78510
Washington,684460,356124,12387,12411,303538
