Connecticut,357,237,24,11,85,9
Maine,391,350,8,7,26,3
Massachusetts,1080,834,48,10,188,16
New Hampshire,314,211,32,14,57,4
Rhode Island,112,83,6,18,5,1
Vermont,232,136,4,10,82,4
New Jersey,2539,728,70,37,1704,58
New York,3289,1089,136,99,1965,77
Pennsylvania,1794,1305,96,49,344,18
Illinois,1824,1036,22,46,720,33
Indiana,1917,1398,82,25,412,29
Michigan,2325,1620,62,27,616,33
Ohio,2426,1466,26,101,833,47
Wisconsin,1862,1129,56,13,664,16
Iowa,2117,1267,30,6,814,19
Kansas,995,478,48,10,459,13
Minnesota,2795,1536,36,62,1161,44
Missouri,1680,1185,40,34,421,14
Nebraska,744,516,40,4,184,4
North Dakota,457,268,2,0,187,6
South Dakota,526,337,8,32,149,5
Delaware,560,441,16,14,89,5
District of Columbia,444,29,2,0,413,3
Florida,10623,7403,92,105,3023,118
Georgia,3846,3300,12,20,514,13
Maryland,1146,978,14,3,151,4
North Carolina,5362,3813,38,19,1492,56
South Carolina,3028,2510,8,6,504,29
Virginia,2971,2068,4,25,874,22
West Virginia,213,189,6,3,15,2
Alabama,1208,1081,12,3,112,5
Kentucky,1287,769,12,160,346,20
Mississippi,584,564,0,0,20,3
Tennessee,3078,2330,116,38,594,19
Arkansas,1010,691,46,20,253,17
Louisiana,1568,1267,30,16,255,10
Oklahoma,1613,852,74,3,684,21
Texas,14614,9689,92,178,4655,136
Arizona,2629,2132,32,22,443,36
Colorado,2936,2053,12,6,865,25
Idaho,1244,989,34,16,205,9
Montana,384,268,8,8,100,4
Nevada,1187,893,22,0,272,33
New Mexico,414,384,0,4,26,2
Utah,1996,1495,24,21,456,14
Wyoming,146,127,8,11,0,0
Alaska,123,92,8,11,12,1
California,9223,4351,110,150,4612,145
Hawaii,239,225,14,0,0,0
Oregon,1982,1002,42,63,875,40
Washington,2987,1946,36,41,964,50
