Connecticut,561,220,10,7,324,11
Maine,341,315,6,0,20,2
Massachusetts,1568,723,78,33,734,35
New Hampshire,280,228,34,3,15,1
Rhode Island,99,89,2,3,5,1
Vermont,131,101,6,3,21,4
New Jersey,2669,876,132,39,1622,83
New York,3116,1029,136,118,1833,96
Pennsylvania,1726,1251,66,47,362,16
Illinois,2085,919,38,133,995,33
Indiana,1635,1416,48,7,164,14
Michigan,2972,1552,28,36,1356,53
Ohio,2093,1492,48,80,473,33
Wisconsin,1852,1190,52,7,603,38
Iowa,1428,1154,16,0,258,12
Kansas,577,452,28,4,93,5
Minnesota,2373,1566,4,4,799,33
Missouri,2568,1256,44,54,1214,69
Nebraska,578,443,8,4,123,5
North Dakota,612,271,8,3,330,7
South Dakota,559,358,2,0,199,9
Delaware,542,487,20,8,27,3
District of Columbia,1395,17,4,0,1374,5
Florida,10721,6981,80,58,3602,72
Georgia,4285,3311,46,10,918,23
Maryland,918,861,22,3,32,3
North Carolina,5899,4017,30,12,1840,41
South Carolina,2867,2620,4,3,240,11
Virginia,2950,1992,18,41,899,30
West Virginia,246,169,0,4,73,12
Alabama,1126,977,4,11,134,6
Kentucky,848,686,18,22,122,10
Mississippi,651,617,2,6,26,4
Tennessee,3259,2237,30,38,954,29
Arkansas,862,653,66,15,128,14
Louisiana,1168,1114,6,4,44,4
Oklahoma,1037,761,28,0,248,11
Texas,15098,9285,144,52,5617,142
Arizona,3706,2279,40,21,1366,59
Colorado,3173,2103,14,6,1050,55
Idaho,1434,1083,8,88,255,24
Montana,466,273,48,25,120,13
Nevada,1597,1086,0,29,482,48
New Mexico,434,344,0,0,90,9
Utah,2446,1650,6,63,727,31
Wyoming,146,144,2,0,0,0
Alaska,133,109,2,4,18,2
California,10335,5069,178,84,5004,156
Hawaii,413,244,2,3,164,15
Oregon,1643,819,16,44,764,29
Washington,4392,2032,84,50,2226,51
