Connecticut,183,2,0,91,65332,200,0,17080
Maine,239,20,11,5,65668,3181,2635,348
Massachusetts,534,16,9,503,193574,3815,1458,65629
New Hampshire,209,2,0,49,55197,355,0,6046
Rhode Island,80,12,4,0,19197,2463,600,0
Vermont,49,4,0,44,12978,601,0,4744
New Jersey,1011,84,10,1054,198655,9944,1292,63167
New York,595,64,24,2273,207337,10241,3049,288553
Pennsylvania,1868,122,106,1495,431402,13774,11885,196482
Illinois,675,6,34,296,182737,1162,5820,40398
Indiana,1449,28,8,94,417117,5104,1990,10816
Michigan,1169,8,6,376,316863,2356,883,36924
Ohio,1397,20,21,833,429461,3146,4117,63485
Wisconsin,739,50,4,478,251635,13953,600,63943
Iowa,592,6,11,164,128958,1130,1700,27468
Kansas,385,38,7,416,119631,5923,918,50309
Minnesota,1027,6,4,993,304872,1086,868,153097
Missouri,874,18,8,221,238060,1294,908,29515
Nebraska,500,0,0,75,104145,0,0,9299
North Dakota,55,14,0,0,14956,2472,0,0
South Dakota,241,4,0,0,62060,596,0,0
Delaware,686,38,0,54,93836,3840,0,2551
District of Columbia,40,0,4,705,9325,0,523,84499
Florida,9669,368,110,2719,2756735,53857,19818,320595
Georgia,4408,74,39,162,1021176,21963,8131,25869
Maryland,1137,2,7,644,284598,371,986,82686
North Carolina,5093,8,61,2652,1324542,1036,8889,290939
South Carolina,3132,10,10,436,772456,817,2309,51612
Virginia,1868,48,11,862,441163,8227,2339,73565
West Virginia,227,4,0,365,43181,390,0,46542
Alabama,1340,12,11,516,304123,1705,1254,57253
Kentucky,698,28,4,924,163826,4049,574,80935
Mississippi,481,4,11,51,99041,576,1014,5272
Tennessee,2586,10,28,906,623131,689,3242,60883
Arkansas,670,194,18,81,158673,20735,1196,6349
Louisiana,1324,36,6,45,288036,3634,943,8023
Oklahoma,984,54,0,84,226159,4614,0,7318
Texas,12575,328,152,5129,2881450,38458,16731,582492
Arizona,4099,66,4,1315,995276,10494,979,177889
Colorado,2538,44,7,1036,795524,10592,1571,149659
Idaho,1068,16,105,249,243540,2571,9099,42632
Montana,140,36,11,35,41493,6524,1710,4383
Nevada,1345,4,40,740,372683,414,6387,88159
New Mexico,419,0,4,292,106139,0,259,19569
Utah,1858,64,53,892,506149,12993,7891,103329
Wyoming,140,2,4,0,73661,204,385,0
Alaska,95,4,3,13,28391,691,521,2055
California,5215,172,89,2421,1443190,38295,14990,407796
Hawaii,186,0,3,104,80202,0,1949,19477
Oregon,933,20,3,518,259958,3447,328,59562
Washington,2238,82,74,2235,650540,19263,12632,334971
