Connecticut,489,354,10,0,125,8
Maine,505,456,6,0,43,5
Massachusetts,1237,700,32,45,460,45
New Hampshire,302,241,6,3,52,3
Rhode Island,164,154,6,4,0,0
Vermont,142,118,4,4,16,3
New Jersey,2311,991,78,132,1110,67
New York,3324,1068,182,90,1984,87
Pennsylvania,1658,1484,46,43,85,7
Illinois,2175,1140,34,97,904,71
Indiana,1685,1502,32,0,151,14
Michigan,2204,1720,60,102,322,25
Ohio,2890,1590,44,38,1218,54
Wisconsin,1400,1131,68,6,195,22
Iowa,1574,769,14,27,764,32
Kansas,1079,482,44,30,523,39
Minnesota,2313,1504,6,15,788,30
Missouri,1956,966,18,145,827,45
Nebraska,821,555,14,12,240,7
North Dakota,314,196,2,3,113,2
South Dakota,435,333,6,7,89,10
Delaware,651,465,14,3,169,10
District of Columbia,437,34,2,0,401,4
Florida,10803,8138,78,68,2519,119
Georgia,4901,3664,2,38,1197,74
Maryland,1567,1179,0,0,388,5
North Carolina,6730,4142,18,36,2534,92
South Carolina,3184,2814,14,18,338,18
Virginia,2786,2148,10,55,573,17
West Virginia,275,260,2,0,13,2
Alabama,1186,1083,12,3,88,8
Kentucky,1184,783,46,20,335,22
Mississippi,645,630,0,0,15,2
Tennessee,4197,2737,44,6,1410,51
Arkansas,917,732,36,4,145,14
Louisiana,1262,1202,10,11,39,3
Oklahoma,839,782,48,4,5,1
Texas,15857,9468,142,66,6181,192
Arizona,3941,2594,44,44,1259,38
Colorado,4476,2624,14,113,1725,57
Idaho,1688,1114,2,16,556,41
Montana,357,258,30,39,30,2
Nevada,1932,1145,16,9,762,14
New Mexico,430,359,0,0,71,6
Utah,2594,1911,28,78,577,48
Wyoming,187,149,0,3,35,2
Alaska,171,108,20,4,39,6
California,9654,5160,174,153,4167,118
Hawaii,265,220,32,0,13,1
Oregon,2692,942,78,12,1660,54
Washington,4799,2269,94,52,2384,46
