Connecticut,264,116,6,3,139,6
Maine,186,152,0,4,30,3
Massachusetts,1733,406,26,6,1295,40
New Hampshire,134,80,4,3,47,3
Rhode Island,45,40,0,0,5,1
Vermont,91,24,2,4,61,3
New Jersey,1740,742,48,22,928,70
New York,2353,504,78,59,1712,48
Pennsylvania,946,806,12,26,102,10
Illinois,530,407,2,10,111,11
Indiana,681,543,22,15,101,15
Michigan,735,624,22,0,89,11
Ohio,1031,615,6,35,375,28
Wisconsin,771,371,12,22,366,15
Iowa,249,236,2,3,8,1
Kansas,345,224,8,0,113,7
Minnesota,1108,619,22,7,460,32
Missouri,768,536,34,4,194,6
Nebraska,235,213,0,0,22,1
North Dakota,110,76,2,3,29,3
South Dakota,151,108,4,0,39,2
Delaware,368,313,28,0,27,3
District of Columbia,22,17,2,3,0,0
Florida,7781,4334,38,159,3250,130
Georgia,2445,2109,8,12,316,13
Maryland,1220,727,2,3,488,6
North Carolina,3544,2431,14,7,1092,38
South Carolina,1899,1767,4,0,128,10
Virginia,2070,1404,36,11,619,21
West Virginia,129,101,0,9,19,2
Alabama,1025,860,2,35,128,8
Kentucky,717,524,10,35,148,13
Mississippi,644,385,2,14,243,12
Tennessee,2027,1489,10,10,518,18
Arkansas,694,375,20,10,289,16
Louisiana,1035,959,18,3,55,4
Oklahoma,995,776,12,0,207,9
Texas,11515,8093,152,38,3232,99
Arizona,1712,1246,14,38,414,18
Colorado,1489,1120,46,22,301,20
Idaho,442,414,4,24,0,0
Montana,136,99,20,4,13,2
Nevada,640,570,0,0,70,4
New Mexico,275,264,0,6,5,1
Utah,806,723,4,15,64,6
Wyoming,70,61,4,0,5,1
Alaska,54,41,10,3,0,0
California,7312,2808,106,69,4329,140
Hawaii,743,198,2,28,515,18
Oregon,798,625,10,3,160,15
Washington,3212,1206,34,21,1951,30
