Release: EDGARv4.3.2 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeseries 1970-2012 of GHG per capita emissions by country in ton CO2eq / capita / year (GWP-100 of AR4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2  (1970 - 2012), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=GHGpc, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877 and Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Dentener, F., Bergamaschi, P., Pagliari, V., Olivier, J.G.J., Peters, J.A.H.W., van Aardenne, J.A., Monni, S., Doering, U., Petrescu, A.M.R. (2017) EDGARv4.3.2 Global Atlas of the three major Greenhouse Gas Emissions for the period 1970-2012, Earth Syst. Sci. Data Discuss., https://doi.org/10.5194/essd-2017-79, in review, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AZE,Azerbaijan,CO2eq/cap,10.68519,10.63376,10.80905,11.71954,12.41164,13.43656,14.0048,14.52829,15.06434,13.181,13.53266,13.62674,13.65203,13.7488,13.80514,13.94771,13.87206,13.8784,15.93516,15.63592,11.61989,10.9992,8.686695,6.298838,5.622659,5.436196,4.708093,4.534809,4.549571,4.732655,4.898582,4.744626,4.687135,4.997974,4.938811,5.225835,5.339695,5.190242,5.884034,5.200967,4.996163,5.328847,5.462015
BHS,Bahamas,CO2eq/cap,17.19164,17.12024,19.58535,21.15694,16.48806,19.56928,16.28936,17.59755,18.4053,16.95122,15.69319,15.6919,12.81861,9.885142,10.03681,8.794765,9.049476,9.648266,10.04183,10.77334,10.83847,10.37958,9.013232,8.454756,8.968641,10.06557,11.14784,10.66203,10.14322,9.449135,8.738706,8.946102,8.812288,9.672872,9.590903,9.241591,9.346702,9.790109,9.856853,9.793092,10.36597,11.07799,10.94026
BHR,Bahrain,CO2eq/cap,18.63925,18.10413,20.10797,23.88684,26.47066,25.46933,25.8402,26.75971,26.39903,26.56251,25.63505,26.40076,26.56429,26.71422,26.89935,30.79845,34.13401,32.19739,31.99344,30.91649,30.96365,29.17793,29.83792,29.32319,28.73223,28.25753,28.6335,29.37182,30.12888,29.33913,28.49563,28.35449,28.23604,27.36653,23.05715,23.50273,21.84222,23.004,21.05236,20.24818,19.68392,19.6936,19.33491
BGD,Bangladesh,CO2eq/cap,1.808544,1.680176,1.685278,1.676536,1.63387,1.669439,1.597679,1.57587,1.578624,1.563661,1.442741,1.414436,1.395918,1.290762,1.2943,1.28924,1.283558,1.245187,1.220332,1.227409,1.199064,1.15756,1.148819,1.120098,1.114378,1.135206,1.120711,1.109895,1.079041,1.10404,1.102975,1.127755,1.136107,1.138016,1.122913,1.153488,1.170562,1.199477,1.259747,1.285074,1.324428,1.327545,1.311153
BRB,Barbados,CO2eq/cap,2.836312,2.81029,3.020009,3.305922,2.768746,3.303309,3.111313,3.260184,3.466778,3.195246,3.21769,3.310524,3.22853,3.35666,3.766786,4.027063,4.455807,4.752695,4.401829,4.505458,4.491973,4.676259,4.646997,4.209211,4.101457,4.173774,4.223128,4.490726,4.789571,4.879229,5.227164,5.120672,5.034504,5.072859,5.072713,5.007049,4.89569,5.0611,4.982614,5.01583,5.184551,5.46676,5.394637
BLR,Belarus,CO2eq/cap,10.59226,10.67816,11.24839,11.93151,12.39259,13.32841,13.38096,13.72532,13.88624,14.29144,14.37601,14.66915,14.52656,14.58388,14.37913,14.30885,14.28095,14.18434,13.92561,13.44329,14.02834,13.42051,12.27308,10.86648,9.472022,8.644507,8.739241,8.776302,8.625822,8.422645,8.208109,8.121296,8.144305,8.365754,9.054554,9.336146,9.994193,9.76508,10.22588,10.07929,10.68601,11.83627,11.95442
BEL,Belgium,CO2eq/cap,17.45758,16.38518,17.5273,18.02258,18.04817,15.9903,16.93173,16.79647,17.2346,18.17048,17.05451,15.86199,14.98966,14.04925,14.44961,14.18194,14.15103,14.04248,14.08501,14.13706,14.122,14.51364,14.24895,13.96379,14.49392,14.6597,15.14678,14.76904,15.05538,14.65049,14.67313,14.5431,13.82075,14.40393,14.09773,13.5688,13.23659,12.80734,13.09488,11.99393,12.62651,11.76461,11.25155
BLZ,Belize,CO2eq/cap,3.168283,3.11169,3.485645,3.655142,3.558811,3.790178,3.385756,3.751712,3.726392,3.607154,3.825779,3.172119,2.983018,2.93516,3.055004,3.013818,3.48396,3.737444,3.240609,3.646974,4.052366,4.149023,4.00828,3.744021,3.686747,3.533219,3.458323,4.136964,3.819627,4.048953,3.936292,4.369125,4.138773,4.04295,4.018657,3.871419,3.878963,3.913125,3.818696,3.931825,4.149216,4.046632,3.98403
BEN,Benin,CO2eq/cap,0.812699,0.826865,0.876239,0.899971,0.874655,0.911895,0.85416,0.867484,0.877758,0.886743,0.905094,0.881496,0.898782,0.906496,0.90996,0.935651,0.850986,0.822003,0.798312,0.769004,0.789068,0.770155,0.768247,0.757583,0.782771,0.736803,0.869215,0.907916,0.874886,0.922296,0.90436,0.945472,0.98872,1.007263,1.018739,1.040372,1.160924,1.213173,1.199825,1.221319,1.251531,1.259365,1.259508
BMU,Bermuda,CO2eq/cap,5.540382,5.503582,7.445679,7.618921,6.598416,8.709704,7.123468,7.915489,7.247834,6.603767,7.109005,7.254168,7.207457,8.162411,8.498071,7.28267,7.508752,8.106665,10.97487,13.08577,9.426819,8.427743,6.847442,6.82442,7.084014,7.175228,7.424048,6.634895,6.461117,6.478033,7.38634,7.606665,7.54187,7.817694,8.104883,7.848818,7.806152,7.544485,7.757156,7.875561,8.38989,9.217444,9.292501
