(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current charge,"247,791,514","5,681,732","718,452","3,322,512","2,905,892","35,355,403","4,812,198","2,496,289","1,155,204","8,738,751","3,988,780","1,790,173","884,725","5,389,781","4,145,809","4,113,110","4,454,890","4,147,380","2,148,435","917,831","3,956,201","6,046,473","10,383,193","2,987,121","2,416,324","3,273,564","563,767","1,006,956","913,798","944,705","6,730,065","1,858,736","11,493,003","6,747,013","776,559","9,936,654","3,147,142","6,277,738","13,028,761","1,105,157","6,022,443","417,489","2,125,186","17,578,129","5,073,696","654,077","11,655,567","6,672,388","1,668,225","4,914,486","249,551"
Miscellaneous general revenue,"163,935,507","1,660,108","2,475,825","2,924,422","1,141,710","10,314,537","2,237,055","1,730,639","1,416,550","9,848,031","2,857,474","1,433,032","531,100","5,502,687","2,782,616","4,816,405","1,290,083","1,374,369","2,464,325","523,732","2,867,618","5,729,050","4,611,397","2,750,380","696,248","2,881,917","419,750","788,353","715,221","836,764","6,226,623","3,753,065","13,894,316","3,853,542","966,975","6,402,361","2,632,902","3,550,747","5,698,058","995,858","2,285,469","557,015","2,181,412","15,386,306","1,459,809","352,313","5,363,582","3,477,158","1,026,426","3,376,342","873,830"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility revenue,"14,373,281",,"21,035","22,806",0,"963,308",,"110,928","20,974","26,063",0,,,,,,,,"16,393","11,712","135,745","952,838",11,"109,799",,,,,"50,616",,"1,101,422",,"8,346,177",596,,,"647,481",481,,"24,817","1,790,270","2,541",,,,"14,259",0,0,"2,034",,975
Liquor stores revenue,"9,131,851","378,578",,,,,,,,,,,"183,960",,,"340,004",,,,"201,784",,,"1,181,471",,"373,794",,"104,503",,,"707,247",,,,,,"1,277,678",,"665,690","2,126,928",,,,,,"426,588","65,355","873,819",,"103,466",,"120,986"
Insurance trust revenue,"437,830,950","4,912,199","1,756,725","8,372,700","2,871,660","98,972,419","2,891,008","7,130,684","972,953","14,119,113","11,369,624","2,367,690","2,418,748","17,599,991","4,999,875","4,773,457","3,205,522","6,080,122","6,198,188","1,839,389","7,367,469","9,431,888","9,367,148","11,437,734","3,591,908","8,169,458","1,587,805","1,433,527","6,167,580","1,244,901","15,154,887","3,693,309","32,375,918","12,026,048","1,012,025","14,572,183","3,853,773","9,342,896","14,033,371","1,677,502","5,259,871","927,211","9,181,172","22,433,855","1,330,714","698,252","9,542,011","16,383,608","2,048,008","-851,209","484,060"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"2,500,627,121","34,420,325","11,525,057","42,191,355","23,340,186","395,722,730","37,744,701","28,768,919","10,569,602","103,091,862","53,358,128","14,246,298","11,152,978","90,637,346","43,294,469","24,468,184","20,623,250","35,324,395","36,087,759","9,719,601","48,598,727","69,274,063","80,474,939","50,944,993","22,361,490","35,295,498","8,033,903","11,149,997","17,769,897","9,050,114","80,668,031","22,156,771","218,317,054","64,503,622","7,721,630","89,326,118","25,351,517","41,519,679","108,643,120","9,840,595","34,572,637","5,342,988","35,197,915","163,424,749","22,450,665","6,955,406","59,317,111","61,042,252","15,175,198","43,699,468","6,159,829"
Intergovernmental expenditure,"582,902,323","7,603,784","1,805,758","10,584,099","5,506,995","115,184,907","8,175,377","5,982,373","1,709,844","19,186,392","13,399,351","328,597","2,708,320","21,931,820","10,484,135","5,392,612","5,252,484","4,922,217","6,491,823","1,447,848","9,548,598","9,908,172","23,597,434","14,965,157","5,175,676","6,380,912","1,152,003","2,664,511","4,924,555","1,764,664","15,644,410","5,350,837","63,293,562","15,910,667","2,265,225","18,810,597","4,611,015","6,607,674","22,759,591","1,374,263","6,293,856","905,622","7,784,382","32,071,780","4,235,015","1,868,398","12,751,128","16,832,903","2,420,689","11,609,814","1,320,477"
Direct expenditure,"1,917,724,798","26,816,541","9,719,299","31,607,256","17,833,191","280,537,823","29,569,324","22,786,546","8,859,758","83,905,470","39,958,777","13,917,701","8,444,658","68,705,526","32,810,334","19,075,572","15,370,766","30,402,178","29,595,936","8,271,753","39,050,129","59,365,891","56,877,505","35,979,836","17,185,814","28,914,586","6,881,900","8,485,486","12,845,342","7,285,450","65,023,621","16,805,934","155,023,492","48,592,955","5,456,405","70,515,521","20,740,502","34,912,005","85,883,529","8,466,332","28,278,781","4,437,366","27,413,533","131,352,969","18,215,650","5,087,008","46,565,983","44,209,349","12,754,509","32,089,654","4,839,352"
Current operation,"1,359,886,344","19,518,533","6,724,690","24,026,077","13,978,879","199,757,020","20,543,934","13,980,722","6,517,301","61,342,346","27,314,976","10,648,039","5,904,115","43,175,620","25,226,462","13,738,480","12,149,610","22,080,055","21,184,325","6,571,171","27,664,896","43,784,898","42,133,705","26,402,183","12,620,848","21,458,662","5,041,323","6,762,486","8,253,499","5,427,554","41,946,187","12,832,318","109,317,471","34,189,650","3,956,073","46,662,022","14,772,065","26,243,486","59,245,254","6,021,356","20,743,876","2,953,362","20,894,634","88,006,209","13,090,327","4,124,797","34,801,838","31,006,045","9,577,256","22,146,384","3,423,325"
Capital outlay,"150,010,385","2,454,561","1,217,805","1,608,823","1,049,951","12,267,721","1,527,629","1,811,039","963,939","8,277,864","3,496,253","1,415,282","954,514","3,932,477","2,318,430","1,725,050","943,623","1,789,667","2,157,015","311,867","3,507,298","4,239,689","3,055,860","1,898,139","981,154","1,294,797","516,407","670,752","932,648","452,194","5,146,724","862,200","14,239,557","5,813,355","626,661","3,910,234","2,129,249","1,801,657","10,050,453","549,520","2,068,393","614,158","1,851,091","19,800,104","2,222,355","286,604","3,997,172","2,340,505","973,919","2,435,257","518,769"
Insurance benefits and repayments,"307,040,100","3,447,907","1,418,749","4,325,496","2,150,680","56,269,864","5,719,750","4,930,732","756,670","10,741,743","7,141,390","1,629,193","1,239,820","15,875,803","2,697,243","2,760,109","1,907,088","4,773,464","4,712,721","1,085,205","4,563,537","7,201,637","8,278,341","5,793,409","2,845,248","4,824,672","1,108,997","753,955","2,887,907","832,202","14,039,787","2,467,471","23,351,932","6,402,250","636,495","16,934,424","2,690,012","5,983,074","12,095,885","1,302,504","3,543,175","598,982","2,831,667","17,921,025","1,838,682","426,426","5,273,851","7,681,598","1,616,726","5,903,788","826,814"
