"Population (thousands, July 1, 1999)","272,172",(X),(X),"4,370",(X),(X),620,(X),(X),"4,778",(X),(X),"2,551",(X),(X),"33,145",(X),(X),"4,056",(X),(X),"3,282",(X),(X),754,(X),(X),"15,111",(X),(X),"7,788",(X),(X),"1,185",(X),(X),"1,252",(X),(X),"12,128",(X),(X),"5,943",(X),(X),"2,869",(X),(X),"2,654",(X),(X),"3,961",(X),(X),"4,372",(X),(X),"1,253",(X),(X),"5,172",(X),(X),"6,175",(X),(X),"9,864",(X),(X),"4,776",(X),(X),"2,769",(X),(X),"5,468",(X),(X),883,(X),(X),"1,666",(X),(X),"1,809",(X),(X),"1,201",(X),(X),"8,143",(X),(X),"1,740",(X),(X),"18,197",(X),(X),"7,651",(X),(X),634,(X),(X),"11,257",(X),(X),"3,358",(X),(X),"3,316",(X),(X),"11,994",(X),(X),991,(X),(X),"3,886",(X),(X),733,(X),(X),"5,484",(X),(X),"20,044",(X),(X),"2,130",(X),(X),594,(X),(X),"6,873",(X),(X),"5,756",(X),(X),"1,807",(X),(X),"5,250",(X),(X),480,(X),(X)
"Personal income (millions, calendar year 1998)","7,763,829",(X),(X),"100,385",(X),(X),"17,736",(X),(X),"120,287",(X),(X),"56,724",(X),(X),"989,590",(X),(X),"127,904",(X),(X),"129,780",(X),(X),"23,135",(X),(X),"419,800",(X),(X),"212,806",(X),(X),"32,641",(X),(X),"28,627",(X),(X),"377,650",(X),(X),"155,448",(X),(X),"73,453",(X),(X),"70,876",(X),(X),"92,000",(X),(X),"99,855",(X),(X),"30,803",(X),(X),"168,168",(X),(X),"219,386",(X),(X),"277,214",(X),(X),"146,810",(X),(X),"57,272",(X),(X),"144,389",(X),(X),"19,419",(X),(X),"45,061",(X),(X),"56,094",(X),(X),"37,626",(X),(X),"290,004",(X),(X),"37,991",(X),(X),"616,878",(X),(X),"202,109",(X),(X),"14,747",(X),(X),"305,855",(X),(X),"77,093",(X),(X),"89,398",(X),(X),"343,263",(X),(X),"29,066",(X),(X),"91,463",(X),(X),"18,358",(X),(X),"140,094",(X),(X),"537,857",(X),(X),"49,573",(X),(X),"15,345",(X),(X),"204,769",(X),(X),"174,877",(X),(X),"37,802",(X),(X),"143,705",(X),(X),"12,644",(X),(X)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Intergovernmental revenue,"253,691,979",22.01,932.10,"4,281,715",27.62,979.80,"1,222,794",16.72,"1,972.25","3,662,296",24.22,766.49,"2,470,733",23.85,968.54,"33,720,628",21.89,"1,017.37","2,959,108",20.90,729.56,"3,146,893",19.14,958.83,"763,836",16.82,"1,013.05","9,090,699",18.47,601.59,"5,870,748",21.24,753.82,"1,265,044",19.03,"1,067.55","960,799",19.73,767.41,"9,364,928",21.63,772.17,"4,480,507",23.40,753.91,"2,467,487",21.22,860.05,"1,885,254",21.70,710.34,"3,859,606",22.90,974.40,"4,588,811",25.80,"1,049.59","1,439,937",24.46,"1,149.19","3,798,047",19.37,734.35,"5,454,495",19.40,883.32,"8,769,848",18.77,889.08,"4,044,605",16.12,846.86,"3,098,579",28.96,"1,119.02","4,733,323",24.27,865.64,"1,151,940",30.92,"1,304.58","1,420,373",25.48,852.56,"984,246",13.00,544.08,"1,112,328",27.64,926.17,"7,120,257",18.19,874.40,"2,071,418",23.65,"1,190.47","31,479,109",30.79,"1,729.91","7,613,432",22.35,995.09,"873,392",29.75,"1,377.59","9,308,842",18.16,826.94,"2,795,879",23.43,832.60,"3,526,027",22.51,"1,063.34","10,260,843",20.74,855.50,"1,302,530",23.78,"1,314.36","3,882,061",26.65,998.99,"807,020",27.96,"1,100.98","5,568,436",32.94,"1,015.40","16,309,713",22.76,813.70,"1,827,037",20.90,857.76,"832,679",27.26,"1,401.82","4,046,733",15.48,588.79,"4,695,072",16.34,815.68,"2,123,358",26.43,"1,175.07","4,270,716",15.07,813.47,"907,818",29.36,"1,891.29"
      Taxes,"499,943,213",43.37,"1,836.86","6,032,234",38.91,"1,380.37","905,135",12.38,"1,459.90","7,542,735",49.88,"1,578.64","4,608,936",44.48,"1,806.72","72,387,698",47.00,"2,183.97","6,568,185",46.39,"1,619.38","9,623,591",58.55,"2,932.23","2,030,789",44.73,"2,693.35","23,798,564",48.36,"1,574.92","12,461,790",45.09,"1,600.13","3,166,663",47.64,"2,672.29","2,171,127",44.58,"1,734.13","21,211,263",48.99,"1,748.95","9,736,077",50.84,"1,638.24","4,868,494",41.87,"1,696.93","4,589,475",52.83,"1,729.27","7,356,834",43.65,"1,857.32","6,491,235",36.50,"1,484.73","2,540,581",43.15,"2,027.60","9,501,164",48.44,"1,837.04","14,731,769",52.39,"2,385.71","21,856,552",46.78,"2,215.79","12,481,688",49.75,"2,613.42","4,573,823",42.74,"1,651.80","8,563,594",43.91,"1,566.13","1,345,730",36.12,"1,524.04","2,662,103",47.75,"1,597.90","3,430,007",45.29,"1,896.08","1,070,803",26.61,891.59,"16,926,417",43.23,"2,078.65","3,454,440",39.45,"1,985.31","38,700,774",37.85,"2,126.77","14,436,294",42.38,"1,886.85","1,106,499",37.69,"1,745.27","18,178,726",35.45,"1,614.88","5,417,232",45.39,"1,613.23","5,341,403",34.10,"1,610.80","21,588,754",43.63,"1,799.96","1,895,196",34.60,"1,912.41","6,161,205",42.30,"1,585.49","870,663",30.17,"1,187.81","7,197,491",42.58,"1,312.45","25,675,587",35.84,"1,280.96","3,653,782",41.79,"1,715.39","1,388,345",45.45,"2,337.28","11,562,735",44.24,"1,682.34","12,337,555",42.93,"2,143.43","3,302,046",41.10,"1,827.36","11,627,782",41.04,"2,214.82","811,648",26.25,"1,690.93"
         General sales,"164,378,016",14.26,603.95,"1,649,120",10.64,377.37,-,-,-,"3,309,921",21.89,692.74,"1,602,491",15.47,628.18,"22,684,257",14.73,684.39,"1,703,608",12.03,420.02,"3,218,062",19.58,980.52,-,-,-,"13,881,122",28.21,918.61,"4,348,817",15.73,558.40,"1,447,278",21.78,"1,221.33","701,657",14.41,560.43,"5,948,973",13.74,490.52,"3,308,186",17.28,556.65,"1,646,052",14.15,573.74,"1,686,570",19.41,635.48,"2,085,900",12.38,526.61,"2,001,177",11.25,457.73,"828,635",14.07,661.32,"2,299,610",11.73,444.63,"3,269,827",11.63,529.53,"7,230,365",15.47,733.01,"3,404,441",13.57,712.82,"2,230,309",20.84,805.46,"2,716,070",13.93,496.72,-,-,-,"855,409",15.34,513.45,"1,829,874",24.16,"1,011.54",-,-,-,"5,054,438",12.91,620.71,"1,452,283",16.58,834.65,"7,970,189",7.80,437.99,"3,342,157",9.81,436.83,"332,814",11.34,524.94,"5,872,943",11.45,521.71,"1,375,881",11.53,409.73,-,-,-,"6,659,123",13.46,555.20,"561,193",10.24,566.29,"2,347,155",16.11,604.00,"461,560",15.99,629.69,"4,218,079",24.95,769.16,"13,104,114",18.29,653.77,"1,376,209",15.74,646.11,"205,634",6.73,346.19,"2,394,516",9.16,348.39,"7,253,611",25.24,"1,260.18","897,189",11.17,496.51,"3,264,695",11.52,621.85,"346,502",11.21,721.88
         Selective sales,"74,989,257",6.50,275.52,"1,480,248",9.55,338.73,"132,004",1.81,212.91,"985,424",6.52,206.24,"625,857",6.04,245.34,"5,635,450",3.66,170.02,"817,423",5.77,201.53,"1,603,431",9.75,488.55,"274,195",6.04,363.65,"4,039,279",8.21,267.31,"1,022,583",3.70,131.30,"468,143",7.04,395.06,"306,446",6.29,244.77,"4,046,062",9.35,333.61,"1,367,876",7.14,230.17,"722,445",6.21,251.81,"552,242",6.36,208.08,"1,308,373",7.76,330.31,"1,687,407",9.49,385.96,"331,026",5.62,264.19,"1,731,736",8.83,334.83,"1,465,576",5.21,237.34,"2,065,607",4.42,209.41,"1,890,335",7.53,395.80,"798,107",7.46,288.23,"1,202,390",6.16,219.90,"304,341",8.17,344.67,"396,332",7.11,237.89,"1,094,993",14.46,605.30,"516,667",12.84,430.20,"2,928,416",7.48,359.62,"504,389",5.76,289.88,"4,849,551",4.74,266.50,"2,526,546",7.42,330.22,"304,569",10.38,480.39,"2,812,374",5.49,249.83,"705,248",5.91,210.02,"665,251",4.25,200.62,"3,395,246",6.86,283.08,"362,735",6.62,366.03,"738,588",5.07,190.06,"219,092",7.59,298.90,"1,313,096",7.77,239.44,"7,899,341",11.03,394.10,"475,269",5.44,223.13,"241,534",7.91,406.62,"1,791,501",6.85,260.66,"1,806,672",6.29,313.88,"870,441",10.83,481.71,"1,625,345",5.74,309.59,"82,055",2.65,170.95
         License taxes,"30,440,191",2.64,111.84,"454,177",2.93,103.93,"84,868",1.16,136.88,"246,472",1.63,51.58,"218,670",2.11,85.72,"3,121,848",2.03,94.19,"291,620",2.06,71.90,"361,109",2.20,110.03,"675,924",14.89,896.45,"1,503,055",3.05,99.47,"423,278",1.53,54.35,"93,425",1.41,78.84,"204,184",4.19,163.09,"1,253,554",2.90,103.36,"217,964",1.14,36.68,"468,933",4.03,163.45,"233,681",2.69,88.05,"487,281",2.89,123.02,"508,289",2.86,116.26,"124,293",2.11,99.20,"381,043",1.94,73.67,"427,572",1.52,69.24,"1,152,815",2.47,116.87,"879,188",3.50,184.08,"281,555",2.63,101.68,"603,109",3.09,110.30,"116,561",3.13,132.01,"174,102",3.12,104.50,"344,664",4.55,190.53,"132,340",3.29,110.19,"756,784",1.93,92.94,"194,151",2.22,111.58,"917,450",0.90,50.42,"874,808",2.57,114.34,"83,620",2.85,131.89,"1,379,839",2.69,122.58,"750,345",6.29,223.45,"525,660",3.36,158.52,"2,313,210",4.67,192.86,"89,553",1.63,90.37,"424,542",2.91,109.25,"109,450",3.79,149.32,"691,616",4.09,126.12,"3,710,610",5.18,185.12,"138,113",1.58,64.84,"65,406",2.14,110.11,"481,634",1.84,70.08,"565,466",1.97,98.24,"161,484",2.01,89.37,"659,184",2.33,125.56,"81,692",2.64,170.19
         Individual income tax,"172,764,266",14.99,634.76,"1,907,459",12.31,436.49,-,-,-,"2,098,350",13.88,439.17,"1,433,852",13.84,562.07,"30,732,356",19.95,927.21,"3,354,873",23.70,827.14,"3,609,595",21.96,"1,099.82","770,903",16.98,"1,022.42",-,-,-,"5,696,757",20.61,731.48,"1,068,974",16.08,902.09,"847,021",17.39,676.53,"7,247,472",16.74,597.58,"3,699,316",19.32,622.47,"1,715,117",14.75,597.81,"1,696,275",19.53,639.14,"2,532,005",15.02,639.23,"1,535,646",8.63,351.25,"1,020,009",17.32,814.05,"4,178,461",21.30,807.90,"8,036,585",28.58,"1,301.47","6,952,649",14.88,704.85,"5,306,235",21.15,"1,111.02","983,045",9.19,355.02,"3,627,422",18.60,663.39,"483,032",12.97,547.04,"1,071,876",19.22,643.38,-,-,-,"63,134",1.57,52.57,"6,323,893",16.15,776.60,"809,569",9.24,465.27,"20,576,068",20.12,"1,130.74","6,586,153",19.33,860.82,"181,973",6.20,287.02,"7,191,864",14.03,638.88,"2,070,452",17.35,616.57,"3,709,592",23.68,"1,118.69","6,410,363",12.96,534.46,"762,784",13.92,769.71,"2,298,226",15.78,591.41,-,-,-,"160,180",0.95,29.21,-,-,-,"1,461,299",16.72,686.06,"383,451",12.55,645.54,"6,087,862",23.29,885.76,-,-,-,"919,879",11.45,509.06,"5,162,239",18.22,983.28,-,-,-
         Corporate income tax,"30,765,625",2.67,113.04,"233,024",1.50,53.32,"211,811",2.90,341.63,"545,388",3.61,114.15,"212,206",2.05,83.19,"5,459,199",3.54,164.71,"301,043",2.13,74.22,"474,512",2.89,144.58,"232,528",5.12,308.39,"1,266,959",2.57,83.84,"793,173",2.87,101.85,"52,414",0.79,44.23,"96,146",1.97,76.79,"2,103,927",4.86,173.48,"989,627",5.17,166.52,"234,540",2.02,81.75,"253,840",2.92,95.64,"312,067",1.85,78.78,"286,323",1.61,65.49,"147,489",2.51,117.71,"404,967",2.06,78.30,"1,249,673",4.44,202.38,"2,413,615",5.17,244.69,"779,176",3.11,163.14,"229,501",2.14,82.88,"276,523",1.42,50.57,"89,624",2.41,101.50,"135,034",2.42,81.05,-,-,-,"255,818",6.36,213.00,"1,333,955",3.41,163.82,"163,964",1.87,94.23,"2,888,041",2.82,158.71,"920,583",2.70,120.32,"93,595",3.19,147.63,"751,567",1.47,66.76,"187,308",1.57,55.78,"324,386",2.07,97.82,"1,537,722",3.11,128.21,"66,318",1.21,66.92,"257,488",1.77,66.26,"50,819",1.76,69.33,"571,428",3.38,104.20,-,-,-,"180,141",2.06,84.57,"49,696",1.63,83.66,"414,388",1.59,60.29,-,-,-,"263,121",3.27,145.61,"670,958",2.37,127.80,-,-,-
         Other taxes,"26,605,858",2.31,97.75,"308,206",1.99,70.53,"476,452",6.52,768.47,"357,180",2.36,74.76,"515,860",4.98,202.22,"4,754,588",3.09,143.45,"99,618",0.70,24.56,"356,882",2.17,108.74,"77,239",1.70,102.44,"3,108,149",6.32,205.69,"177,182",0.64,22.75,"36,429",0.55,30.74,"15,673",0.32,12.52,"611,275",1.41,50.40,"153,108",0.80,25.76,"81,407",0.70,28.37,"166,867",1.92,62.87,"631,208",3.75,159.36,"472,393",2.66,108.05,"89,129",1.51,71.13,"505,347",2.58,97.71,"282,536",1.00,45.75,"2,041,501",4.37,206.96,"222,313",0.89,46.55,"51,306",0.48,18.53,"138,080",0.71,25.25,"352,172",9.45,398.84,"29,350",0.53,17.62,"160,476",2.12,88.71,"102,844",2.56,85.63,"528,931",1.35,64.96,"330,084",3.77,189.70,"1,499,475",1.47,82.40,"186,047",0.55,24.32,"109,928",3.74,173.39,"170,139",0.33,15.11,"327,998",2.75,97.68,"116,514",0.74,35.14,"1,273,090",2.57,106.14,"52,613",0.96,53.09,"95,206",0.65,24.50,"29,742",1.03,40.58,"243,092",1.44,44.33,"961,522",1.34,47.97,"22,751",0.26,10.68,"442,624",14.49,745.16,"392,834",1.50,57.16,"2,711,806",9.44,471.13,"189,932",2.36,105.11,"245,361",0.87,46.74,"301,399",9.75,627.91
      Current charges,"79,308,034",6.88,291.39,"1,985,493",12.81,454.35,"313,990",4.29,506.44,"777,268",5.14,162.68,"868,811",8.39,340.58,"8,096,595",5.26,244.28,"1,278,954",9.03,315.32,"1,003,159",6.10,305.65,"537,640",11.84,713.05,"2,178,506",4.43,144.17,"1,665,497",6.03,213.85,"801,355",12.06,676.25,"347,395",7.13,277.47,"2,130,425",4.92,175.66,"2,119,593",11.07,356.65,"1,180,431",10.15,411.44,"648,351",7.46,244.29,"1,354,604",8.04,341.99,"2,251,749",12.66,515.04,"343,296",5.83,273.98,"1,520,401",7.75,293.97,"1,683,998",5.99,272.71,"3,714,357",7.95,376.56,"1,221,831",4.87,255.83,"848,152",7.93,306.30,"1,245,184",6.38,227.72,"311,045",8.35,352.26,"513,718",9.21,308.35,"331,844",4.38,183.44,"431,107",10.71,358.96,"3,019,656",7.71,370.83,"635,519",7.26,365.24,"4,390,919",4.29,241.30,"2,001,634",5.88,261.62,"407,945",13.90,643.45,"3,363,323",6.56,298.78,"983,815",8.24,292.98,"1,370,503",8.75,413.30,"4,150,371",8.39,346.04,"305,769",5.58,308.55,"1,621,574",11.13,417.29,"202,246",7.01,275.92,"1,393,652",8.24,254.13,"4,615,547",6.44,230.27,"1,048,948",12.00,492.46,"296,786",9.72,499.64,"3,107,705",11.89,452.16,"2,005,472",6.98,348.41,"599,306",7.46,331.66,"1,976,855",6.98,376.54,"105,740",3.42,220.29
      Miscellaneous general revenue,"73,132,884",6.34,268.70,"793,813",5.12,181.65,"3,499,070",47.85,"5,643.66","1,095,181",7.24,229.21,"500,538",4.83,196.21,"5,202,639",3.38,156.97,"940,726",6.64,231.93,"1,146,404",6.97,349.30,"727,708",16.03,965.13,"4,154,721",8.44,274.95,"1,447,327",5.24,185.84,"381,503",5.74,321.94,"368,097",7.56,294.01,"2,979,734",6.88,245.69,"1,392,714",7.27,234.35,"691,382",5.95,240.98,"474,285",5.46,178.71,"1,012,966",6.01,255.73,"1,270,850",7.15,290.68,"532,811",9.05,425.23,"1,420,211",7.24,274.60,"3,793,499",13.49,614.33,"2,450,648",5.24,248.44,"1,383,283",5.51,289.63,"451,313",4.22,162.99,"1,227,903",6.30,224.56,"311,807",8.37,353.12,"492,775",8.84,295.78,"267,294",3.53,147.76,"494,098",12.28,411.41,"2,642,133",6.75,324.47,"999,277",11.41,574.30,"5,470,741",5.35,300.64,"1,260,630",3.70,164.77,"163,898",5.58,258.51,"2,356,033",4.60,209.29,"487,332",4.08,145.13,"1,650,857",10.54,497.85,"2,859,476",5.78,238.41,"490,587",8.96,495.04,"712,765",4.89,183.42,"298,769",10.35,407.60,"475,908",2.82,86.78,"5,944,177",8.30,296.56,"513,348",5.87,241.01,"212,457",6.95,357.67,"2,149,380",8.22,312.73,"1,203,878",4.19,209.15,"559,744",6.97,309.76,"1,386,794",4.89,264.15,"389,400",12.59,811.25
