Abbeville County,SC,24295,25417,4.7,19.8,22.4,51.6,70.2,27.6,0.3,0.4,0,1.4,1.6,68.9,1559,1.8,12245,75,90800,9660,2.46,90.4,2.8,81.7,15.6,12507,598825,91371,28.1,38741,22646,1416,1450,689,543,317,1080,187,1211,51.8,490.48
Acadia Parish,LA,57576,61773,6.9,25.8,15.8,51.1,79.7,18,0.4,0.3,0,1.6,2.8,77.3,2690,1.3,26657,71.1,118000,22236,2.76,89.8,10,79,13.3,52706,-11,602739,28.9,43396,23122,4533,4664,2629,1516,705,3734,388,4007,94.3,655.12
Accomack County,VA,33413,33164,5.6,20.7,24.6,51.3,67.8,28.8,0.7,0.8,0.2,1.7,9.1,59.9,2606,7.7,21319,66.8,171800,13438,2.35,93,11.5,81.5,19.5,53568,667932,348195,22.9,46073,26018,2387,2997,1716,802,335,2560,212,2536,73.8,449.5
Ada County,ID,494967,392365,5.6,23.2,14.9,49.9,91.9,1.4,0.8,2.7,0.2,3,8.5,84.3,29924,5.8,192630,69.3,270800,173353,2.58,83.7,8.7,95.2,38.5,763099,-11,5766679,20.7,66293,34919,41464,41789,19409,14661,3099,36701,3803,35132,372.8,1052.58
Adair County,IA,7496,7682,5.6,21.8,23,50.2,97.4,0.6,0.3,0.5,0,1.2,2.5,95.1,492,1.6,3718,74.3,104600,3200,2.17,86.1,3.2,94.2,18.5,-11,-11,63002,25.1,53363,30822,609,914,499,304,0,861,185,679,13.5,569.27
Adair County,KY,18903,18656,5.2,19.9,19.2,50.2,94.8,2.9,0.3,0.4,0.1,1.5,2.2,93,1104,1.6,8632,76.1,96400,6977,2.56,89,2.6,79.6,15.7,-11,153105,204296,26.4,38021,21196,1623,1725,1076,342,78,1617,144,1484,46,405.28
Adair County,MO,25314,25607,5.2,17.9,15.1,52,91.5,3.4,0.4,2.6,0.1,2,2.6,89.4,1176,4.1,11645,60.1,126800,9258,2.45,75.1,5.9,90.1,31,-11,282157,336233,16.8,41929,22847,1638,2175,1335,455,59,1974,298,1655,45.1,567.32
Adair County,OK,19495,22683,7.4,27,15.8,50,42.1,0.6,46.1,0.8,0.1,10.3,7.1,39.4,1268,1.8,9415,69.3,87600,7733,2.86,90.2,8.3,80.8,11.6,7219,485013,123351,26.7,34695,17026,1383,1864,978,618,770,968,109,1722,39.6,573.48
Adams County,CO,519572,441603,6.9,26.1,10.7,49.4,85.7,4,2.3,4.5,0.2,3.2,40.8,49,26796,15.3,178519,66.2,307600,166450,3,84.7,29,83.8,24.3,705841,7311352,5548735,29.8,71202,30313,36594,34447,18398,12562,10916,22016,3478,29493,378.2,1167.65
Adams County,IA,3704,4029,5.3,20.9,23.7,50.1,97.4,0.5,0.5,0.7,0,0.8,1.4,96.1,272,0.6,2012,81.7,87500,1598,2.21,88.7,1.5,93.8,15.6,-11,-11,21326,21.3,49255,28440,345,284,157,64,0,261,37,210,9.5,423.44
Adams County,ID,4379,3976,3.9,17.3,29.9,48.6,94.3,0.4,1.4,0.9,0.4,2.6,3.6,91.6,531,1.2,2705,80.3,215500,1757,2.29,81.6,3.5,90.2,21.2,-11,-11,-11,24.8,48856,28026,361,321,108,84,0,279,0,269,2.9,1363.06
Adams County,IL,65737,67103,6.3,22.6,20.7,50.7,92.8,3.9,0.3,0.9,0,2.1,1.8,91.4,4516,1.4,30244,71.8,127800,27112,2.38,88.9,2.1,92.5,25,103212,-11,1066523,17.3,52993,30343,3922,5074,2617,1251,269,4546,477,4158,78.5,855.2
Adams County,IN,35809,34387,9.3,31.4,15.9,50,97.8,0.6,0.3,0.4,0,0.9,4.5,93.6,1430,0.9,13403,77.1,129300,12481,2.79,87.7,14.8,84.7,15.5,27655,2200553,377228,21.9,52504,23316,3294,3500,2081,859,100,3230,201,3134,101.4,339.03
Adams County,MS,29538,32297,5.7,19.9,19.6,48,44.4,53.4,0.5,0.6,0,1,10.1,35.5,1486,8,14732,62.4,92100,11237,2.56,92.3,9.1,77.9,17.4,89285,155037,488747,22.3,29936,18386,2404,3323,1793,1127,1097,2111,417,2724,69.8,462.41
Adams County,ND,2200,2343,5.3,19.3,28.5,50.5,93.7,0.9,0.7,2.8,0,1.8,1.6,92.2,136,1.9,1442,73.5,121200,1035,2.16,92.4,3.8,94.5,25.6,-11,-11,43133,14.6,56681,33458,181,333,130,134,0,312,0,308,2.4,987.62
Adams County,NE,31205,31364,6.4,23.4,18.9,50.2,94.7,1.3,1.3,1.3,0.1,1.3,11,85.1,1834,6.2,13964,66.5,128500,12712,2.35,84.9,8.6,90,24.3,52979,1858945,453261,16.8,53023,28729,2251,2921,1379,825,199,2567,321,2360,55.7,563.27
Adams County,OH,27477,28550,6.1,23.8,18.5,50.4,97.1,0.5,0.6,0.4,0,1.5,1,96.2,1784,0.5,12952,70.8,105300,10673,2.57,89.3,1.7,80.2,13.2,21405,103671,224892,36.6,39079,22366,1790,2248,1272,669,72,2134,207,1935,48.9,583.87
Adams County,PA,103852,101407,4.9,19.8,21.1,50.8,95.1,2,0.4,0.9,0,1.5,7.3,88.7,7792,4.1,42756,78,205800,39345,2.5,89.1,6.3,88.8,22.3,185678,2148659,801241,28.3,67253,31590,6697,7450,4222,2403,201,6988,850,6145,195.5,518.67
Adams County,WA,20613,18728,9.6,35.9,11.3,48.9,88.5,2.2,6.2,1.4,0.1,1.7,64.7,32.5,544,24.5,6722,63.1,154500,5973,3.24,86.7,55,66.9,14.3,18696,-11,157812,18.6,48294,20248,835,1163,613,364,390,717,107,986,9.7,1924.98
Adams County,WI,20654,20875,3.4,14.1,30.2,46.8,93.8,2.9,1.2,0.6,0,1.4,4.2,90.3,1940,2.9,17887,83.3,131100,9062,2.09,87.9,4.9,87.5,13.9,55091,-11,192300,27.9,46369,27241,1139,1155,697,341,42,1089,216,846,32.3,645.65
Addison County,VT,37363,36821,4.2,16.5,20.7,50.1,94.5,1.3,0.3,1.8,0,2,2.3,92.6,2038,4.8,17688,76,249700,14584,2.32,86.7,6,93.5,39.6,55198,-11,536912,25,68825,34741,3927,4838,2444,1390,106,4537,375,4156,48,766.33
Aiken County,SC,168808,160099,5.7,21.4,19.9,51.7,70.7,25.3,0.6,1.2,0.1,2.2,5.9,65.8,13195,4.5,78520,72.6,147300,67598,2.45,88,6.4,88,26.4,-11,4639337,1749453,25,51399,28396,11212,12138,6598,4430,2491,9200,1750,9711,149.5,1071.03
Aitkin County,MN,15697,16202,3.7,16.5,33.8,49.5,94.8,0.6,2.7,0.3,0,1.6,1.4,93.8,1743,1.2,17033,82.2,183200,7681,2.03,91.3,2.7,91.2,18.1,18806,62065,173292,27.8,49351,29275,1132,1445,700,274,0,1315,132,1187,8.9,1821.66
Alachua County,FL,278468,247336,5.1,17.9,14.6,51.8,69.9,20.6,0.4,6.2,0.1,2.9,10.5,60.6,15162,10.5,120226,55,186700,97995,2.55,77.9,14.2,92.6,43.3,-11,-11,3208691,22.4,49689,28646,19727,20110,10330,7177,4816,14333,2217,16761,282.7,875.02
Alamance County,NC,171415,151131,5.9,22,17.1,52.5,73.6,20.9,1.5,1.7,0.1,2.3,13.1,62.9,9184,7.9,72827,65.2,154800,64439,2.46,85.9,12.6,86.3,24.8,254425,3138351,2108413,24.2,49688,27312,10616,10990,5939,3804,2283,8295,1203,9138,356.5,423.94
Alameda County,CA,1682353,1510271,5.7,20.3,14.3,50.7,49.3,11,1.1,32.3,0.9,5.4,22.3,30.6,48602,32.5,622922,53.5,769300,577177,2.82,87.2,45.6,88.4,47.4,3192420,-11,20901014,34.3,99406,47314,150445,150564,76387,57305,75026,69300,10213,134032,2043.6,739.02
Alamosa County,CO,16376,15445,6.3,24.2,13.9,50.1,87.5,1.8,5.5,1.7,0.3,3.2,47.6,47.1,791,9.1,7160,57.8,157500,6162,2.44,82.1,30.1,86.9,25,35395,13832,280686,14.6,37515,22131,1163,1674,807,540,512,1043,80,1490,21.4,722.64
Albany County,NY,314848,304204,5,18.3,17.4,51.6,75.8,14.1,0.3,6.8,0.1,2.9,6.3,71.6,14955,10.9,142892,56.4,222500,126540,2.29,84.9,13.2,92.1,41.8,866586,3547362,5762775,20.9,66252,37635,19516,23912,14508,7125,3223,19297,2019,20224,581.9,522.8
Albany County,WY,37066,36299,4.5,16.1,12.2,48.2,90.3,2,1.1,3.9,0.1,2.6,9.7,81.9,2325,7.3,19540,51,235000,15944,2.26,67.4,10.8,95.9,51.8,79553,-11,479554,12.7,49322,29146,2732,3396,1465,1250,280,2870,229,2811,8.5,4273.84
Albemarle County,VA,112395,98970,5.2,19.7,19.3,52.1,81.8,9.7,0.4,5.5,0.1,2.6,5.8,76.9,6705,10.4,47081,63.3,356100,41496,2.42,80.2,11.7,92.1,55.1,230570,786381,1497509,22,79880,44799,9931,11062,5716,3967,1236,9370,1306,8936,137.3,720.7
Alcona County,MI,10167,10942,3,12.6,36.1,49.7,96.8,0.5,0.7,0.4,0.1,1.4,1.6,95.3,1325,1.1,11241,88.8,112000,4988,2.05,90.8,2.2,89.3,16.9,3930,27534,52481,25.8,40484,25636,638,933,525,278,0,907,43,873,16.2,674.59
Alcorn County,MS,34740,37057,5.8,22.5,18.8,51.3,85.5,12.4,0.4,0.4,0,1.3,3.2,82.7,1759,1.4,17330,68.7,102700,14649,2.49,87.3,2.7,81.3,17.1,55345,1092673,537985,22.4,42086,23909,2466,3200,1556,1051,265,2726,286,2538,92.6,400.04
Aleutians East Borough,AK,3420,3141,2,7.6,10.5,32.5,21.1,10.2,20.2,43.4,1.2,3.9,14.8,9.1,144,27.1,755,63.8,119900,890,2.61,83.6,33.8,85.5,11.5,-11,-11,-11,5.2,69250,33939,216,300,208,28,220,47,0,278,0.4,6981.94
Aleutians West Census Area,AK,5232,5561,3.3,11.4,7.4,34,33.9,7.1,12.1,40.1,2.5,4.3,14,23.6,283,41.6,1966,28.2,279200,1187,3.74,80.3,58.2,89.5,17,14236,598515,53426,8,87466,39647,216,343,229,66,157,156,0,297,1.3,4390.28
Alexander County,IL,5240,8238,5.5,22.2,23.1,51.4,64.9,31.8,0.5,0.3,0.2,2.4,1.9,63.7,496,0.3,3962,73.7,56000,2154,2.85,89.8,0.8,86.5,12.9,2164,-11,24207,30.3,36806,19519,255,523,154,276,202,295,86,411,35,235.51
Alexander County,NC,36444,37198,5,19.9,20.4,49,90.8,5.9,0.5,1,0.1,1.7,4.8,86.7,2052,3.3,16609,75.7,136500,14169,2.53,90.3,6,82.4,14.2,-11,591468,194767,24.5,48756,26688,2371,2907,2028,630,99,2742,451,2326,143.1,259.99
Alexandria city,VA,159467,139966,7.1,18.2,11.3,51.8,62.2,21.8,0.2,5.9,0,5.3,16.7,51.9,11220,27.2,-11,43.3,572900,70598,2.21,79,33.5,93,63.1,647469,273047,2416013,31.9,100939,62679,-11,17540,9252,6882,6304,10316,1777,14805,9314.3,15.03
Alfalfa County,OK,5699,5642,4.7,19.4,20.3,40.3,87.4,4.7,4.2,0.4,0.1,3.1,6,83.1,529,3.4,2714,80.2,85700,1870,2.53,86.5,5.5,85.2,21.8,3061,-11,57139,20.2,61852,27615,385,518,234,136,45,454,38,430,6.5,866.46
Alger County,MI,8842,9601,3.8,15,26.3,44.7,84.7,7.3,4.5,0.5,0,3.1,1.7,83.4,843,1,6718,84,136200,3007,2.7,84.5,1.5,89.9,17.4,16755,-11,64637,25.3,45570,20851,570,806,323,243,62,674,52,646,10.5,915.07
Allamakee County,IA,14061,14330,7,23.5,23.5,49,96.1,1.6,0.7,0.5,0.3,0.8,7.1,90,898,5.3,7857,79.3,130400,5953,2.27,89.2,11.3,88.3,17.8,9701,262089,144626,23.3,52216,27892,1143,1300,594,492,0,1241,57,1181,22.4,639.08
Allegan County,MI,120502,111408,6.1,23.8,17,50,94.9,1.6,0.7,0.9,0,1.9,7.5,88.1,4913,3.2,51987,82.6,165400,43416,2.65,91,6,90.9,22.6,131893,5286560,949923,23.9,62965,29215,8324,9835,5366,2942,523,9078,691,8681,135,825.23
