number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
365,231,"Robinson, Stephen K.",male,1955,U.S.,FALSE,NASA-15,1994,4,MSP,1997,STS-85,STS-85,STS-85,STS-85,284,1156,0,20.08
365,231,"Robinson, Stephen K.",male,1955,U.S.,FALSE,NASA-15,1994,4,MSP,1998,STS-95,STS-95,STS-95,STS-95,213,1156,0,20.08
365,231,"Robinson, Stephen K.",male,1955,U.S.,FALSE,NASA-15,1994,4,MSP,2005,STS-114,STS-114,STS-114,STS-114,333,1156,20.08,20.08
365,231,"Robinson, Stephen K.",male,1955,U.S.,FALSE,NASA-15,1994,4,MSP,2010,STS-130,STS-130,STS-130,STS-130,330,1156,0,20.08
366,6,Bjarni Tryggvason,male,1945,Canada,FALSE,1983 NRC Group,1983,1,PSP,1997,STS-85,STS-85,STS-85,STS-85,284,284,0,0
367,232,"Bloomfield, Michael J.",male,1959,U.S.,TRUE,NASA- 15,1994,3,pilot,1997,STS-86,STS-86,STS-86,STS-86,259,779,0,0
367,232,"Bloomfield, Michael J.",male,1959,U.S.,TRUE,NASA- 15,1994,3,pilot,2000,STS-97,STS-97,STS-97,STS-97,260,779,0,0
367,232,"Bloomfield, Michael J.",male,1959,U.S.,TRUE,NASA- 15,1994,3,commander,2002,STS-110,STS-110,STS-110,STS-110,260,779,0,0
368,233,"Lindsey, Steven W.",male,1960,U.S.,TRUE,NASA- 15,1995,5,pilot,1997,STS-87,STS-87,STS-87,STS-87,376,1508,0,0
368,233,"Lindsey, Steven W.",male,1960,U.S.,TRUE,NASA- 16,1995,5,pilot,1998,STS-95,STS-95,STS-95,STS-95,213,1508,0,0
368,233,"Lindsey, Steven W.",male,1960,U.S.,TRUE,NASA- 17,1995,5,commander,2002,STS-104,STS-104,STS-104,STS-104,306,1508,0,0
368,233,"Lindsey, Steven W.",male,1960,U.S.,TRUE,NASA- 18,1995,5,commander,2006,STS-121,STS-121,STS-121,STS-121,306,1508,0,0
368,233,"Lindsey, Steven W.",male,1960,U.S.,TRUE,NASA- 19,1995,5,commander,2011,STS-133,STS-133,STS-133,STS-133,307,1508,0,0
369,234,"Chawla, Kalpana",female,1962,U.S.,FALSE,NASA- 16,1994,2,MSP,1997,STS-87,STS-87,STS-87,STS-87,376,758,0,0
369,234,"Chawla, Kalpana",female,1962,U.S.,FALSE,NASA- 16,1994,2,MSP,2003,STS-107,STS-107,STS-107,Exploded,382,758,0,0
370,5,"Doi, Takao",male,1954,Japan,FALSE,NASDA-1,1985,2,MSP,1997,STS-87,STS-87,STS-87,STS-87,376.5,763.6,12.7,12.7
370,5,"Doi, Takao",male,1954,Japan,FALSE,NASDA-1,1985,2,MSP,2008,STS-123,STS-123,STS-123,STS-123,378.3,763.6,0,12.7
371,1,"Kadenyuk, Leonid",male,1951,U.S.S.R/Ukraine,FALSE,TsPK-6 / GKNII-1 / Ukraine,1976,1,pilot,1997,STS87,STS87,STS87,STS87,376,376.57,0,0
372,235,"Edwards, Joe F., Jr.",male,1958,U.S.,TRUE,NASA- 15,1995,1,pilot,1998,STS-89,STS-89,STS-89,STS-89,211,211,0,0
373,236,"Reilly, James F.",male,1954,U.S.,FALSE,NASA-15,1994,3,MSP,1998,STS-89,STS-89,STS-89,STS-89,211,853,0,30.72
373,236,"Reilly, James F.",male,1954,U.S.,FALSE,NASA-15,1994,3,MSP,2001,STS-104,STS-104,STS-104,STS-104,306,853,16.48,30.72
373,236,"Reilly, James F.",male,1954,U.S.,FALSE,NASA-15,1994,3,MSP,2007,STS-117,STS-117,STS-117,STS-117,336,853,14.22,30.72
374,237,"Anderson, Michael P.",male,1959,U.S.,TRUE,NASA- 15,1994,2,MSP,1998,STS-89,STS-89,STS-89,STS-89,211,593,0,0
374,237,"Anderson, Michael P.",male,1959,U.S.,TRUE,NASA- 15,1994,2,MSP,2003,STS-107,STS-107,STS-107,STS-107,382,593,0,0
375,88,"Sharipov, Salizhan",male,1964,U.S.S.R/Russia,TRUE,TsPK-11,1990,2,Flight engineer,1998,24,STS­89,Mir,STS­89,211,4838.83,0,10
375,88,"Sharipov, Salizhan",male,1964,U.S.S.R/Russia,TRUE,TsPK-11,1990,2,commander,2004,10,Soyuz TMA­5,ISS,Soyuz TMA­5,4627,4838.83,10,10
376,8,"Eyharts, Léopold",male,1957,France,TRUE,CNES-3/EAC,1990,2,MSP,1998,Soyuz TM-27/26,Soyuz TM-27,Soyuz TM-27,Soyuz TM-26,496.5,1653.52,0,0
376,8,"Eyharts, Léopold",male,1957,France,TRUE,CNES-3/EAC,1990,2,flight engineer,2008,16,STS-122,ISS,STS-123,1157,1653.52,0,0
377,238,"Altman, Scott D.",male,1959,U.S.,TRUE,NASA- 15,1994,4,pilot,1998,STS-90,STS-90,STS-90,STS-90,382,1224,0,0
377,238,"Altman, Scott D.",male,1959,U.S.,TRUE,NASA- 15,1994,4,pilot,2000,STS-106,STS-106,STS-106,STS-106,283,1224,0,0
377,238,"Altman, Scott D.",male,1959,U.S.,TRUE,NASA- 15,1994,4,commander,2002,STS-109,STS-109,STS-109,STS-109,262,1224,0,0
377,238,"Altman, Scott D.",male,1959,U.S.,TRUE,NASA- 15,1994,4,commander,2009,STS-125,STS-125,STS-125,STS-125,309,1224,0,0
378,239,"Hire, Kathryn P.",female,1959,U.S.,TRUE,NASA- 15,1995,2,MSP,1998,STS-90,STS-90,STS-90,STS-90,381,711,0,0
378,239,"Hire, Kathryn P.",female,1959,U.S.,TRUE,NASA- 16,1995,2,MSP,2010,STS-130,STS-130,STS-130,STS-130,330,711,0,0
379,7,"Williams, Dafydd Rhys",male,1954,Canada,FALSE,1992 CSA Group,1992,2,MSP,1998,STS-90,STS-90,STS-90,STS-90,381.85,676.85,0,17.78
379,7,"Williams, Dafydd Rhys",male,1954,Canada,FALSE,1992 CSA Group,1992,2,MSP,2007,STS-118,STS-118,STS-118,STS-118,305,676.85,17.78,17.78
380,240,"Buckey, Jay Clark Jr.",male,1956,U.S.,FALSE,PS for Neurolab,1991,1,PSP,1998,STS-90,STS-90,STS-90,STS-90,382.31,382.31,0,0
381,241,"Pawelczyk, James Anthony",male,1960,U.S.,FALSE,PS for neurolab,1996,1,PSP,1998,STS-90,STS-90,STS-90,STS-90,382.31,382.31,0,0
382,242,"Gorie, Dominic L.",male,1957,U.S.,TRUE,NASA Astronaut Group 15,1995,4,pilot,1998,STS-91,STS-91,STS-91,STS-91,235,1176.1,0,0
382,242,"Gorie, Dominic L.",male,1957,U.S.,TRUE,NASA Astronaut Group 16,1995,4,pilot,2000,STS-99,STS-99,STS-99,STS-99,269,1176.1,0,0
382,242,"Gorie, Dominic L.",male,1957,U.S.,TRUE,NASA Astronaut Group 17,1995,4,commander,2001,STS-108,STS-108,STS-108,STS-108,283,1176.1,0,0
382,242,"Gorie, Dominic L.",male,1957,U.S.,TRUE,NASA Astronaut Group 18,1995,4,commander,2008,STS-123,STS-123,STS-123,STS-123,378,1176.1,0,0
383,243,"Kavandi, Janet L.",female,1957,U.S.,FALSE,NASA- 15,1995,3,MSP,1998,STS-91,STS-91,STS-91,STS-91,235,810,0,0
383,243,"Kavandi, Janet L.",female,1957,U.S.,FALSE,NASA- 15,1995,3,MSP,2000,STS-99,STS-99,STS-99,STS-99,269,810,0,0
383,243,"Kavandi, Janet L.",female,1957,U.S.,FALSE,NASA- 15,1995,3,MSP,2001,STS-104,STS-104,STS-104,STS-104,306,810,0,0
384,89,"Padalka, Gennady",male,1958,U.S.S.R/Russia,TRUE,TsPK-10,1989,5,commander,1998,26,Soyuz TM­28,Mir,Soyuz TM­28,4768,21083.52,5.9,37.95
384,89,"Padalka, Gennady",male,1958,U.S.S.R/Russia,TRUE,TsPK-10,1989,5,commander,2004,9,Soyuz TMA­4,ISS,Soyuz TMA­4,4509,21083.52,15.73,37.95
384,89,"Padalka, Gennady",male,1958,U.S.S.R/Russia,TRUE,TsPK-10,1989,5,commander,2009,19,Soyuz TMA­14,ISS,Soyuz TMA­14,4768,21083.52,4.9,37.95
384,89,"Padalka, Gennady",male,1958,U.S.S.R/Russia,TRUE,TsPK-10,1989,5,commander,2012,31,Soyuz TMA­04M,ISS,Soyuz TMA­04M,2999,21083.52,5.85,37.95
384,89,"Padalka, Gennady",male,1958,U.S.S.R/Russia,TRUE,TsPK-10,1989,5,commander,2015,43,Soyuz TMA­16M,ISS,Soyuz TMA­16M,4037,21083.52,5.57,37.95
385,90,"Baturin, Yuri",male,1949,U.S.S.R/Russia,FALSE,Politician-1,1997,2,MSP,1998,26,Soyuz TM­28,Mir,Soyuz TM­27,283,473.75,0,0
385,90,"Duque, Pedro",male,1963,Spain,FALSE,1992 ESA Group,1992,2,flight engineer,1998,STS-95,STS-95,STS-95,STS-95,213.73,450.76,0,0
385,90,"Baturin, Yuri",male,1949,U.S.S.R/Russia,FALSE,Politician-2,1997,2,MSP,2001,Soyuz TM­32/31,Soyuz TM­32,Soyuz TM­32,Soyuz TM­31,190,473.75,0,0
385,90,"Duque, Pedro",male,1963,Spain,FALSE,1992 ESA Group,1992,2,flight engineer,2003,Soyuz TMA-3/2,Soyuz TMA-3,Soyuz TMA-3,Soyuz TMA-2,237.03,450.76,0,0
387,244,"Sturckow, Frederick W.",male,1961,U.S.,TRUE,1994 NASA group 15,1995,4,pilot,1998,STS-88,STS-88,STS-88,STS-88,283,1237,0,0
387,244,"Sturckow, Frederick W.",male,1961,U.S.,TRUE,1994 NASA group 15,1995,4,pilot,2001,STS-105,STS-105,STS-105,STS-105,285,1237,0,0
387,244,"Sturckow, Frederick W.",male,1961,U.S.,TRUE,1994 NASA group 15,1995,4,commander,2007,STS-117,STS-117,STS-117,STS-117,336,1237,0,0
387,244,"Sturckow, Frederick W.",male,1961,U.S.,TRUE,1994 NASA group 15,1995,4,commander,2009,STS-128,STS-128,STS-128,STS-128,333,1237,0,0
388,1,"Bella, Ivan",male,1964,Slovakia,TRUE,Slovakia,1998,1,MSP,1999,27,Soyuz TM-29,Mir,Soyuz TM-28,190,190,0,0
389,245,"Husband, Rick D.",male,1957,U.S.,TRUE,NASA- 15,1995,2,pilot,1999,STS-96,STS-96,STS-96,STS-96,235,617,0,0
389,245,"Husband, Rick D.",male,1957,U.S.,TRUE,NASA- 16,1995,2,commander,2003,STS-107,STS-107,STS-107,Exploded,382,617,0,0
390,8,"Payette, Julie",female,1963,Canada,FALSE,1992 CSA Group,1992,2,MSP,1999,STS-96,STS-96,STS-96,STS-96,235.23,611.98,0,0
390,8,"Payette, Julie",female,1963,Canada,FALSE,1992 CSA Group,1992,2,MSP,2009,STS-127,STS-127,STS-127,STS-127,376.75,611.98,0,0
391,91,"Tokarev, Valeri",male,1952,U.S.S.R/Russia,TRUE,GKNII-3 / TsPK-12,1989,2,Flight engineer,1999,STS­96,STS­96,STS­96,STS­96,235,4791.1,0,11.08
391,91,"Tokarev, Valeri",male,1952,U.S.S.R/Russia,TRUE,GKNII-3 / TsPK-12,1989,2,MSP,2005,12,Soyuz TMA­7,ISS,Soyuz TMA­7,4555,4791.1,11.08,11.08
392,246,"Ashby, Jeffrey S.",male,1954,U.S.,TRUE,NASA-15,1995,3,pilot,1999,STS-93,STS-93,STS-93,STS-93,119,664,0,0
392,246,"Ashby, Jeffrey S.",male,1954,U.S.,TRUE,NASA-15,1995,3,pilot,2001,STS-100,STS-100,STS-100,STS-100,285.5,664,0,0
392,246,"Ashby, Jeffrey S.",male,1954,U.S.,TRUE,NASA-15,1995,3,commander,2002,STS-112,STS-112,STS-112,STS-112,260,664,0,0
393,247,"Kelly, Scott J.",male,1964,U.S.,TRUE,NASA- 16,1996,4,pilot,1999,STS-103,STS-103,STS-103,STS-103,191,12490,0,18.33
393,247,"Kelly, Scott J.",male,1964,U.S.,TRUE,NASA- 16,1996,4,commander,2007,STS-118,STS-118,STS-118,STS-118,305,12490,0,18.33
393,247,"Kelly, Scott J.",male,1964,U.S.,TRUE,NASA- 16,1996,4,flight engineer,2011,25,Soyuz TMA-01M,ISS,Soyuz TMA-01M,3825,12490,0,18.33
393,247,"Kelly, Scott J.",male,1964,U.S.,TRUE,NASA- 16,1996,4,flight engineer,2015,43,Soyuz TMA-16M,ISS,Soyuz TMA-18M,8163,12490,18.33,18.33
394,9,"Thiele, Gerhard",male,1953,Germany,FALSE,DLR-2/EAC,1987,1,MSP,2000,STS-99,STS-99,STS-99,STS-99,269.65,269.65,0,0
395,92,"Zalyotin, Sergei",male,1962,U.S.S.R/Russia,TRUE,TsPK-11,1990,2,commander,2000,28,Soyuz TM­30,Mir,Soyuz TM­30,1747,2008.6,5.05,5.05
395,92,"Zalyotin, Sergei",male,1962,U.S.S.R/Russia,TRUE,TsPK-11,1990,2,commander,2002,Soyuz TMA­1/TM­34,Soyuz TMA­1,Soyuz TMA­1,Soyuz TM­34,260,2008.6,0,5.05
396,248,"Williams, Jeffrey N.",male,1958,U.S.,TRUE,1996 NASA group 8,1996,4,MSP,2000,STS-101,STS-101,STS-101,STS-101,240,12752,6.73,31.92
396,248,"Williams, Jeffrey N.",male,1958,U.S.,TRUE,1996 NASA group 8,1996,4,flight engineer,2006,13,Soyuz TMA-8,ISS,Soyuz TMA-8,4320,12752,12.42,31.92
396,248,"Williams, Jeffrey N.",male,1958,U.S.,TRUE,1996 NASA group 8,1996,4,flight engineer,2010,21,Soyuz TMA-16,ISS,Soyuz TMA-16,4060,12752,0,31.92
396,248,"Williams, Jeffrey N.",male,1958,U.S.,TRUE,1996 NASA group 8,1996,4,flight engineer,2016,47,Soyuz TMA-20M,ISS,Soyuz TMA-20M,4132,12752,12.77,31.92
397,249,"Mastracchio, Richard A.",male,1960,U.S.,FALSE,NASA- 16,1996,4,MSP,2000,STS-106,STS-106,STS-106,STS-106,283,5460,0,53.07
397,249,"Mastracchio, Richard A.",male,1960,U.S.,FALSE,NASA- 16,1996,4,MSP,2007,STS-118,STS-118,STS-118,STS-118,306,5460,18.22,53.07
397,249,"Mastracchio, Richard A.",male,1960,U.S.,FALSE,NASA- 16,1996,4,MSP,2010,STS-131,STS-131,STS-131,STS-131,362,5460,20.28,53.07
397,249,"Mastracchio, Richard A.",male,1960,U.S.,FALSE,NASA- 16,1996,4,flight engineer,2014,38,Soyuz TMA-11M,ISS,Soyuz TMA-11M,4509,5460,14.57,53.07
398,250,"Burbank, Daniel C.",male,1961,U.S.,TRUE,NASA- 16,1996,3,MSP,2000,STS-106,STS-106,STS-106,STS-106,283,4534,0,7.18
398,250,"Burbank, Daniel C.",male,1961,U.S.,TRUE,NASA- 16,1996,3,MSP,2006,STS-115,STS-115,STS-115,STS-115,283,4534,7.18,7.18
398,250,"Burbank, Daniel C.",male,1961,U.S.,TRUE,NASA- 16,1996,3,commander,2011,29,Soyuz TMA-22,ISS,Soyuz TMA-22,3968,4534,0,7.18
399,93,"Morukov, Boris",male,1950,U.S.S.R/Russia,FALSE,IMBP-5,1989,1,Flight engineer,2000,STS­106,STS­106,STS­106,STS­106,283,283.2,0,0
400,251,"Melroy, Pamela A.",female,1961,U.S.,TRUE,NASA- 15,1995,3,pilot,2000,STS-92,STS-92,STS-92,STS-92,309,930,0,0
400,251,"Melroy, Pamela A.",female,1961,U.S.,TRUE,NASA- 15,1995,3,pilot,2002,STS-112,STS-112,STS-112,STS-112,259,930,0,0
400,251,"Melroy, Pamela A.",female,1961,U.S.,TRUE,NASA- 15,1995,3,commander,2007,STS-120,STS-120,STS-120,STS-120,362,930,0,0
401,252,"Polansky, Mark L.",male,1956,U.S.,FALSE,NASA-16,1996,3,pilot,2001,STS-98,STS-98,STS-98,STS-98,309,993,0,0
401,252,"Polansky, Mark L.",male,1956,U.S.,FALSE,NASA-16,1996,3,commander,2006,STS-116,STS-116,STS-116,STS-116,308,993,0,0
401,252,"Polansky, Mark L.",male,1956,U.S.,FALSE,NASA-16,1996,3,commander,2009,STS-127,STS-127,STS-127,STS-127,377,993,0,0
402,253,"Kelly, James M.",male,1959,U.S.,TRUE,NASA- 16,1996,2,pilot,2001,STS-102,STS-102,STS-102,STS-102,307,640,0,0
402,253,"Kelly, James M.",male,1959,U.S.,TRUE,NASA- 16,1996,2,pilot,2005,STS-114,STS-114,STS-114,STS-114,333,640,0,0
403,254,"Richards, Paul W.",male,1964,U.S.,FALSE,NASA-16,1996,1,MSP,2001,STS-102,STS-102,STS-102,STS-102,307,307,6.35,6.35
404,255,"Phillips, John L.",male,1951,U.S.,FALSE,NASA-16,1996,3,MSP,2001,STS-100,STS-100,STS-100,STS-100,285,4872,0,4.78
404,255,"Phillips, John L.",male,1951,U.S.,FALSE,NASA-16,1996,3,flight engineer,2005,11,Soyuz TMA-6,ISS,Soyuz TMA-6,4296,4872,4.78,4.78
404,255,"Phillips, John L.",male,1951,U.S.,FALSE,NASA-16,1996,3,MSP,2009,STS-119,STS-119,STS-119,STS-119,307.5,4872,0,4.78
405,94,"Lonchakov, Yuri",male,1965,U.S.S.R/Russia,TRUE,TsPK-12,1997,3,MSP,2001,STS­100,STS­100,STS­100,STS­100,285,4818.65,0,10.28
405,94,"Lonchakov, Yuri",male,1965,U.S.S.R/Russia,TRUE,TsPK-12,1997,3,flight engineer,2002,Soyuz TMA­1/TM­34,Soyuz TMA­1,Soyuz TMA­1,Soyuz TM­34,260,4818.65,0,10.28
405,94,"Lonchakov, Yuri",male,1965,U.S.S.R/Russia,TRUE,TsPK-12,1997,3,commander,2008,18,Soyuz TMA­13,ISS,Soyuz TMA­13,4272,4818.65,10.28,10.28
406,256,"Tito, Dennis Anthony",male,1940,U.S.,FALSE,MirCorp,2000,1,Other (space tourist),2001,ЭП-1,Soyuz TM-32,Soyuz TM-32,Soyz TM-31,190.13,190.13,0,0
407,257,"Hobaugh, Charles O.",male,1961,U.S.,TRUE,NASA- 16,1996,3,pilot,2001,STS-104,STS-104,STS-104,STS-104,306,871.78,0,0
407,257,"Hobaugh, Charles O.",male,1961,U.S.,TRUE,NASA- 16,1996,3,pilot,2007,STS-118,STS-118,STS-118,STS-118,305,871.78,0,0
407,257,"Hobaugh, Charles O.",male,1961,U.S.,TRUE,NASA- 16,1996,3,commander,2009,STS-129,STS-129,STS-129,STS-129,259,871.78,0,0
408,258,"Forrester, Patrick G.",male,1957,U.S.,TRUE,NASA- 16,1996,3,MSP,2001,STS-105,STS-105,STS-105,STS-105,285,950,11.75,25.5
408,258,"Forrester, Patrick G.",male,1957,U.S.,TRUE,NASA- 16,1996,3,MSP,2007,STS-117,STS-117,STS-117,STS-117,332,950,13.75,25.5
408,258,"Forrester, Patrick G.",male,1957,U.S.,TRUE,NASA- 16,1996,3,MSP,2009,STS-128,STS-128,STS-128,STS-128,333,950,0,25.5
409,95,"Tyurin, Mikhail",male,1960,U.S.S.R/Russia,TRUE,NPOE-11,1994,3,flight engineer,2001,3,STS­105,ISS,STS­108,3092,12770.85,13.58,25.52
409,95,"Tyurin, Mikhail",male,1960,U.S.S.R/Russia,TRUE,NPOE-11,1994,3,flight engineer,2006,14,Soyuz TMA­9,ISS,Soyuz TMA­9,5168,12770.85,11.93,25.52
409,95,"Tyurin, Mikhail",male,1960,U.S.S.R/Russia,TRUE,NPOE-11,1994,3,commander,2013,38,Soyuz TMA­11M,ISS,Soyuz TMA­11M,4509,12770.85,0,25.52
410,96,"Kozeyev, Konstantin",male,1967,U.S.S.R/Russia,FALSE,RKKE-12,1996,1,flight engineer,2001,Soyuz TM­33/32,Soyuz TM­33,Soyuz TM­33,Soyuz TM­32,235,235.98,0,0
411,259,"Kelly, Mark E.",male,1964,U.S.,TRUE,NASA- 16,1996,4,pilot,2001,STS-108,STS-108,STS-108,STS-108,283,1297,0,0
411,259,"Kelly, Mark E.",male,1964,U.S.,TRUE,NASA- 16,1996,4,pilot,2006,STS-121,STS-121,STS-121,STS-121,307,1297,0,0
411,259,"Kelly, Mark E.",male,1964,U.S.,TRUE,NASA- 16,1996,4,commander,2008,STS-124,STS-124,STS-124,STS-124,330,1297,0,0
411,259,"Kelly, Mark E.",male,1964,U.S.,TRUE,NASA- 16,1996,4,commander,2011,STS-134,STS-134,STS-134,STS-134,377,1297,0,0
412,260,"Tani, Daniel M.",male,1961,U.S.,FALSE,1996 NASA group,1996,2,MSP,2001,STS-108,STS-108,STS-108,STS-108,283,3163,4.2,39.18
412,260,"Tani, Daniel M.",male,1961,U.S.,FALSE,1996 NASA group,1996,2,MSP,2007,16,STS-120,ISS,STS-122,2880,3163,34.98,39.18
413,261,"Carey, Duane G.",male,1957,U.S.,TRUE,NASA- 16,1996,1,pilot,2002,STS-109,STS-109,STS-109,STS-109,262,262,0,0
414,262,"Massimino, Michael J.",male,1962,U.S.,FALSE,NASA- 16,1996,2,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,517.8,14.77,30.74
414,262,"Massimino, Michael J.",male,1962,U.S.,FALSE,NASA- 16,1996,2,MSP,2009,STS-125,STS-125,STS-125,STS-125,309,517.8,15.97,30.74
415,263,"Frick, Stephen N.",male,1964,U.S.,TRUE,NASA- 16,1996,2,pilot,2002,STS-110,STS-110,STS-110,STS-110,260,565,0,0
415,263,"Frick, Stephen N.",male,1964,U.S.,TRUE,NASA- 16,1996,2,commander,2008,STS-122,STS-122,STS-122,STS-122,306,565,0,0
416,264,"Walheim, Rex J.",male,1962,U.S.,TRUE,1996 NASA group,1996,3,MSP,2002,STS-110,STS-110,STS-110,STS-110,259,872.51,34.6,56.73
416,264,"Walheim, Rex J.",male,1962,U.S.,TRUE,1996 NASA group,1996,3,MSP,2008,STS-122,STS-122,STS-122,STS-122,306,872.51,22.13,56.73
416,264,"Walheim, Rex J.",male,1962,U.S.,TRUE,1996 NASA group,1996,3,MSP,2011,STS-135,STS-135,STS-135,STS-135,306.5,872.51,0,56.73
417,265,"Morin, Lee M.",male,1952,U.S.,TRUE,NASA- 16,1996,1,MSP,2002,STS-110,STS-110,STS-110,STS-110,259,259,14.12,14.12
418,4,"Vittori, Roverto",male,1964,Italy,TRUE,1998 ESA Group,1998,3,flight engineer,2002,Soyuz TMA-34/TM-33,Soyuz TMA-34,Soyuz TMA-34,Soyuz TMA-33,237,851.65,0,0
418,4,"Vittori, Roverto",male,1964,Italy,TRUE,1998 ESA Group,1998,3,flight engineer,2005,Soyuz TMA-6/TMA-5,Soyuz TMA-6,Soyuz TMA-6,Soyuz TMA-5,237,851.65,0,0
418,4,"Vittori, Roverto",male,1964,Italy,TRUE,1998 ESA Group,1998,3,MSP,2011,STS-134,STS-134,STS-134,STS-134,377.65,851.65,0,0
419,1,"Shuttleworth, M. Richard",male,1973,Republic of South Africa,FALSE,Space Tourist 2,2001,1,Other (Space tourist),2002,Soyuz TM-34 / Soyuz TM-33,Soyuz TM-34,Soyuz TM-34,Soyuz TM-33,237,237,0,0
420,266,"Lockhart, Paul S.",male,1956,U.S.,TRUE,NASA- 16,1996,2,pilot,2002,STS-111,STS-111,STS-111,STS-111,332,663.38,0,0
420,266,"Lockhart, Paul S.",male,1956,U.S.,TRUE,NASA- 17,1996,2,pilot,2002,STS-113,STS-113,STS-113,STS-113,330,663.38,0,0
421,9,"Perrin, Philippe",male,1963,France,TRUE,CNES-3/EAC,1990,1,MSP,2002,STS-111,STS-111,STS-111,STS-111,332.58,332.58,19.52,19.52
422,267,"Whitson, Peggy A.",female,1960,U.S.,FALSE,1996 NASA group,1996,3,MSP,2002,5,STS-111,ISS,STS-113,4438,15982,4.38,60.31
422,267,"Whitson, Peggy A.",female,1960,U.S.,FALSE,1996 NASA group,1996,3,flight engineer,2008,16,Soyuz TMA-11,ISS,Soyuz TMA-11,4603,15982,35.35,60.31
422,267,"Whitson, Peggy A.",female,1960,U.S.,FALSE,1996 NASA group,1996,3,flight engineer,2016,50,Soyuz MS-03,ISS,Soyuz MS-04,6941,15982,20.58,60.31
423,97,"Treshchov, Sergei",male,1958,U.S.S.R/Russia,FALSE,NPOE-10,1992,1,flight engineer,2002,5,STS­111,ISS,STS­113,4438,4438.25,5.35,5.35
424,268,"Magnus, Sandra H.",female,1964,U.S.,FALSE,NASA- 16,1996,3,MSP,2002,STS-112,STS-112,STS-112,STS-112,260,3776,0,0
424,268,"Magnus, Sandra H.",female,1964,U.S.,FALSE,NASA- 16,1996,3,MSP,2008,18,STS-126,ISS,STS-119,3210,3776,0,0
424,268,"Magnus, Sandra H.",female,1964,U.S.,FALSE,NASA- 16,1996,3,MSP,2011,STS-135,STS-135,STS-135,STS-135,306,3776,0,0
425,269,"Sellers, Piers J.",male,1955,U.K./U.S.,FALSE,NASA-16,1996,3,MSP,2002,STS-112,STS-112,STS-112,STS-112,259,839,19.68,41.17
425,269,"Sellers, Piers J.",male,1955,U.K./U.S.,FALSE,NASA-16,1996,3,MSP,2006,STS-121,STS-121,STS-121,STS-121,306,839,21.48,41.17
425,269,"Sellers, Piers J.",male,1955,U.K./U.S.,FALSE,NASA-16,1996,3,MSP,2010,STS-132,STS-132,STS-132,STS-132,282.5,839,0,41.17
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,FALSE,RKKE-14,1997,5,MSP,2002,STS­112,STS­112,STS­112,STS­112,259,16147,0,59.43
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,FALSE,RKKE-14,1997,5,flight engineer,2007,15,Soyuz TMA­10,ISS,Soyuz TMA­10,4721,16147,18.73,59.43
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,FALSE,RKKE-14,1997,5,commander,2010,24,Soyuz TMA­19,ISS,Soyuz TMA­19,3919,16147,13.17,59.43
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,FALSE,RKKE-14,1997,5,commander,2013,36,Soyuz TMA­09M,ISS,Soyuz TMA­09M,3990,16147,20.03,59.43
426,98,"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,FALSE,RKKE-14,1997,5,commander,2017,51,Soyuz MS-04,ISS,Soyuz MS-04,3258,16147,7.5,59.43
427,2,"De Winne, Frank",male,1961,Belgium,TRUE,EAC,1998,2,commander,2002,Soyuz TMA-1/TM-34,Soyuz TMA-1,Soyuz TMA-1,Soyuz TMA-34,261,4769.58,0,0
427,2,"De Winne, Frank",male,1961,Belgium,TRUE,EAC,1998,2,commander,2009,20,Soyuz TMA-15,ISS,Soyuz TMA-15,4508.6,4769.58,0,0
428,270,"Herrington, John B.",male,1958,U.S.,TRUE,NASA- 16,1996,1,MSP,2002,STS-113,STS-113,STS-113,STS-113,330,330,19.92,19.92
429,271,"Pettit, Donald R.",male,1955,U.S.,FALSE,NASA-16,1996,3,flight engineer,2002,6,STS-113,ISS,Soyuz TMA-1,3865,8872.5,13.28,13.28
429,271,"Pettit, Donald R.",male,1955,U.S.,FALSE,NASA-16,1996,3,MSP,2008,STS-126,STS-126,STS-126,STS-126,380.5,8872.5,0,13.28
429,271,"Pettit, Donald R.",male,1955,U.S.,FALSE,NASA-16,1996,3,flight engineer,2011,30,Soyuz TMA-03M,ISS,Soyuz TMA-03M,4627,8872.5,0,13.28
430,272,"McCool, William C.",male,1961,U.S.,TRUE,NASA- 16,1996,1,pilot,2003,STS-107,STS-107,STS-107,STS-107,382,382,0,0
431,273,"Brown, David M.",male,1956,U.S.,TRUE,NASA- 16,1996,1,MSP,2003,STS-107,STS-107,STS-107,STS-107,382,382,0,0
432,274,"Clark, Laurel B.",female,1961,U.S.,TRUE,NASA- 16,1996,1,MSP,2003,STS-107,STS-107,STS-107,STS-107,382,382,0,0
433,1,"Ramon, Ilan",male,1954,Israel,TRUE,1996 NASA Group,1996,1,PSP,2003,STS-107,STS-107,STS-107,Exploded,382.33,382.33,0,0
