number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
321,204,"Tanner, Joseph R.",male,1950,U.S.,FALSE,1992 NASA group,1992,4,MSP,2006,STS-115,STS-115,STS-115,STS-115,283,1045.25,13.13,46.48
322,5,"Clervoy, Jean-François",male,1958,France,TRUE,CNES-2/ESA-2/EAC,1985,3,MSP,1994,STS-66,STS-66,STS-66,STS-66,263,675.1,0,0
322,5,"Clervoy, Jean-François",male,1958,France,TRUE,CNES-2/ESA-2/EAC,1985,3,MSP,1997,STS-84,STS-84,STS-84,STS-84,221.1,675.1,0,0
322,5,"Clervoy, Jean-François",male,1958,France,TRUE,CNES-2/ESA-2/EAC,1985,3,MSP,1999,STS-103,STS-103,STS-103,STS-103,191,675.1,0,0
323,205,"Parazynski, Scott E.",male,1961,U.S.,FALSE,NASA-14,1992,5,MSP,1994,STS-66,STS-66,STS-66,STS-66,262,1379,0,47.08
323,205,"Parazynski, Scott E.",male,1961,U.S.,FALSE,NASA-14,1992,5,MSP,1997,STS-86,STS-86,STS-86,STS-86,259,1379,5.017,47.08
323,205,"Parazynski, Scott E.",male,1961,U.S.,FALSE,NASA-14,1992,5,MSP,1998,STS-95,STS-95,STS-95,STS-95,213,1379,0,47.08
323,205,"Parazynski, Scott E.",male,1961,U.S.,FALSE,NASA-14,1992,5,MSP,2001,STS-100,STS-100,STS-100,STS-100,283,1379,14.83,47.08
323,205,"Parazynski, Scott E.",male,1961,U.S.,FALSE,NASA-14,1992,5,MSP,2007,STS-120,STS-120,STS-120,STS-120,362,1379,27.23,47.08
324,206,"Collins, Eileen M.",female,1956,U.S.,TRUE,NASA- 13,1990,4,pilot,1995,STS-63,STS-63,STS-63,STS-63,198.5,872,0,0
324,206,"Collins, Eileen M.",female,1956,U.S.,TRUE,NASA- 13,1990,4,pilot,1997,STS-84,STS-84,STS-84,STS-84,120,872,0,0
324,206,"Collins, Eileen M.",female,1956,U.S.,TRUE,NASA- 13,1990,4,commander,1999,STS-93,STS-93,STS-93,STS-93,119,872,0,0
324,206,"Collins, Eileen M.",female,1956,U.S.,TRUE,NASA- 13,1990,4,commander,2005,STS-114,STS-114,STS-114,STS-114,333,872,0,0
325,207,"Gregory, William G.",male,1957,U.S.,TRUE,NASA Astronaut Group 13,1990,1,pilot,1995,STS-67,STS-67,STS-67,STS-67,399,399,0,0
326,208,"Grunsfeld, John M.",male,1958,U.S.,FALSE,NASA Astronaut Group 14,1992,5,MSP,1995,STS-67,STS-67,STS-67,STS-67,399,1405,0,59.5
326,208,"Grunsfeld, John M.",male,1958,U.S.,FALSE,NASA Astronaut Group 15,1992,5,MSP,1997,STS-81,STS-81,STS-81,STS-81,244,1405,0,59.5
326,208,"Grunsfeld, John M.",male,1958,U.S.,FALSE,NASA Astronaut Group 16,1992,5,MSP,1999,STS-103,STS-103,STS-103,STS-103,191,1405,16.33,59.5
