"Location.County","Location.State","Location.State Abbreviation","Vote Data.Ben Carson.Number of Votes","Vote Data.Ben Carson.Party","Vote Data.Ben Carson.Percent of Votes","Vote Data.Bernie Sanders.Number of Votes","Vote Data.Bernie Sanders.Party","Vote Data.Bernie Sanders.Percent of Votes","Vote Data.Carly Fiorina.Number of Votes","Vote Data.Carly Fiorina.Party","Vote Data.Carly Fiorina.Percent of Votes","Vote Data.Chris Christie.Number of Votes","Vote Data.Chris Christie.Party","Vote Data.Chris Christie.Percent of Votes","Vote Data.Donald Trump.Number of Votes","Vote Data.Donald Trump.Party","Vote Data.Donald Trump.Percent of Votes","Vote Data.Hillary Clinton.Number of Votes","Vote Data.Hillary Clinton.Party","Vote Data.Hillary Clinton.Percent of Votes","Vote Data.Jeb Bush.Number of Votes","Vote Data.Jeb Bush.Party","Vote Data.Jeb Bush.Percent of Votes","Vote Data.John Kasich.Number of Votes","Vote Data.John Kasich.Party","Vote Data.John Kasich.Percent of Votes","Vote Data.Marco Rubio.Number of Votes","Vote Data.Marco Rubio.Party","Vote Data.Marco Rubio.Percent of Votes","Vote Data.Martin O'Malley.Number of Votes","Vote Data.Martin O'Malley.Party","Vote Data.Martin O'Malley.Percent of Votes","Vote Data.Mike Huckabee.Number of Votes","Vote Data.Mike Huckabee.Party","Vote Data.Mike Huckabee.Percent of Votes","Vote Data.No Preference.Number of Votes","Vote Data.No Preference.Party","Vote Data.No Preference.Percent of Votes","Vote Data.Rand Paul.Number of Votes","Vote Data.Rand Paul.Party","Vote Data.Rand Paul.Percent of Votes","Vote Data.Rick Santorum.Number of Votes","Vote Data.Rick Santorum.Party","Vote Data.Rick Santorum.Percent of Votes","Vote Data.Ted Cruz.Number of Votes","Vote Data.Ted Cruz.Party","Vote Data.Ted Cruz.Percent of Votes","Vote Data.Uncommitted.Number of Votes","Vote Data.Uncommitted.Party","Vote Data.Uncommitted.Percent of Votes"
"Greenbrier","West Virginia","WV","0","Republican","0.0","2864","Democrat","52.900000000000006","0","Republican","0.0","0","Republican","0.0","3005","Republican","76.2","1894","Democrat","35.0","0","Republican","0.0","223","Republican","5.7","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","371","Republican","9.4","0","N/A","0.0"
"Greenbush","Maine","ME","0","Republican","0.0","2","Democrat","100.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","N/A","0.0"
"Greene","Alabama","AL","19","Republican","7.000000000000001","213","Democrat","7.1","0","Republican","0.0","0","Republican","0.0","147","Republican","53.79999999999999","2714","Democrat","90.10000000000001","0","Republican","0.0","10","Republican","3.7000000000000006","33","Republican","12.1","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","59","Republican","21.600000000000005","0","N/A","0.0"
"Greene","Arkansas","AR","376","Republican","6.3","585","Democrat","31.0","0","Republican","0.0","0","Republican","0.0","2103","Republican","35.1","1236","Democrat","65.5","0","Republican","0.0","206","Republican","3.4000000000000004","1318","Republican","22.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","1709","Republican","28.499999999999996","0","N/A","0.0"
"Greene","Georgia","GA","181","Republican","4.8","169","Democrat","13.5","0","Republican","0.0","0","Republican","0.0","1555","Republican","41.199999999999996","1076","Democrat","85.8","0","Republican","0.0","364","Republican","9.6","982","Republican","26.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","637","Republican","16.9","0","N/A","0.0"
"Greene","Iowa","IA","62","Republican","11.4","184","Democrat","46.1","2","Republican","0.4","13","Republican","2.4","164","Republican","30.0","215","Democrat","53.900000000000006","25","Republican","4.6","6","Republican","1.0999999999999999","77","Republican","14.099999999999998","0","Democrat","0.0","14","Republican","2.6","0","N/A","0.0","14","Republican","2.6","7","Republican","1.3","162","Republican","29.7","0","N/A","0.0"
"Greene","Illinois","IL","0","Republican","0.0","530","Democrat","49.4","0","Republican","0.0","0","Republican","0.0","1014","Republican","46.800000000000004","503","Democrat","46.9","0","Republican","0.0","145","Republican","6.7","131","Republican","6.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","808","Republican","37.3","0","N/A","0.0"
"Greene","Indiana","IN","0","Republican","0.0","1464","Democrat","57.4","0","Republican","0.0","0","Republican","0.0","4491","Republican","64.6","1086","Democrat","42.6","0","Republican","0.0","302","Republican","4.3","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","1971","Republican","28.300000000000004","0","N/A","0.0"
"Greene","Maine","ME","0","Republican","0.0","5","Democrat","71.4","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","2","Democrat","28.6","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","N/A","0.0"
"Greene","Missouri","MO","0","Republican","0.0","17403","Democrat","61.1","0","Republican","0.0","0","Republican","0.0","16649","Republican","32.1","10910","Democrat","38.3","0","Republican","0.0","4618","Republican","8.9","2684","Republican","5.2","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","26784","Republican","51.7","0","N/A","0.0"
"Greene","Mississippi","MS","0","Republican","0.0","61","Democrat","13.699999999999998","0","Republican","0.0","0","Republican","0.0","1088","Republican","50.3","374","Democrat","84.0","0","Republican","0.0","90","Republican","4.2","100","Republican","4.6","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","826","Republican","38.2","0","N/A","0.0"
"Greene","North Carolina","NC","0","Republican","0.0","822","Democrat","29.4","0","Republican","0.0","0","Republican","0.0","603","Republican","42.8","1643","Democrat","58.70000000000001","0","Republican","0.0","63","Republican","4.5","47","Republican","3.3000000000000003","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","675","Republican","47.9","0","N/A","0.0"
"Greene","New York","NY","0","Republican","0.0","1458","Democrat","57.9","0","Republican","0.0","0","Republican","0.0","2538","Republican","63.800000000000004","1062","Democrat","42.1","0","Republican","0.0","794","Republican","20.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","645","Republican","16.2","0","N/A","0.0"
"Greene","Ohio","OH","0","Republican","0.0","6759","Democrat","50.0","0","Republican","0.0","0","Republican","0.0","13137","Republican","36.1","6672","Democrat","49.4","0","Republican","0.0","17070","Republican","46.800000000000004","816","Republican","2.1999999999999997","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","4965","Republican","13.600000000000001","0","N/A","0.0"
"Greene","Pennsylvania","PA","0","Republican","0.0","1872","Democrat","45.0","0","Republican","0.0","0","Republican","0.0","2478","Republican","65.6","2166","Democrat","52.1","0","Republican","0.0","413","Republican","10.9","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","819","Republican","21.7","0","N/A","0.0"
