"Country","Days since outbreak","Counts.Household contacts","Counts.Total contacts","Counts.Times left home","Counts.Handwashes","Scores.Isolate.Willingness if symptoms","Scores.Isolate.Willingness if advised","Scores.Isolate.Difficulty","Scores.Masks.Outside home","Scores.Masks.Grocery store","Scores.Masks.Clothing store","Scores.Masks.Work","Scores.Masks.Public transport","Scores.Avoidance.Symptomatic people","Scores.Avoidance.Going out","Scores.Avoidance.Healthcare settings","Scores.Avoidance.Public transport","Scores.Avoidance.Working outside home","Scores.Avoidance.Children going to school","Scores.Avoidance.Having guests","Scores.Avoidance.Gatherings.Small","Scores.Avoidance.Gatherings.Medium","Scores.Avoidance.Gatherings.Large","Scores.Avoidance.Crowded areas","Scores.Avoidance.Shops","Scores.Precautions.Cleaned surfaces","Scores.Precautions.Covered mouth sneeze","Scores.Precautions.Used hand sanitiser","Scores.Outlooks.Covid is dangerous","Scores.Outlooks.Likely to get covid","Scores.Outlooks.Life greatly impacted"
"India","85","4.9","4.7","1.5","10.8","53.4","21.9","83.5","88.3","0.0","0.0","0.0","0.0","88.1","84.5","75.4","86.6","86.7","85.2","84.6","85.5","87.1","87.9","90.6","75.5","82.0","91.1","84.9","0.0","0.0","0.0"
"India","115","4.6","4.6","2.0","10.7","50.1","25.2","76.8","88.3","0.0","0.0","0.0","0.0","84.4","81.7","73.4","84.2","81.2","83.7","79.7","82.1","84.1","86.2","88.6","71.3","81.3","88.7","84.9","0.0","0.0","0.0"
"India","146","4.0","4.5","1.8","8.5","49.4","25.5","75.9","92.1","92.6","92.3","91.0","94.3","87.1","80.6","74.2","84.8","74.6","82.2","79.0","80.5","83.0","87.2","89.2","67.7","80.1","90.9","87.5","63.2","21.7","52.7"
"India","176","4.4","6.1","2.0","10.4","50.5","26.6","74.7","94.4","93.4","92.4","91.9","94.4","89.6","82.2","76.6","86.1","73.4","86.3","80.0","81.4","84.9","89.0","91.1","69.1","83.3","92.2","89.6","65.2","24.8","56.3"
"India","207","5.8","7.9","2.1","11.3","51.1","26.0","77.0","94.4","93.5","92.7","91.6","94.8","88.9","80.2","75.0","83.1","68.2","86.6","75.0","79.3","83.1","88.5","90.2","66.8","80.8","93.2","91.0","58.5","23.1","54.8"
"India","238","4.1","8.1","2.1","11.2","51.6","24.3","76.6","92.8","91.9","90.2","89.6","92.8","88.0","77.9","73.6","80.4","63.9","83.0","70.5","76.0","80.8","86.8","88.7","60.0","80.1","91.2","88.7","57.9","25.8","53.1"
"Indonesia","85","3.9","6.7","2.0","10.3","74.7","12.9","77.5","86.9","0.0","0.0","0.0","0.0","86.9","73.7","72.3","81.6","56.1","83.4","52.4","65.2","77.0","86.4","84.6","45.8","60.0","90.2","65.5","0.0","0.0","0.0"
"Indonesia","115","4.3","7.0","2.3","9.7","68.6","14.1","73.8","91.9","0.0","0.0","0.0","0.0","87.5","71.6","73.0","82.6","55.4","82.1","51.4","61.9","73.8","82.8","81.8","45.6","61.2","90.4","70.5","0.0","0.0","0.0"
"Indonesia","146","3.7","10.7","2.5","10.9","65.7","13.2","71.7","94.4","92.3","90.9","89.2","93.5","86.9","69.0","71.8","79.3","43.6","75.6","47.4","58.6","70.1","80.2","80.4","42.3","59.9","90.8","74.1","78.8","25.2","68.5"
"Indonesia","176","4.3","8.8","2.5","10.6","61.2","14.7","69.1","92.5","89.9","88.2","88.0","91.7","85.5","65.0","69.2","72.9","39.6","68.3","42.0","55.3","65.3","75.3","77.3","41.5","60.0","90.2","73.3","79.2","26.6","67.4"
"Indonesia","207","3.8","10.4","2.7","11.2","64.8","16.4","71.6","95.6","93.5","93.3","88.0","95.1","87.5","63.2","70.7","71.4","37.2","67.7","36.8","50.0","61.2","73.3","75.9","35.5","59.3","92.6","77.0","79.1","22.9","68.6"
"Indonesia","238","4.1","8.8","2.6","9.1","61.8","16.3","71.1","95.2","94.3","93.6","90.5","94.9","87.7","65.0","71.7","72.7","39.7","66.9","40.3","54.0","65.3","76.5","78.1","37.8","59.6","92.9","77.5","80.8","24.4","67.1"
"Italy","85","2.4","4.1","0.7","13.4","87.7","16.1","93.6","89.7","0.0","0.0","0.0","0.0","94.7","89.7","93.2","95.6","73.4","93.4","96.7","91.3","95.6","97.3","97.1","84.7","74.2","95.2","77.3","0.0","0.0","0.0"
"Italy","115","2.6","5.7","1.2","14.7","85.5","17.3","90.1","94.8","0.0","0.0","0.0","0.0","92.2","74.8","88.9","92.8","59.2","89.4","92.1","84.4","92.2","95.4","95.3","75.7","70.9","94.2","81.5","0.0","0.0","0.0"
"Italy","146","3.0","10.7","1.9","13.1","85.4","19.4","89.5","94.7","95.6","92.2","77.1","88.2","86.0","44.1","76.2","81.0","36.7","73.7","70.2","61.5","75.2","86.4","85.0","48.2","65.5","94.2","87.1","46.5","18.3","60.7"
"Italy","176","3.2","17.5","2.3","14.0","84.5","19.5","87.2","92.4","96.7","94.1","80.2","89.2","84.4","33.9","68.2","73.9","29.5","58.9","57.7","53.4","66.6","80.4","80.6","37.5","63.2","93.5","87.0","47.9","19.3","58.2"
"Italy","207","4.5","19.3","2.3","14.0","87.2","19.4","87.0","93.1","96.8","95.1","77.5","91.0","83.4","28.9","67.0","71.7","23.8","53.0","50.7","49.4","63.9","80.9","79.3","32.0","62.8","93.8","88.4","49.7","20.2","58.4"
"Italy","238","3.3","18.0","2.1","12.3","89.3","20.8","86.9","93.8","97.1","94.6","82.5","90.5","83.9","28.4","66.4","71.8","25.4","29.1","52.2","48.1","63.2","78.2","81.0","32.7","63.0","94.3","88.6","49.4","23.7","60.5"
"Italy","268","3.4","14.7","2.0","14.1","91.4","23.7","82.9","97.1","98.0","96.9","87.2","92.8","89.1","36.6","71.0","79.1","24.3","20.6","65.1","57.2","73.2","86.6","86.8","37.0","63.9","95.6","89.7","51.9","27.6","64.3"
"Italy","299","2.4","9.5","1.5","14.7","89.8","18.8","85.4","97.6","97.8","95.9","91.5","94.0","91.6","62.2","81.5","87.3","37.9","39.8","83.7","76.5","89.5","94.5","92.2","58.0","69.6","97.0","90.4","56.1","28.3","69.2"
"Italy","329","3.6","8.4","1.7","13.7","91.0","21.3","84.2","97.0","97.6","96.4","89.9","93.2","92.3","56.5","81.9","85.8","36.3","43.7","82.2","73.6","84.2","91.4","91.1","54.7","70.4","95.8","89.3","53.5","28.0","69.3"
"Italy","360","2.6","9.1","1.5","12.9","90.7","20.3","85.1","97.8","97.9","96.3","92.9","94.4","94.3","64.9","84.8","87.8","39.8","48.1","86.5","81.2","89.4","94.4","92.9","62.3","0.0","96.3","90.3","55.2","26.3","74.5"
"Italy","391","2.9","10.8","1.7","12.1","92.5","19.3","85.6","97.7","98.3","96.4","91.7","94.8","94.1","56.4","80.2","85.7","33.5","35.1","84.2","76.1","86.9","92.3","91.6","55.0","0.0","96.3","90.3","52.1","26.4","74.3"
"Italy","419","2.5","5.8","1.7","11.6","91.7","20.3","84.2","97.5","97.9","95.9","91.5","94.4","94.3","64.1","81.7","87.5","39.6","54.3","88.3","81.5","89.7","94.2","93.2","62.5","0.0","95.9","90.4","52.4","27.2","74.5"
"Italy","450","2.5","7.4","1.6","11.3","91.7","19.7","82.6","97.3","97.4","94.6","91.4","93.4","95.0","61.8","80.2","86.5","37.7","42.7","85.7","80.0","88.7","94.1","93.1","60.4","0.0","96.4","90.1","54.3","23.4","74.9"
"Italy","480","3.7","13.5","2.1","14.9","90.1","19.7","82.9","97.2","97.6","96.1","90.9","94.6","93.3","47.5","76.9","83.1","30.4","30.2","78.1","70.6","81.2","89.3","88.8","49.0","0.0","95.9","90.1","52.7","22.0","72.4"
"Japan","85","2.7","17.5","1.4","5.9","81.4","37.6","75.7","74.7","0.0","0.0","0.0","0.0","72.4","51.8","54.3","65.3","34.1","56.7","53.4","47.2","68.8","77.6","75.4","39.4","29.6","82.7","31.5","0.0","0.0","0.0"
"Japan","115","2.2","11.3","1.6","6.2","76.1","35.5","74.2","86.0","0.0","0.0","0.0","0.0","75.9","60.1","59.9","71.5","40.3","66.1","61.7","58.5","77.1","83.9","82.0","46.1","35.0","84.0","35.5","0.0","0.0","0.0"
"Japan","146","2.3","16.1","1.5","5.8","73.3","31.6","71.7","86.1","90.4","83.0","82.9","81.6","72.0","42.3","48.7","60.0","27.4","26.9","54.1","45.2","67.7","77.5","74.3","35.0","35.0","86.0","36.2","65.8","40.8","51.6"
"Japan","176","2.6","13.3","1.5","5.8","74.0","32.7","71.2","88.2","92.2","86.6","85.1","86.4","72.5","44.9","46.8","60.3","30.7","23.7","53.0","46.5","70.4","79.6","77.5","35.7","35.1","85.3","39.1","70.8","44.2","54.9"
"Japan","207","2.5","15.9","1.7","6.0","74.5","34.0","72.0","89.4","94.0","88.1","86.3","87.9","72.5","40.2","44.7","53.8","25.8","18.8","50.0","42.4","66.8","77.7","74.1","33.4","33.6","89.1","38.5","66.6","44.3","53.4"
"Japan","238","2.4","13.4","1.6","5.9","72.6","34.4","71.6","89.1","92.2","85.9","86.3","86.3","70.2","39.4","40.8","53.5","25.9","17.0","51.1","39.5","65.9","77.5","71.3","28.4","34.0","87.0","40.3","63.7","41.8","51.0"
"Japan","268","3.1","14.4","1.7","5.7","67.9","34.0","70.8","90.3","94.1","88.3","85.3","87.3","69.9","37.2","39.8","52.2","25.7","18.9","47.7","39.6","63.4","75.2","68.8","29.0","32.7","87.5","37.7","63.3","41.5","49.1"
"Japan","299","1.9","11.9","1.4","5.4","68.1","33.7","68.2","89.0","92.5","87.8","86.4","86.7","74.5","39.1","41.3","53.5","26.9","22.4","52.0","41.7","63.4","73.6","69.0","28.1","33.7","86.1","42.4","62.8","41.8","50.7"
"Japan","329","6.0","16.4","1.8","8.4","70.7","34.0","67.0","90.0","92.4","87.8","90.6","86.4","75.4","41.1","45.9","53.3","27.6","21.4","52.9","46.5","70.5","79.0","75.2","32.7","37.1","84.8","41.5","68.7","43.7","50.5"
"Japan","360","2.7","9.4","1.6","5.9","71.4","32.4","71.0","91.1","92.9","87.5","91.9","89.1","80.0","53.5","53.4","65.8","38.0","25.2","66.7","59.5","79.7","85.8","80.4","40.7","0.0","89.9","50.9","71.6","47.7","56.5"
"Japan","391","2.3","10.7","1.5","6.1","75.5","33.2","74.7","93.5","95.0","89.7","93.0","91.5","81.7","47.2","52.0","62.5","32.8","21.3","65.9","57.1","77.8","85.0","78.3","37.1","0.0","90.2","52.5","67.2","42.1","55.1"
"Japan","419","2.0","14.3","1.5","7.0","70.3","31.6","72.1","92.4","94.7","89.5","92.6","90.6","80.1","46.2","45.2","56.6","29.8","21.1","62.0","53.0","75.5","82.9","76.1","32.0","0.0","90.8","50.3","68.2","39.8","53.7"
"Japan","450","2.6","12.6","1.9","5.6","64.7","29.4","68.4","88.9","90.3","86.9","86.9","87.4","78.6","46.9","47.7","61.1","34.1","19.0","64.1","56.6","75.7","82.0","77.1","36.3","0.0","87.7","52.7","61.4","40.4","51.1"
"Japan","480","2.6","11.4","1.5","5.7","72.7","30.6","72.3","92.9","94.2","89.8","91.3","90.1","81.1","51.7","53.9","63.6","34.8","20.4","68.0","60.1","78.1","85.6","79.7","38.8","0.0","91.5","53.0","70.6","45.1","58.6"
"Malaysia","85","3.3","4.7","0.8","10.8","76.0","9.7","82.3","88.7","0.0","0.0","0.0","0.0","74.1","69.3","62.2","65.9","63.8","78.7","67.7","73.3","75.3","76.3","83.0","41.2","64.2","90.9","77.3","0.0","0.0","0.0"
"Malaysia","115","4.1","7.4","1.4","9.3","74.1","12.3","80.9","91.7","0.0","0.0","0.0","0.0","77.7","68.4","63.7","70.4","53.7","76.8","69.2","69.7","74.3","77.9","85.0","42.3","61.3","89.8","81.5","0.0","0.0","0.0"
"Malaysia","146","3.5","8.8","1.4","9.1","70.9","12.9","83.3","93.0","92.4","91.7","77.6","91.5","80.6","64.6","62.6","69.3","42.7","71.2","65.6","61.9","69.7","77.9","85.3","39.1","61.1","91.7","83.6","83.5","14.8","47.1"
"Malaysia","176","3.3","13.0","1.7","8.1","71.0","12.0","82.6","92.3","91.1","90.7","73.0","91.3","81.6","57.4","59.0","66.1","36.2","38.3","55.7","54.7","61.7","73.4","81.9","34.2","58.6","92.2","82.3","84.7","16.6","48.3"
"Malaysia","207","3.7","11.9","1.6","9.0","72.1","12.0","85.1","96.9","97.0","96.5","79.9","95.9","83.6","58.0","59.8","65.2","33.5","28.6","54.1","57.6","63.6","74.3","82.2","34.3","61.3","94.5","83.9","85.0","16.2","53.7"
"Malaysia","238","3.5","11.4","1.7","8.9","70.3","15.2","79.9","97.0","96.3","96.7","79.1","95.2","80.1","56.5","55.4","63.8","30.5","22.2","48.4","53.2","59.9","72.5","81.8","28.9","59.5","92.7","82.9","85.1","15.5","52.2"
"Mexico","85","3.1","7.6","1.1","12.1","87.3","18.9","87.4","70.9","0.0","0.0","0.0","0.0","91.5","81.4","86.2","78.1","65.5","89.5","85.8","81.6","86.2","90.6","91.1","67.3","84.2","95.7","87.8","0.0","0.0","0.0"
"Mexico","115","3.2","8.3","1.3","13.1","86.4","19.5","87.0","92.2","0.0","0.0","0.0","0.0","93.1","80.5","90.0","81.5","65.3","90.0","85.1","81.8","87.0","90.8","91.3","68.1","85.0","95.9","91.1","0.0","0.0","0.0"
"Mexico","146","4.6","8.5","1.3","11.8","87.0","21.0","85.8","93.7","94.7","94.5","89.8","92.8","93.5","78.3","89.6","78.9","58.9","88.0","85.3","79.6","86.4","91.5","91.5","67.0","84.3","97.3","91.4","58.9","35.1","64.6"
"Mexico","176","4.4","8.7","1.5","11.6","86.0","20.2","88.7","94.9","95.9","95.1","90.8","94.8","92.4","76.6","89.5","75.2","53.6","87.7","83.2","78.9","85.5","90.5","89.8","67.7","83.6","97.2","93.0","60.3","35.2","64.2"
"Mexico","207","5.1","9.3","1.5","12.5","87.9","19.6","87.4","95.6","96.4","96.3","92.0","95.5","93.6","75.3","88.0","74.3","53.6","84.1","82.7","77.9","84.9","90.5","91.3","63.2","84.1","97.8","94.4","58.5","35.0","63.4"
"Mexico","238","4.0","11.5","1.7","12.5","85.1","20.2","88.6","95.8","96.3","95.7","91.3","95.1","91.7","72.3","88.2","71.5","47.8","84.7","80.2","74.2","80.4","87.3","88.9","59.1","84.2","97.3","94.4","58.4","33.5","63.9"
"Netherlands","85","2.5","4.5","1.3","11.0","85.0","20.3","86.8","11.5","0.0","0.0","0.0","0.0","83.4","51.7","77.1","85.2","56.9","68.7","75.5","72.8","86.5","89.5","86.0","55.1","58.2","83.4","60.6","0.0","0.0","0.0"
"Netherlands","115","2.2","4.4","1.5","9.2","79.8","20.1","83.8","12.9","0.0","0.0","0.0","0.0","77.6","39.4","68.0","82.2","47.5","45.7","62.9","60.5","78.4","85.9","80.9","46.1","53.3","82.0","63.0","0.0","0.0","0.0"
"Netherlands","146","1.9","4.7","1.9","8.4","79.0","19.7","81.0","21.0","9.2","7.2","13.0","30.9","72.5","28.9","54.2","74.9","40.6","31.7","49.9","46.8","63.7","75.8","73.0","37.0","53.5","79.8","65.6","33.3","22.0","47.6"
"Netherlands","176","2.3","4.4","1.8","9.8","77.1","23.8","83.3","21.0","10.2","8.4","12.6","34.5","63.5","20.8","42.2","67.6","29.4","19.1","36.5","38.1","52.9","67.8","71.3","29.6","52.8","82.2","66.4","41.5","23.1","48.7"
"Netherlands","207","2.1","5.1","1.6","7.9","83.4","21.8","84.5","23.5","10.8","10.5","13.9","39.8","71.4","24.3","45.4","70.0","27.7","19.9","40.6","42.7","58.9","72.2","73.6","34.9","52.2","81.7","68.8","44.4","22.6","49.8"
"Netherlands","238","2.8","6.6","1.8","8.2","79.5","24.2","82.3","23.5","11.0","10.6","15.2","43.9","68.8","23.0","43.2","61.6","30.0","19.2","37.7","37.6","55.2","69.4","66.2","29.3","50.1","81.9","66.6","39.7","23.3","53.2"
"Netherlands","268","2.0","5.3","2.1","10.6","81.2","19.3","85.3","62.8","53.8","46.9","33.9","60.0","76.6","33.2","52.2","71.7","40.2","24.2","50.8","53.3","69.4","79.4","78.8","41.6","54.2","84.3","70.6","46.7","23.9","54.7"
"Netherlands","299","2.4","4.5","1.7","9.6","82.1","18.6","84.6","78.8","74.0","69.3","49.4","69.3","79.9","35.7","58.2","76.9","39.7","22.3","56.2","65.0","79.4","82.7","80.2","43.1","57.5","87.1","72.6","39.7","26.1","57.6"
"Netherlands","329","2.4","4.6","1.8","9.2","81.6","18.0","83.7","91.8","81.7","75.7","54.5","74.5","83.3","46.2","62.4","78.1","50.2","43.6","64.1","69.1","82.7","86.1","86.1","59.6","61.0","88.4","77.7","43.8","26.9","57.6"
"Netherlands","360","3.4","5.3","1.9","10.4","81.1","17.6","81.5","87.6","76.8","66.5","56.6","67.4","83.7","47.5","67.3","77.4","49.0","60.4","66.2","73.0","82.5","85.0","83.5","58.4","0.0","86.2","70.2","40.8","22.8","58.3"
"Netherlands","391","1.8","5.2","1.5","7.0","84.3","19.1","82.9","86.5","75.6","66.0","56.4","66.7","85.0","46.1","67.3","79.8","51.1","49.8","69.5","77.4","85.4","87.2","83.5","59.4","0.0","85.5","69.0","41.1","26.8","66.3"
"Norway","85","2.3","7.5","1.4","11.6","86.2","15.2","88.5","9.3","0.0","0.0","0.0","0.0","79.0","46.1","70.4","79.2","50.3","61.0","68.7","69.8","81.2","87.4","82.4","33.7","50.6","84.2","74.9","0.0","0.0","0.0"
"Norway","115","2.4","9.7","1.9","11.8","81.5","15.3","83.4","9.9","0.0","0.0","0.0","0.0","74.8","32.8","59.1","71.5","38.1","23.9","55.0","52.5","64.5","77.1","72.6","25.3","46.3","82.4","79.1","0.0","0.0","0.0"
"Norway","146","2.9","13.6","2.0","11.7","79.1","14.7","84.3","8.6","5.2","5.1","5.2","7.1","69.4","25.5","50.0","62.3","27.3","18.8","42.8","39.4","52.3","67.8","65.8","20.8","45.5","81.0","79.2","32.8","17.8","27.6"
"Norway","176","2.9","15.4","2.0","11.6","77.5","15.1","83.0","7.4","5.2","5.0","6.0","7.6","64.7","23.2","44.6","53.4","26.7","15.7","35.2","33.9","44.8","59.3","58.5","18.8","43.9","82.0","79.8","35.7","18.6","28.3"
"Norway","207","2.5","13.7","2.0","12.2","82.4","15.5","85.5","8.1","5.4","5.4","7.9","10.4","68.3","25.7","47.0","59.5","22.9","12.3","36.5","37.0","50.7","64.8","63.4","18.7","44.3","83.5","83.3","36.9","21.3","33.3"
"Norway","238","2.3","12.0","1.9","11.9","83.4","14.3","87.0","11.2","6.0","5.8","7.7","13.5","68.6","24.1","43.8","58.1","23.6","11.1","36.4","37.0","49.4","62.9","62.5","20.1","43.5","83.4","83.0","33.3","23.5","33.7"
"Norway","268","2.7","13.8","2.0","13.2","82.9","15.4","84.0","21.1","11.2","10.5","9.8","26.8","71.7","26.6","45.9","59.0","25.2","11.8","42.3","40.8","53.4","68.9","65.6","20.4","46.9","85.3","84.9","37.4","25.0","38.9"
"Norway","299","3.0","13.2","1.8","15.0","82.5","14.2","84.2","41.1","34.1","30.2","21.0","41.0","78.6","38.3","56.8","69.8","31.4","11.1","59.8","57.4","68.7","79.6","75.6","29.0","52.5","87.3","86.7","37.7","25.8","42.2"
"Norway","329","3.1","8.3","1.7","11.0","80.6","13.9","83.0","51.8","48.9","46.8","26.6","52.1","77.4","36.5","52.8","65.2","35.1","15.6","54.5","56.1","67.9","78.1","72.7","29.0","48.9","86.0","86.4","37.5","21.2","44.2"
"Norway","360","2.1","6.3","1.6","11.9","82.6","14.1","84.0","60.4","61.8","56.9","35.4","59.9","83.4","44.8","66.2","73.4","39.1","16.6","68.4","68.6","78.0","83.7","78.8","36.2","0.0","89.3","86.1","34.5","22.6","45.0"
"Norway","391","2.0","6.6","1.8","13.5","85.1","14.3","84.7","65.7","66.7","61.3","35.5","64.0","83.6","42.0","60.4","72.3","37.2","14.9","64.5","63.6","76.2","83.9","79.3","36.4","0.0","89.6","86.6","32.4","23.7","46.9"
"Norway","419","2.0","5.5","1.7","12.9","84.6","15.0","83.4","70.8","73.9","67.7","41.7","69.9","85.2","42.7","62.0","74.5","39.8","18.9","68.4","68.0","77.7","85.2","80.8","38.9","0.0","89.9","86.7","36.5","23.7","49.3"
"Norway","450","2.1","7.8","1.9","12.1","83.3","12.2","84.5","78.1","82.2","75.1","45.2","75.2","85.5","42.3","65.2","74.8","42.1","20.6","68.3","71.0","81.3","87.0","81.9","41.0","0.0","91.0","87.6","34.2","21.1","48.7"
"Norway","480","2.8","8.4","2.1","12.4","81.5","13.1","83.2","75.5","78.6","73.3","42.4","74.6","83.7","36.4","57.3","69.6","38.3","16.0","61.2","59.7","71.5","82.0","78.5","35.7","0.0","88.2","85.2","35.3","17.6","44.3"
"Philippines","85","4.5","5.3","1.0","10.5","78.7","23.5","81.6","93.4","0.0","0.0","0.0","0.0","92.1","84.4","86.4","87.7","82.0","87.6","81.1","85.6","87.5","89.8","90.5","72.0","80.9","93.2","87.2","0.0","0.0","0.0"
"Philippines","115","4.7","6.4","1.1","10.2","73.7","25.6","81.4","93.9","0.0","0.0","0.0","0.0","90.5","81.9","84.3","83.4","78.0","87.7","81.2","82.2","86.0","88.7","89.9","73.8","80.4","92.9","86.9","0.0","0.0","0.0"
"Philippines","146","5.1","8.1","1.2","9.4","71.1","28.5","84.4","95.4","96.3","94.8","90.1","96.0","92.3","83.4","84.4","78.1","67.3","86.8","78.8","80.5","84.0","89.7","91.2","77.8","81.3","94.3","90.2","85.1","15.4","70.4"
"Philippines","176","4.3","8.4","1.3","11.0","72.8","27.2","84.6","97.3","97.0","95.8","93.6","97.1","94.0","79.8","84.4","74.7","60.4","87.1","76.9","78.5","82.8","89.3","91.6","72.2","83.2","96.6","92.3","87.3","21.5","74.2"
"Philippines","207","4.6","7.7","1.3","10.8","75.2","29.4","81.6","97.0","96.9","95.6","93.6","96.7","93.7","80.1","86.9","73.4","60.8","87.3","77.6","79.8","83.7","88.5","92.8","72.2","83.6","95.8","91.8","85.6","20.7","75.7"
"Philippines","238","4.0","7.6","1.4","11.7","71.3","29.1","81.0","97.2","96.6","96.0","93.2","96.9","94.3","79.1","85.9","70.8","56.8","86.9","76.0","79.5","83.2","89.3","91.8","70.8","84.2","96.2","93.0","83.6","20.3","73.1"
"Saudi Arabia","85","4.3","5.9","1.2","10.2","76.2","16.0","85.0","71.5","0.0","0.0","0.0","0.0","88.5","78.4","76.8","86.9","73.0","86.6","84.7","77.5","82.8","87.4","88.5","71.9","76.1","88.5","79.7","0.0","0.0","0.0"
"Saudi Arabia","115","4.4","5.9","1.1","10.3","72.2","15.9","82.3","76.6","0.0","0.0","0.0","0.0","87.2","75.6","77.7","85.7","70.0","83.4","83.4","75.8","81.6","87.2","88.5","67.2","72.9","87.5","80.5","0.0","0.0","0.0"
"Saudi Arabia","146","4.3","6.8","1.8","10.1","72.0","15.4","81.2","89.9","86.1","86.7","88.5","86.4","89.0","69.0","76.0","83.9","57.8","79.9","79.8","72.9","79.2","85.1","89.0","63.6","75.2","89.7","84.4","58.4","32.1","56.5"
"Saudi Arabia","176","5.4","7.9","2.0","9.5","68.3","14.8","80.9","89.2","86.8","86.9","87.8","86.4","86.5","58.3","70.2","81.1","49.8","73.4","75.7","67.5","73.5","81.9","86.0","56.9","73.6","87.2","83.1","55.5","33.3","59.7"
"Saudi Arabia","207","6.3","8.0","2.5","8.7","64.9","13.7","81.4","88.3","85.1","85.7","88.4","86.3","84.6","53.3","67.5","77.8","49.0","69.0","69.0","62.0","68.5","77.7","84.8","52.5","72.9","86.9","82.4","55.2","34.8","58.6"
"Saudi Arabia","238","4.8","9.7","2.4","9.2","65.7","14.9","79.7","87.1","84.9","84.8","82.7","85.0","83.0","50.8","63.3","75.5","45.9","67.9","63.3","59.0","64.5","74.8","81.6","50.1","70.6","86.2","81.3","51.7","33.5","57.8"
"Singapore","85","3.1","14.9","1.1","9.6","79.4","19.5","86.7","66.1","0.0","0.0","0.0","0.0","86.2","73.1","74.8","51.9","62.3","56.8","84.9","78.2","85.0","90.6","85.2","57.4","56.8","91.5","67.3","0.0","0.0","0.0"
"Singapore","115","2.8","7.8","0.9","8.8","78.1","19.7","85.1","96.0","0.0","0.0","0.0","0.0","85.4","77.7","78.2","64.7","70.8","65.9","91.0","87.7","91.2","93.2","88.3","64.6","58.2","92.6","62.3","0.0","0.0","0.0"
"Singapore","146","2.8","11.4","1.2","8.4","75.9","19.1","83.3","97.0","95.9","95.4","90.7","97.2","83.8","68.4","71.1","50.5","59.2","35.8","80.8","75.6","82.9","89.8","84.0","55.6","56.4","92.6","69.0","66.8","16.7","58.7"
"Singapore","176","3.3","19.2","1.3","8.8","74.2","20.2","82.2","98.0","97.6","96.6","92.1","97.9","81.2","57.2","64.5","36.9","49.6","25.0","70.0","55.4","69.7","88.1","79.7","42.9","52.9","93.6","70.3","68.1","19.2","62.0"
"Singapore","207","3.0","20.9","1.4","7.6","73.5","20.3","82.9","97.5","97.2","96.1","92.0","97.6","79.0","49.6","60.2","34.3","47.1","21.6","64.7","48.4","62.9","84.5","73.2","37.9","52.5","93.3","69.2","67.2","17.0","61.8"
"Singapore","238","3.0","21.3","1.4","8.3","71.9","18.6","85.0","97.5","97.5","96.6","91.2","97.1","76.8","45.3","58.3","29.5","43.2","18.1","61.3","44.5","61.0","83.7","71.1","32.7","51.0","92.7","68.0","63.7","16.9","58.1"
"Singapore","268","3.0","22.3","1.6","7.7","71.6","19.6","81.2","97.7","97.4","96.6","91.9","97.8","77.4","42.8","56.8","28.9","40.3","22.3","60.8","42.9","59.1","82.0","70.5","30.9","51.4","93.5","65.2","61.9","16.5","57.1"
"Singapore","299","2.9","22.7","1.6","9.2","71.4","19.5","81.7","98.1","97.4","96.6","92.6","98.4","77.8","41.0","55.4","25.3","36.0","21.3","59.4","42.0","59.3","80.7","66.5","27.0","51.8","93.8","68.4","63.3","13.8","54.6"
"Singapore","329","3.1","30.7","1.4","8.3","69.8","19.4","79.2","97.4","96.7","96.2","92.0","97.8","76.0","40.3","53.1","26.3","37.4","22.1","57.8","41.1","59.0","83.6","66.0","29.0","50.3","92.5","66.3","63.3","15.6","55.0"
"Singapore","360","3.2","27.7","1.5","7.6","72.7","20.0","81.2","98.1","98.1","97.1","93.1","98.0","79.7","41.1","60.9","27.9","36.9","16.9","61.8","44.4","57.5","83.6","67.7","29.4","0.0","92.7","65.0","60.7","15.8","55.8"
"Singapore","391","3.4","23.5","1.4","7.3","76.3","18.4","83.4","97.6","97.4","97.3","94.4","97.9","82.3","42.3","59.9","28.2","36.2","19.2","61.2","43.4","57.0","84.7","67.6","30.0","0.0","93.4","64.7","59.0","17.2","55.4"
"Singapore","419","3.2","26.6","1.5","7.9","75.2","17.4","80.8","97.7","97.4","97.0","93.6","97.6","79.5","38.9","55.3","25.2","32.7","19.8","59.3","42.0","55.1","80.9","65.6","28.0","0.0","92.5","64.6","57.9","16.9","54.1"
"Singapore","450","3.2","26.3","1.6","7.7","76.1","17.2","81.6","97.7","97.2","96.5","92.9","97.3","79.6","40.4","55.2","27.0","34.9","19.3","60.8","42.8","55.2","78.1","65.0","28.1","0.0","93.0","63.6","58.2","19.0","53.2"
"Singapore","480","3.3","23.8","1.3","8.7","80.8","17.2","82.5","97.9","98.2","97.4","95.4","97.8","86.1","60.1","73.5","39.3","48.5","36.0","75.8","67.8","78.4","89.4","78.1","46.9","0.0","95.1","68.5","63.1","20.2","61.0"
"South Korea","85","2.7","12.7","1.8","7.8","70.7","36.5","90.7","92.4","0.0","0.0","0.0","0.0","86.5","82.4","78.0","69.1","45.3","76.0","85.9","79.4","75.9","85.8","87.2","66.5","68.1","89.5","81.6","0.0","0.0","0.0"
