"Country","Days since outbreak","Counts.Household contacts","Counts.Total contacts","Counts.Times left home","Counts.Handwashes","Scores.Isolate.Willingness if symptoms","Scores.Isolate.Willingness if advised","Scores.Isolate.Difficulty","Scores.Masks.Outside home","Scores.Masks.Grocery store","Scores.Masks.Clothing store","Scores.Masks.Work","Scores.Masks.Public transport","Scores.Avoidance.Symptomatic people","Scores.Avoidance.Going out","Scores.Avoidance.Healthcare settings","Scores.Avoidance.Public transport","Scores.Avoidance.Working outside home","Scores.Avoidance.Children going to school","Scores.Avoidance.Having guests","Scores.Avoidance.Gatherings.Small","Scores.Avoidance.Gatherings.Medium","Scores.Avoidance.Gatherings.Large","Scores.Avoidance.Crowded areas","Scores.Avoidance.Shops","Scores.Precautions.Cleaned surfaces","Scores.Precautions.Covered mouth sneeze","Scores.Precautions.Used hand sanitiser","Scores.Outlooks.Covid is dangerous","Scores.Outlooks.Likely to get covid","Scores.Outlooks.Life greatly impacted"
"Canada","115","3.2","6.9","1.1","12.2","82.2","14.0","88.9","44.8","0.0","0.0","0.0","0.0","87.1","68.3","78.5","82.9","55.2","77.4","84.8","78.6","86.1","91.4","89.9","71.8","67.1","90.4","72.4","0.0","0.0","0.0"
"Canada","146","3.0","9.5","1.4","11.7","81.9","16.7","88.4","53.7","50.1","44.6","39.9","43.2","84.0","59.0","72.9","77.8","45.3","65.6","74.7","65.5","74.4","86.1","84.5","60.6","64.0","90.4","76.7","47.2","20.3","51.1"
"Canada","176","2.8","9.7","1.5","12.6","79.1","16.1","90.6","67.8","67.8","61.8","53.7","56.8","83.7","50.3","65.7","75.2","37.3","54.0","65.1","53.5","64.7","81.9","81.6","52.0","66.9","91.1","84.3","54.4","18.9","54.0"
"Canada","207","2.6","11.7","1.6","13.1","79.7","15.4","88.4","83.9","84.9","79.6","65.8","71.1","85.7","47.8","65.4","72.4","35.3","48.4","62.9","51.2","62.9","80.2","82.3","48.6","67.1","94.6","86.4","56.7","20.1","57.5"
"Canada","238","2.8","13.0","1.5","12.7","82.6","17.0","89.7","87.7","90.1","83.5","70.5","73.5","84.9","47.4","64.2","73.4","30.8","30.4","61.6","53.0","63.8","81.7","79.3","46.2","67.5","94.7","86.9","56.1","19.5","57.0"
"Canada","268","3.4","11.1","1.4","13.2","79.4","18.6","87.4","88.7","91.1","86.2","73.2","76.3","87.3","52.7","70.0","76.3","33.3","31.1","70.4","62.0","72.4","86.1","83.1","49.5","66.5","94.0","86.7","57.5","19.6","58.3"
"Canada","299","2.5","9.4","1.2","12.4","82.9","18.2","88.6","91.5","93.5","88.0","74.6","78.5","89.2","55.3","70.3","75.2","33.8","31.3","73.4","67.3","76.7","87.6","83.9","51.5","67.8","95.3","86.7","57.0","18.2","59.2"
"Canada","329","2.2","9.0","1.2","10.7","81.3","16.9","87.6","94.5","95.5","91.9","86.4","81.0","90.1","66.2","74.3","82.0","43.3","45.4","83.8","79.0","84.4","92.3","86.7","61.0","70.2","95.0","87.3","58.5","19.2","62.6"
"Canada","360","2.3","6.8","1.1","11.7","83.8","16.3","89.1","92.1","96.4","87.8","86.3","81.2","92.8","74.9","80.1","84.7","48.3","51.7","87.6","84.3","90.2","93.6","90.4","70.9","0.0","95.8","88.5","58.6","19.4","61.7"
"Canada","391","2.2","6.9","1.3","11.5","83.6","15.8","88.1","92.7","95.4","88.3","84.0","82.7","91.8","69.8","78.6","82.7","46.7","42.2","85.2","82.8","88.9","93.2","88.5","65.4","0.0","95.5","87.1","53.1","19.2","59.8"
"Canada","419","2.3","8.4","1.3","12.4","83.6","14.9","87.8","91.6","95.9","89.9","81.9","82.5","91.5","65.3","75.1","81.0","46.9","40.8","83.0","80.5","85.6","91.0","87.1","62.8","0.0","95.2","88.3","52.4","18.8","57.1"
"Canada","450","2.2","8.7","1.3","12.7","82.4","16.6","87.1","90.9","95.0","88.9","81.2","83.1","92.3","66.1","76.2","81.3","49.5","47.3","84.6","79.9","85.6","91.7","89.5","64.1","0.0","95.5","87.0","52.5","19.4","56.9"
"Canada","480","2.4","9.5","1.4","12.7","83.0","15.4","87.2","90.8","95.8","87.8","82.8","82.7","92.1","65.2","75.5","80.6","49.1","47.9","84.0","80.3","85.0","90.8","87.8","63.6","0.0","95.0","86.8","52.6","17.2","57.9"
"China","85","2.8","12.2","1.6","4.8","28.7","5.9","88.4","91.3","0.0","0.0","0.0","0.0","82.8","69.3","76.0","72.5","55.9","73.7","75.0","69.3","79.2","83.0","84.3","60.3","64.7","87.9","72.6","0.0","0.0","0.0"
"China","115","3.1","13.9","1.9","4.5","26.4","6.0","84.1","89.3","0.0","0.0","0.0","0.0","82.5","61.2","70.6","67.4","47.2","62.9","69.2","62.0","74.1","80.2","81.1","54.5","62.8","87.7","69.7","0.0","0.0","0.0"
"China","146","2.9","18.5","2.2","4.2","25.1","7.9","83.1","86.0","84.2","84.5","72.2","92.8","78.4","53.7","66.5","59.9","42.9","43.9","60.5","55.7","66.2","73.7","76.6","47.6","60.1","85.7","67.0","55.2","8.4","56.1"
"China","176","3.3","17.6","2.0","4.1","23.1","9.0","80.4","85.3","78.8","78.6","60.1","90.1","79.1","47.8","63.9","55.6","36.4","38.1","55.7","51.9","64.3","72.5","75.2","43.6","56.3","85.6","64.0","59.4","8.5","54.5"
"China","207","2.8","16.8","2.0","4.4","24.8","7.4","83.5","84.6","75.8","75.1","61.2","89.6","78.9","47.2","63.2","51.5","37.7","37.2","54.6","49.5","61.1","70.0","72.4","40.5","56.9","86.1","65.0","59.8","9.3","52.9"
"China","238","2.7","18.6","2.2","4.0","22.3","9.7","80.5","80.2","68.9","69.1","54.1","87.7","74.3","45.3","55.5","49.3","36.2","21.9","46.3","46.4","56.1","66.0","69.1","40.3","58.1","84.9","64.9","56.3","9.4","52.2"
"Denmark","85","2.1","8.9","1.8","17.0","89.7","16.1","89.3","5.4","0.0","0.0","0.0","0.0","80.3","48.1","69.6","82.4","54.4","59.9","82.1","73.4","84.3","92.4","89.4","48.1","47.2","87.6","71.1","0.0","0.0","0.0"
"Denmark","115","2.1","11.0","2.0","16.3","85.4","18.8","84.6","6.5","0.0","0.0","0.0","0.0","73.2","32.6","62.1","70.9","37.4","28.2","64.2","48.5","65.7","83.3","79.3","33.0","46.9","84.6","76.2","0.0","0.0","0.0"
"Denmark","146","1.9","20.0","2.2","15.3","84.9","19.2","83.9","4.3","3.6","2.0","5.8","3.0","67.6","20.2","51.8","61.6","21.3","18.1","44.0","31.6","45.3","65.0","70.4","21.1","37.9","83.8","75.2","28.3","32.2","16.2"
"Denmark","176","2.7","20.1","2.3","14.3","82.8","17.9","83.6","4.2","4.3","3.8","5.8","4.3","59.9","15.4","42.9","52.5","17.0","18.9","32.0","23.5","34.7","53.5","56.7","15.2","38.7","84.1","79.4","30.9","29.8","15.4"
"Denmark","207","2.9","23.3","2.2","16.3","85.8","19.1","84.7","9.7","6.6","5.4","9.2","11.9","62.6","18.1","43.5","59.1","15.0","15.4","35.0","25.8","36.1","51.2","61.2","18.5","38.8","83.9","82.5","31.3","31.8","15.8"
"Denmark","238","1.9","21.1","2.0","15.2","85.4","20.4","83.8","22.0","6.8","5.5","9.4","36.6","63.2","18.3","42.0","57.6","17.5","13.3","34.8","26.2","37.4","52.8","62.5","18.0","37.2","86.1","83.5","32.8","33.2","21.1"
"Denmark","268","2.1","14.5","2.0","14.9","85.6","17.1","76.9","33.7","17.2","13.4","19.6","46.7","68.9","21.5","46.0","59.2","24.2","14.3","41.6","32.8","47.1","64.4","69.1","20.7","41.0","86.6","83.0","33.0","33.4","22.5"
"Denmark","299","2.3","12.9","1.9","14.0","87.5","17.7","77.7","82.4","91.6","72.6","34.0","65.2","76.0","24.9","53.7","62.2","25.1","12.4","49.5","39.8","55.3","78.9","75.4","24.8","43.5","90.2","85.9","31.8","29.1","24.2"
"Denmark","329","2.0","10.8","1.7","15.5","87.1","20.0","76.9","83.9","93.0","79.8","40.4","70.6","80.6","34.1","63.8","69.0","35.4","38.7","63.2","54.8","67.2","84.9","81.1","33.5","46.9","88.4","83.3","33.1","30.8","24.9"
"Denmark","360","1.8","7.9","1.7","14.7","89.1","18.2","81.3","79.8","92.6","62.7","43.4","65.1","85.1","49.5","70.6","77.4","46.6","67.7","75.1","69.7","81.3","88.8","87.6","54.9","0.0","90.1","82.8","31.3","30.1","29.3"
