year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,category_id
2010,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85454,120,3,24,2010-02-08T06:10:42Z,Bud Light Stranded Super Bowl Commercial 2010,24
2000,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,9036,51,2,7,2018-02-10T11:23:48Z,"E*TRADE - Monkey (2000, USA)",23
2001,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2801,9,0,1,2012-08-13T22:25:04Z,Bud Light Commercial from 2001 Otto the Obese Dog,24
2018,Doritos,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,23327,333,6,16,2018-02-01T07:35:24Z,Doritos Blaze VS Mountain Dew 2018 Super Bowl Commercial - Morgan Freeman,24
2001,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50088,151,3,16,2014-09-09T17:44:59Z,2001 Commercial - Budweiser: What Are YOU Doing?,17
2018,Coca-Cola,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,301,2,0,1,2018-04-04T10:35:34Z,"Life is Short, Have a Diet Coke   Because I Can Diet Coke",22
2013,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3667,7,2,1,2013-02-01T16:58:24Z,Super Bowl 2013 - Hyundai - Epic Playdate,24
2004,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,179695,295,12,37,2006-12-02T03:34:04Z,Super Bowl XXXVIII Commercial - Pepsi Bears,15
2018,Kia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,16399,219,3,0,2018-04-11T19:01:38Z,2018 Kia Commercial - Steven Tyler Big Game Ad - Feel Something Again,1
2018,Pepsi,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,669906,2849,181,324,2018-02-01T18:48:48Z,"Pepsi Super Bowl Commercial 2018 Cindy Crawford, Britney Spears",1
2018,NFL,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3464175,20508,556,1373,2018-02-05T02:22:46Z,Touchdown Celebrations to Come | NFL | Super Bowl LII Commercial,17
2010,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14927,19,1,NA,2010-02-08T05:55:45Z,[HD] Exclusive E-Trade Baby Tears 2010 SuperBowl 44 XLIV Commercial Ad,24
2017,NFL,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,310443,2215,323,376,2017-02-05T20:38:06Z,Inside These Lines,17
2000,E-Trade,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,67182,121,4,6,2008-01-31T01:55:33Z,"Superbowl (2000) E-Trade: ""Money Out The Wazoo""",23
2007,E-Trade,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,97247,97,22,23,2007-02-05T07:40:29Z,Etrade One Finger Super Bowl XLI Commercial,23
2000,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5264,10,1,1,2015-05-14T20:18:02Z,WHASSUP GIRLFRIEND - Budweiser Commercial 2000,24
