"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"1445.0","872.0","79.0","Camp Dyer Diversion Dam","Agua Fria River","Maricopa","33.8378","-112.2705","Arizona","Central Arizona","1926"
"3808.5","1000.0","225.0","Canyon Ferry Dam","Missouri River","Lewis and Clark","46.64797101519256","-111.72786712646484","Montana","Canyon Ferry Unit, Pick-Sloan Missouri Basin Program","1949"
"385.25","2784.18","31.0","Carpinteria Dam","offstream Storage","Santa Brbara","34.4067","-119.485","California","Cachuma","1951"
"4024.0","241.0","23.0","Carson River Diversion Dam","Carson River","Churchill","36.27807901986153","-97.50189279297881","Nevada","Newlands","1905"
"10133.75","46.0","8.75","Carter Creek Diversion Dam","Carter Creek","Eagle","39.21593","-106.32372","Colorado","Fryingpan-Arkansas","1976"
"5769.0","1235.0","214.0","Carter Lake Dam","offstream Storage","Grand","40.325","-105.2117","Colorado","Colorado-Big Thompson","1950"
"4840.0","785.0","107.0","Cascade Dam","North Fork Payette River","Valley","44.524997","-116.050279","Idaho","Boise","1946"
"585.0","2000.0","334.0","Casitas Dam","Coyote Creek","Ventura","34.37","-119.3361","California","Ventura River","1956"
"5704.0","845.0","217.5","Causey Dam","SF Ogden River","Weber","41.290189955885644","-111.5829849243164","Utah","Weber Basin","1962"
"2198.0","12560.0","202.0","Cedar Bluff Dam","Smoky Hill River","Trego","38.7917","-99.725","Kansas","PSMBP-Cedar Bluff","1949"
"10045.0","131.0","15.0","Chapman Diversion Dam","Chapman Gulch","Pitkin","39.3163756","-106.640589","Colorado","Fryingpan-Arkansas","1965"
"1454.0","24458.0","126.2","Cheney Dam","NF of Ninnescah R.","Reno, Kingman, Sedgwick","37.7306","-97.793","Kansas","Wichita","1962"
"241.14","18471.0","141.96","Choke Canyon Dam","Frio River","Live Oak","28.3125","-98.2458","Texas","Nueces River","1981"
"5578.0","2950.0","147.5","Clark Canyon Dam","Beaverhead River","Beaverhead","45.000415406254376","-112.85834312438965","Montana","East Bench Unit, Pick-Sloan Missouri Basin Program","1961"
"2250.0","1800.0","165.0","Cle Elum Dam","Cle Elum River","Kittitas","47.2469","-121.073112","Washington","Yakima","1931"
"3016.0","404.0","83.0","Clear Creek Dam","Tieton River","Yakima","46.6278934","-121.270915","Washington","Yakima","1914"
"4552.0","840.0","42.0","Clear Lake Dam","Lost River","Modoc","45.1767","-121.6883","California","Klamath","1908"
"629.9","3450.0","115.0","Cold Springs Dam","Off-stream","Umatilla","45.8592328","-119.173679","Oregon","Umatilla Basin","1908"
"4249.0","2550.0","85.0","Como Dam","Rock Creek","Ravalli","46.0617","-114.2333","Montana","Bitter Root","1908"
