USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.8,27.0,27.0,We,Encore,Airdrop,08,05,1953
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.1,32.0,32.0,Wr,Harry,Tower,19,05,1953
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,15.0,15.0,Wr,Grable,Atmosph,25,05,1953
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.4,61.0,61.0,Wr,Climax,Airdrop,04,06,1953
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,400.0,400.0,Wr,Nan,Surface,12,08,1953
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,28.0,28.0,Wr,Nan,Atmosph,23,08,1953
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,5.8,5.8,Wr,Nan,Atmosph,03,09,1953
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,1.6,1.6,Wr,Nan,Atmosph,08,09,1953
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,4.9,4.9,Wr,Nan,Atmosph,10,09,1953
UK,Emu Austr,DOE,-28.7,132.35,0.0,0.0,0.0,10.0,10.0,Wr,Totem:1,Tower,14,10,1953
UK,Emu Austr,DOE,-28.7,132.35,0.0,0.0,0.0,8.0,8.0,Wr,Totem:2,Tower,26,10,1953
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,15000.0,15000.0,Wr,Bravo,Surface,28,02,1954
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,11000.0,11000.0,Wr,Romeo,Barge,26,03,1954
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,110.0,110.0,Wr,Koon,Surface,06,04,1954
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,6900.0,6900.0,Wr,Union,Barge,25,04,1954
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,13500.0,13500.0,Wr,Yankee,Barge,04,05,1954
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.001,1690.0,1690.0,Wr,Nectar,Barge,13,05,1954
USSR,Orenbg Russ,DOE,52.0,55.0,0.0,0.0,0.0,40.0,40.0,Me,Nan,Atmosph,14,09,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,0.2,0.2,Wr,Nan,Atmosph,29,09,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,0.03,0.03,Wr,Nan,Atmosph,01,10,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,2.0,2.0,Wr,Nan,Atmosph,03,10,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,4.0,4.0,Wr,Nan,Surface,05,10,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,0.8,0.8,Wr,Nan,Atmosph,08,10,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,0.0,0.001,Wr,Nan,Surface,19,10,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,62.0,62.0,Wr,Nan,Atmosph,23,10,1954
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,2.8,2.8,Wr,Nan,Atmosph,26,10,1954
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,10.0,10.0,Wr,Nan,Surface,30,10,1954
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.25,1.0,1.0,We,Wasp,Airdrop,18,02,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.1,2.0,2.0,Wr,Moth,Tower,22,02,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.1,7.0,7.0,Wr,Tesla,Tower,01,03,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,43.0,43.0,Wr,Turk,Tower,07,03,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.1,4.0,4.0,Wr,Hornet,Tower,12,03,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,8.0,8.0,Wr,Bee,Tower,22,03,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.02,1.0,1.0,We,Ess,Crater,23,03,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,14.0,14.0,Wr,Apple :1,Tower,29,03,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.25,3.0,3.0,Wr,Wasp Prime,Airdrop,29,03,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-12.0,3.0,3.0,We,Ha,Airdrop,06,04,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.1,2.0,2.0,Wr,Post,Tower,09,04,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.001,22.0,22.0,We,Met,Tower,15,04,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,29.0,29.0,Wr,Apple:2,Tower,05,05,1955
USA,Offuswcoast,DOE,29.0,-126.0,0.0,0.0,0.0,30.0,30.0,We,Wigwam,Uw,14,05,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,28.0,28.0,Wr,Zucchini,Tower,15,05,1955
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,1.3,1.3,Wr,Nan,Surface,29,07,1955
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,12.0,12.0,Wr,Nan,Surface,02,08,1955
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,1.2,1.2,Wr,Nan,Surface,05,08,1955
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,3.5,3.5,We,Nan,Uw,21,09,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Project 56:1,Surface,01,11,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Project 56:2,Surface,03,11,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Project 56:3,Surface,05,11,1955
