"artist.gender","artist.name","artist.role","data.medium","data.thumbnail","data.title","data.url","dimensions.depth","dimensions.height","dimensions.width","metadata.acquisition date","metadata.creation decade","metadata.creation year","metadata.credit","artist.birth.location","artist.birth.year","artist.death.location","artist.death.year"
"Female","Sedira, Zineb","artist","Video, 14 monitors, colour and sound","","Floating Coffins","http://www.tate.org.uk/art/artworks/sedira-floating-coffins-t13331","0.0","0.0","0.0","2011","2000","2009","Purchased 2011","Paris, France","1963","","0"
"Female","Seers, Lindsay","artist","Cardboard, wood, carpet, metal pipe and video, projection, colour and sound (surround)","http://www.tate.org.uk/art/images/work/T/T12/T12975_8.jpg","Extramission 6 (Black Maria)","http://www.tate.org.uk/art/artworks/seers-extramission-6-black-maria-t12975","0.0","0.0","0.0","2009","2000","2009","Presented by Tate Members 2010","Mauritius, Mauritius","1966","","0"
"Male","Sefran, Gorazd","artist","Lithograph on paper","","Sindon III","http://www.tate.org.uk/art/artworks/sefran-sindon-iii-p07591","0.0","690.0","532.0","1981","1970","1979","Purchased 1981","Ljubljana, Slovenija","1945","","0"
"Male","Segal, Arthur","artist","Oil paint on board","http://www.tate.org.uk/art/images/work/T/T01/T01243_8.jpg","Harbour on Bornholm","http://www.tate.org.uk/art/artworks/segal-harbour-on-bornholm-t01243","0.0","816.0","603.0","1970","1920","1928","Presented by Miss Marianne Segal 1970","Iasi, Romnia","1875","London, United Kingdom","1944"
"Male","Segar, Sir William","attributed to","Oil paint on oak","http://www.tate.org.uk/art/images/work/T/T03/T03576_8.jpg","Portrait of a Man in a Slashed Black Doublet","http://www.tate.org.uk/art/artworks/segar-portrait-of-a-man-in-a-slashed-black-doublet-t03576","0.0","806.0","1000.0","1983","1600","1605","Purchased 1983","","1580","Surrey, United Kingdom","1633"
"Male","Sehgal, Tino","artist","Performance, 1 person","","This is propaganda","http://www.tate.org.uk/art/artworks/sehgal-this-is-propaganda-t12057","0.0","0.0","0.0","2005","2000","2002","Purchased 2005","London, United Kingdom","1976","","0"
"Male","Self, Colin","artist","Ink, papers and enamel on paper","","[no title]","http://www.tate.org.uk/art/artworks/self-no-title-t06927","0.0","304.0","404.0","1994","1990","1990","Purchased 1994","Norwich, United Kingdom","1941","","0"
"Male","Serra, Richard","artist","Steel","http://www.tate.org.uk/art/images/work/T/T07/T07350_8.jpg","Trip Hammer","http://www.tate.org.uk/art/artworks/serra-trip-hammer-t07350","1346.0","3315.0","2743.0","1998","1980","1988","Presented by the Douglas S. Cramer Foundation 1997","San Francisco, United States","1939","","0"
"Male","Serralongue, Bruno","artist","Photograph, colour, on paper on aluminium","http://www.tate.org.uk/art/images/work/P/P79/P79236_8.jpg","Friday 28 April 2006. East region of Mexico City (Iztapalapa, Iztacalco and Tlahuac). Speech by Delegate Zero at the Eastern Region College of Science and Humanities","http://www.tate.org.uk/art/artworks/serralongue-friday-28-april-2006-east-region-of-mexico-city-iztapalapa-iztacalco-and-p79236","0.0","1560.0","1250.0","2007","2000","2006","Purchased using funds provided by the 2006 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2007","France","1968","","0"
"Male","Serres, Dominic","artist","Graphite, watercolour and ink on paper","http://www.tate.org.uk/art/images/work/T/T08/T08269_8.jpg","General View of the Environs of Naples","http://www.tate.org.uk/art/artworks/serres-general-view-of-the-environs-of-naples-t08269","0.0","378.0","204.0","1996","1780","1787","Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","Auch, France","1722","London, United Kingdom","1793"
