"groups","claim","status","statistics.sources","date.year","date.month","date.day","statistics.# wounded_low","statistics.# wounded_high","statistics.# killed_low","statistics.# killed_high","statistics.# killed_low_civilian","statistics.# killed_high_civilian","statistics.# killed_low_political","statistics.# killed_high_political","statistics.# killed_low_security","statistics.# killed_high_security","statistics.# belt_bomb","statistics.# truck_bomb","statistics.# car_bomb","statistics.# weapon_oth","statistics.# weapon_unk","target.weapon","target.region","target.subregion","target.country","target.province","target.city","target.location","target.latitude","target.longtitude","target.desc","target.type","target.nationality","statistics.# attackers","statistics.# female_attackers","statistics.# male_attackers","statistics.# unknown_attackers","attacker.gender"
"Islamic State","Suspected","Confirmed Suicide","2","2015","6","2","8","8","5","5","0","0","0","0","5","5","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Hasaka (Al Haksa)","Al Hasakah","close to a children's hospital","36.483333","40.75","Syrian Army checkpoint","Security","Syrian","1","0","0","1","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","1","6","0","0","40","40","20","20","0","0","20","20","0","0","0","1","0","Unspecified","Asia","Western Asia","Syria","Deir ez-Zor","Deir ez-Zor","Route between City & Deir ez-Zor Airport","35.333333","40.15","Syrian regime forces","Security","Syrian","2","0","0","2","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","1","6","0","0","40","40","20","20","0","0","20","20","0","0","0","1","0","Unspecified","Asia","Western Asia","Syria","Deir ez-Zor","Deir ez-Zor","Route between City & Deir ez-Zor Airport","35.333333","40.15","Syrian regime forces","Security","Syrian","2","0","0","2","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","4","2004","10","5","10","15","1","10","1","10","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Al Dora neighborhood, near refinery and cathedral","33.34","44.4","Iraqi Police patrol","Security","Iraqi","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Possible - Conflicting Reports","5","2017","7","4","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","Truck bomb","Asia","Southern Asia","Afghanistan","Hilmand","Gereshk","Ab Pash security checkpoint","31.82","64.54","Afghan soldiers at security checkpoint","Security","Afghan","1","0","0","1","Unknown"
"Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2010","10","6","2","12","1","1","0","0","0","0","1","1","0","0","1","0","0","Car bomb","Europe","Eastern Europe","Russia","Dagestan","Khasavyurt","Internationalnaya Street","43.25","46.588","Dagestani Police station","Security","Russian","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2007","3","2","0","1","1","1","0","0","0","0","1","1","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Jamiyah district","33.34","44.4","Iraqi Army checkpoint","Security","Iraqi","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2008","8","2","0","10","2","2","0","0","0","0","2","2","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Diyala","Baqubah","City Center","33.74","44.64","Convoy of Governor Raad al-Mulla and Operations Chief Abdel Kareem al-Rubaie","Political","Iraqi","1","1","0","0","Female"
"Taliban (IEA)","Suspected","Possible - Too Few Sources","1","2019","8","4","7","7","2","2","2","2","0","0","0","0","0","0","0","1","0","Unspecified PBIED","Asia","Southern Asia","Afghanistan","Khost","Manduzai","Market, Near a local market","33.31804","69.7766","Local market","Civilian","Afghan","1","0","0","1","Unknown"
"Islamic State of Iraq and Syria","Claimed","Confirmed Suicide","4","2014","4","3","14","14","5","6","0","0","0","0","5","6","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Kirkuk","Riyad","Entrance to an Army Recruitment Centre","35.3","43.91667","Iraqi Army recruitment center","Security","Iraqi","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","4","2014","7","3","13","17","8","8","0","0","0","0","8","8","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Kabul","Kabul","Karta-e-Sakhi area close to Kabul University","34.53","69.17","Afghan National Army (ANA) bus","Security","Afghan","1","0","0","1","Unknown"
"Boko Haram","Suspected","Confirmed Suicide","2","2014","11","3","3","4","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Western Africa","Nigeria","Niger","Kontagora","College, Federal College of Education at Katongora","10.4","5.466667","Nigerian civilians at the Federal College of Education","Civilian","Nigerian","1","1","0","0","Female"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2008","2","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Farah","Farahrod District","Farahrod area","33.25","63.28","Mullah Khodaidad, Security Commander of Dilaram-Herat highway","Security","Afghan","1","0","1","0","Male"
"Taliban (IEA)","Claimed","Confirmed Suicide","4","2009","6","2","0","0","2","2","2","2","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Ghazni","Ghazni City","Kabul-Kandahar Highway, in the Qala Ashraf area on the outskirts of Ghazni City","33.54","68.43","NATO-ISAF military convoy","Security","Multinational","1","0","1","0","Male"
"Islamic State","Suspected","Possible - Too Few Sources","1","2018","11","7","0","0","4","4","0","0","0","0","4","4","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Ninawa","Hatra","Al-Barit Village","35.57","42.73","PMF","Security","Iraqi","1","0","1","0","Male"
"Palestinian Islamic Jihad","Claimed","Confirmed Suicide","4","2005","10","3","30","30","5","6","5","6","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Israel","Haifa","Hadera","Market, Public Market","32.43645","34.91956","Civilians in Public Market","Civilian","Israeli","1","0","1","0","Male"
"Islamic State - Khorasan Province","Claimed","Confirmed Suicide","6","2016","10","1","6","25","6","15","0","0","6","12","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Nangarhar","Jalalabad","House of Shaista Khan","34.43","70.45","Afghan tribal elders from Pacher Agam district","Political","Afghan","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","2","2008","6","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Nimroz","Delaram","Zaranj intersection on the Kandahar-Heart highway","32.15","63.43","Afghan National Police (ANP) checkpoint","Security","Afghan","1","0","1","0","Male"
"Islamic State","Claimed","Confirmed Suicide","4","2014","10","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","Truck bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Kobani","Eastern industrial district of Kobani","36.87","38.363","Syrian Kurdish police headquarters","Security","Syrian","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2012","7","6","43","43","17","17","16","16","1","1","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Samangan","Aybak","Afghani MP's Daughter's Wedding","36.26","68.02","Afghan member of parliament Ahmad Khan Samangani [killed]","Political","Afghan","1","0","1","0","Male"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2016","5","4","30","30","17","20","0","0","0","0","17","20","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Jarayshi area (located near military bases)","33.434167","43.268611","Iraqi army forces","Security","Iraqi","10","0","0","10","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","2","2017","8","3","24","42","7","7","3","3","0","0","4","4","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Hilmand","Lashkar Gah","Parking lot of Police Station","31.59","64.37","Lashkar Gah main police HQ","Security","Afghan","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2015","1","4","10","16","8","8","8","8","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Mosque, Adel District","33.34","44.4","Iraqi Shia mosque","Civilian","Iraqi","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2014","7","4","0","0","60","60","50","50","0","0","10","10","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Baghdad","Taji","Road leaving Taji prison","33.520462","44.268975","Convoy transporting prisoners from Taji prison","Security","Iraqi","1","0","0","1","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2015","10","7","27","27","15","15","0","0","0","0","15","15","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Al-Bueitha area, just north east of Ramadi","33.434167","43.268611","Military base of Iraqi Army, Sunni tribal militia, and Shiite Popular Mobilization Front militia","Security","Iraqi","1","0","1","0","Male"
"Taliban (IEA)","Claimed","Confirmed Suicide","2","2013","12","5","6","6","3","3","0","0","0","0","3","3","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Kabul","Kabul","One kilometer from Camp Phoenix in eastern Kabul","34.53","69.17","NATO-ISAF (Slovak) military convoy","Security","Slovakian","1","0","0","1","Unknown"
"Al-Shabaab","Claimed","Confirmed Suicide","3","2015","6","3","0","3","2","9","2","7","0","1","0","1","0","0","1","0","0","Car bomb","Africa","Eastern Africa","Somalia","Banaadir","Mogadishu","Road","2.03711","45.34375","UAE Foreign Officials","Political","Emirati","1","0","0","1","Unknown"
"Islamic State of Iraq","Claimed","Confirmed Suicide","4","2013","2","7","90","105","15","36","0","0","0","0","15","36","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Kirkuk","Kirkuk","provincial police hq","35.46","44.39","Provincial Iraqi Police Headquarters","Security","Iraqi","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2015","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Yemen","Al Bayda'","Al Bayda'","Police Station","13.976389","45.570083","Police station occupied by Houthi rebels","Security","Yemeni","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Possible - Too Few Sources","1","2019","5","1","7","7","1","1","0","0","0","0","1","1","0","0","0","1","0","Unspecified PBIED","Africa","Western Africa","Nigeria","Yobe","Potiskum","Mosque, Potiskum Central Mosque","11.7091","11.0694","The Emir of Fika (Muhammadu Abali Ibn Muhammadu Idrissa)","Civilian","Nigerian","1","0","1","0","Male"
"Al-Aqsa Martyrs Brigade","Claimed","Confirmed Suicide","5","2002","11","1","12","60","2","2","2","2","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Israel","HaMerkaz","Kefar Saba","Shopping Mall, Arim Shopping Mall","32.175","34.90694","Israeli Shoppers","Civilian","Israeli","1","0","1","0","Male"
"Palestinian Islamic Jihad","Claimed","Confirmed Suicide","5","2002","11","1","12","60","2","2","2","2","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Israel","HaMerkaz","Kefar Saba","Shopping Mall, Arim Shopping Mall","32.175","34.90694","Israeli Shoppers","Civilian","Israeli","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2007","11","4","27","40","5","10","0","0","0","0","5","8","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Pakistan","Punjab","Sargodha","Mitha Masoom area near the Sargodha airbase","32.08","72.67","Bus transporting Pakistani Air Force Troops","Security","Pakistani","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","5","2019","4","2","5","5","3","6","0","0","0","0","3","6","1","0","0","0","0","Belt bomb","Asia","Western Asia","Syria","Hamah","Hama","Madajan checkpoint in the Northern Countryside of Hama, town of Taybat al Imam","35.133333","36.75","Military Post in the Hama Countyside","Security","Syrian","3","0","0","3","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","5","2019","4","2","5","5","3","6","0","0","0","0","3","6","1","0","0","0","0","Belt bomb","Asia","Western Asia","Syria","Hamah","Hama","Madajan checkpoint in the Northern Countryside of Hama, town of Taybat al Imam","35.133333","36.75","Military Post in the Hama Countyside","Security","Syrian","3","0","0","3","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","5","2019","4","2","5","5","3","6","0","0","0","0","3","6","1","0","0","0","0","Belt bomb","Asia","Western Asia","Syria","Hamah","Hama","Madajan checkpoint in the Northern Countryside of Hama, town of Taybat al Imam","35.133333","36.75","Military Post in the Hama Countyside","Security","Syrian","3","0","0","3","Unknown"
"Hamas","Claimed","Confirmed Suicide","2","2005","1","2","0","5","1","1","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Palestine","Gaza","Gush Katif (S)","Gush Katif Junction","31.36705017","34.29450989","Israeli Defense Forces (IDF) checkpoint","Security","Israeli","1","0","1","0","Male"
"Islamic State","Claimed","Confirmed Suicide","2","2015","6","7","0","0","13","13","0","0","0","0","13","13","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Fallujah","Village of Hayakil","33.36","43.77","Iraqi Government Base","Security","Iraqi","3","0","0","3","Unknown"
"Islamic State","Claimed","Confirmed Suicide","2","2015","6","7","0","0","13","13","0","0","0","0","13","13","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Fallujah","Village of Hayakil","33.36","43.77","Iraqi Government Base","Security","Iraqi","3","0","0","3","Unknown"
"Islamic State","Claimed","Confirmed Suicide","2","2015","6","7","0","0","13","13","0","0","0","0","13","13","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Fallujah","Village of Hayakil","33.36","43.77","Iraqi Government Base","Security","Iraqi","3","0","0","3","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Claimed","Confirmed Suicide","4","2012","6","4","10","14","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Rif Dimashq","Sayyidah Zaynab","Shrine, Parking Lot Adjacent to Shrine","33.447222","36.336111","Shiite Shrine","Civilian","Syrian","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2012","5","4","122","122","12","13","2","3","0","0","10","10","0","0","1","0","0","Car bomb","Europe","Eastern Europe","Russia","Dagestan","Makhachkala","Outskirts of the city","42.975","47.502","Dagestani Traffic Police Post and First Responders","Security","Russian","2","0","0","2","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2012","5","4","122","122","12","13","2","3","0","0","10","10","0","0","1","0","0","Car bomb","Europe","Eastern Europe","Russia","Dagestan","Makhachkala","Outskirts of the city","42.975","47.502","Dagestani Traffic Police Post and First Responders","Security","Russian","2","0","0","2","Unknown"
"Islamic State","Suspected","Confirmed Suicide","2","2015","8","6","50","50","13","13","0","0","0","0","13","13","0","0","0","1","0","Unspecified","Asia","Western Asia","Syria","Hasaka (Al Haksa)","Al Hasakah","Asayesh position","36.483333","40.75","Kurdish Asayesh forces  position","Security","Syrian","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","4","2011","1","6","79","79","21","25","21","25","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Northern Africa","Egypt","Al Iskandariyah","Alexandria","Church, Khaliil Hamada Street","31.2","29.9","Al-Qiddissin Coptic Church","Civilian","Egyptian","1","0","1","0","Male"
"Islamic State Yemen","Claimed","Confirmed Suicide","2","2016","3","5","0","0","12","18","0","0","0","0","12","18","1","0","0","0","0","Belt bomb","Asia","Western Asia","Yemen","'Adan","Aden","Near a camp in al-Hasswa district","12.8","45.033333","Yemeni security checkpoint","Security","Yemeni","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2009","8","7","12","20","1","1","1","1","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Antar Square","33.34","44.4","Iraqi Army checkpoint","Security","Iraqi","1","0","1","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","4","2010","11","4","80","100","15","18","5","8","0","0","10","10","0","0","1","0","0","Car bomb","Asia","Southern Asia","Pakistan","Sindh","Karachi","""Red Zone"" high security area of central Karachi","24.91","67.08","Pakistan's Crime Investigation Department (CID) compound","Security","Pakistani","3","0","3","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","4","2010","11","4","80","100","15","18","5","8","0","0","10","10","0","0","1","0","0","Car bomb","Asia","Southern Asia","Pakistan","Sindh","Karachi","""Red Zone"" high security area of central Karachi","24.91","67.08","Pakistan's Crime Investigation Department (CID) compound","Security","Pakistani","3","0","3","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","4","2010","11","4","80","100","15","18","5","8","0","0","10","10","0","0","1","0","0","Car bomb","Asia","Southern Asia","Pakistan","Sindh","Karachi","""Red Zone"" high security area of central Karachi","24.91","67.08","Pakistan's Crime Investigation Department (CID) compound","Security","Pakistani","3","0","3","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","5","2009","6","6","202","202","88","88","88","88","0","0","0","0","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Kirkuk","Taza Khurmatu","Mosque, Taza Kharmatu","35.3","44.32","Al Rasul Mosque","Civilian","Iraqi","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","2","2006","9","7","4","11","1","1","1","1","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Kandahar","Kandahar City","Mirwais Mina Area","31.61","65.71","NATO-ISAF (Canadian) military convoy","Security","Canadian","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","4","2017","8","5","4","4","7","7","0","0","0","0","7","7","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Ninawa","Mosul","House in Jadida Neighborhood","36.33","43.11","Golden Division (Iraqi Special Operations Forces) headquarters","Security","Iraqi","1","0","1","0","Male"
"Islamic State of Iraq and Syria","Claimed","Confirmed Suicide","3","2013","8","4","11","14","4","14","1","4","0","0","3","9","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Center of Ramadi","33.434167","43.268611","Iraqi Army Headquarters","Security","Iraqi","1","0","0","1","Unknown"
"Islamic State","Claimed","Possible - Too Few Sources","2","2014","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Sala ad-Din","Samarra","Banat Al Hosn Area Southwest of Al Samra","34.19","43.87","Unknown","Civilian","Unknown","1","0","1","0","Male"
"Al-Shabaab","Claimed","Confirmed Suicide","4","2007","10","3","1","3","2","2","0","0","0","0","2","2","0","0","1","0","0","Car bomb","Africa","Eastern Africa","Somalia","Bay","Baidoa","Unspecified Base Type, Ethiopian Army Base","3.11383","43.6498","Ali Mohammad Gedi, Somalian Prime Minister [survived]","Political","Somali","1","0","1","0","Male"
"Taliban (IEA)","Claimed","Confirmed Suicide","4","2007","8","5","3","6","1","1","0","0","0","0","1","1","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Kabul","Kabul","A checkpoint outside the military wing of Kabul International airport","34.53","69.17","NATO area of Kabul International Airport","Security","Multinational","1","0","1","0","Male"
"Ahrar al-Sham","Suspected","Confirmed Suicide","3","2017","6","6","5","5","2","2","0","0","0","0","2","2","1","0","0","0","0","Belt bomb","Asia","Western Asia","Syria","Quneitra","Khan 'Arnaba","National Defense Forces Checkpoint","33.1787","35.8989","National Defense Forces personnel","Security","Syrian","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2008","9","1","4","4","1","1","0","0","0","0","1","1","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Ninawa","Mosul","Al-Ba'ath Neighborhood","36.33","43.11","Iraqi Police patrol","Security","Iraqi","1","0","1","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","2","2009","8","2","3","3","3","3","0","0","0","0","3","3","0","0","1","0","0","Car bomb","Asia","Southern Asia","Pakistan","F.A.T.A.","Miram Shah","Pakistani Army checkpoint","33.01","70.07","Pakistani Army soldiers","Security","Pakistani","1","0","1","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","4","2009","4","6","4","7","6","8","0","0","0","0","6","8","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","F.C.T.","Islamabad","Jinnah Super Market","33.7215","73.04328918","Frontier Constabulary Barracks","Security","Pakistani","1","0","1","0","Male"
"Islamic State","Suspected","Possible - Too Few Sources","1","2016","4","3","0","0","9","9","0","0","0","0","9","9","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Arbil","Makhmur","Nineveh Village","35.77","43.57","Peshmerga Fighters and Troops","Security","Iraqi","4","0","0","4","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","1","2016","4","3","0","0","9","9","0","0","0","0","9","9","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Arbil","Makhmur","Nineveh Village","35.77","43.57","Peshmerga Fighters and Troops","Security","Iraqi","4","0","0","4","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","1","2016","4","3","0","0","9","9","0","0","0","0","9","9","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Arbil","Makhmur","Nineveh Village","35.77","43.57","Peshmerga Fighters and Troops","Security","Iraqi","4","0","0","4","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","1","2016","4","3","0","0","9","9","0","0","0","0","9","9","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Arbil","Makhmur","Nineveh Village","35.77","43.57","Peshmerga Fighters and Troops","Security","Iraqi","4","0","0","4","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","3","2006","9","2","17","18","12","18","9","12","0","0","3","6","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Hilmand","Lashkar Gah","Near Governor's House","31.59","64.37","Endowment and Islamic Affairs Department","Political","Afghan","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2017","12","6","51","51","13","13","13","13","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Western Africa","Nigeria","Borno","Biu","Market, Biu","10.6111","12.195","Civilians at morning market","Civilian","Nigerian","2","1","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2017","12","6","51","51","13","13","13","13","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Western Africa","Nigeria","Borno","Biu","Market, Biu","10.6111","12.195","Civilians at morning market","Civilian","Nigerian","2","1","0","1","Female"
