"Name","Number of Permits.1 unit","Number of Permits.2 units","Number of Permits.3-4 units","Number of Permits.5+ units","Period.full","Period.month","Period.month name","Period.year","Valuations.1 unit","Valuations.2 units","Valuations.3-4 units","Valuations.5+ units"
"Minnesota","3008","50","103","1080","2004/09","9","September","2004","498546","6173","10243","79822"
"Illinois","4242","64","218","1615","2004/09","9","September","2004","761926","6240","15855","115188"
"Georgia","7679","44","60","732","2004/09","9","September","2004","972322","5811","4974","37193"
"Arkansas","951","22","35","346","2004/09","9","September","2004","136349","1228","4588","12791"
"New Mexico","1156","0","11","22","2004/09","9","September","2004","172513","0","518","2520"
"Indiana","2757","112","88","433","2004/09","9","September","2004","438257","10540","6537","23699"
"Maryland","1739","20","19","795","2004/09","9","September","2004","249702","1311","1743","84994"
"Texas","11482","218","76","3038","2004/09","9","September","2004","1539332","10767","2370","163908"
"Wyoming","264","2","43","10","2004/09","9","September","2004","48690","130","3338","463"
"Tennessee","3034","20","30","547","2004/09","9","September","2004","448419","1378","1753","29332"
"Iowa","1047","64","43","252","2004/09","9","September","2004","159968","6576","3159","14075"
"Wisconsin","2635","150","121","791","2004/09","9","September","2004","427590","16255","10794","64429"
"Arizona","6469","88","65","485","2004/09","9","September","2004","988961","6184","5403","31195"
"Louisiana","1597","26","14","47","2004/09","9","September","2004","179444","1481","745","2715"
"Michigan","4361","46","96","647","2004/09","9","September","2004","646996","4504","9322","45273"
"Kansas","976","24","11","184","2004/09","9","September","2004","152732","1801","1547","7509"
"Utah","1804","46","80","231","2004/09","9","September","2004","276046","4324","7113","16960"
"Virginia","4494","30","110","861","2004/09","9","September","2004","655360","2473","7825","48846"
"Oregon","1988","80","37","189","2004/09","9","September","2004","387521","7909","3637","13752"
"Connecticut","832","26","3","252","2004/09","9","September","2004","164086","2849","288","16119"
"District of Columbia","0","0","0","147","2004/09","9","September","2004","0","0","0","9738"
"New Hampshire","546","98","23","181","2004/09","9","September","2004","94087","8211","2281","12114"
"Massachusetts","1216","54","47","470","2004/09","9","September","2004","250698","5810","3891","42497"
"West Virginia","382","22","3","56","2004/09","9","September","2004","55180","1176","135","2626"
"South Carolina","2967","14","67","675","2004/09","9","September","2004","414542","856","4851","37552"
"Vermont","218","10","12","99","2004/09","9","September","2004","32318","878","953","8251"
"Delaware","577","18","4","149","2004/09","9","September","2004","68261","1303","299","7252"
"North Dakota","227","2","20","137","2004/09","9","September","2004","33448","252","2146","6818"
"California","12518","152","281","4566","2004/09","9","September","2004","2555015","21860","31928","371493"
"Pennsylvania","2711","28","148","1090","2004/09","9","September","2004","406729","2321","8919","71849"
"Florida","13079","166","271","4079","2004/09","9","September","2004","2003551","12080","27061","366271"
"Kentucky","1527","18","44","293","2004/09","9","September","2004","196397","1136","1798","16584"
"Rhode Island","176","4","0","85","2004/09","9","September","2004","29593","244","0","5008"
"Nebraska","726","20","3","58","2004/09","9","September","2004","91368","1918","83","2933"
"Missouri","1974","236","197","820","2004/09","9","September","2004","288023","20199","16454","62395"
"Ohio","3622","62","212","1150","2004/09","9","September","2004","609692","5924","16364","54517"
"Alabama","1860","22","24","302","2004/09","9","September","2004","224904","949","2120","25303"
"South Dakota","313","28","21","24","2004/09","9","September","2004","38990","2761","1711","2414"
"Alaska","172","52","0","107","2004/09","9","September","2004","34501","7267","0","14586"
"Colorado","3676","46","104","593","2004/09","9","September","2004","728131","6069","9639","46163"
"Idaho","1357","16","108","84","2004/09","9","September","2004","210602","1569","5231","14689"
"New Jersey","1920","220","84","931","2004/09","9","September","2004","289534","17692","4459","39992"
"Washington","3313","112","152","1518","2004/09","9","September","2004","549689","11893","15338","126201"
"North Carolina","5834","50","84","1054","2004/09","9","September","2004","919625","3787","6139","58600"
"Maine","753","22","14","15","2004/09","9","September","2004","109877","1958","1547","967"
"New York","2098","432","425","1542","2004/09","9","September","2004","394543","45163","35743","114114"
"Montana","230","28","44","193","2004/09","9","September","2004","35680","2256","4166","15978"
"Nevada","2875","0","143","566","2004/09","9","September","2004","386232","0","10536","22027"
"Hawaii","477","0","8","90","2004/09","9","September","2004","99608","0","786","7093"
"Mississippi","839","6","0","790","2004/10","10","October","2004","106591","333","0","29361"
"Oklahoma","1047","4","7","91","2004/10","10","October","2004","148795","309","533","4973"
"Minnesota","2921","70","122","1092","2004/10","10","October","2004","486987","8264","15590","123246"
"Illinois","3839","170","305","1215","2004/10","10","October","2004","717509","16448","25051","96315"
"Georgia","6331","82","115","1839","2004/10","10","October","2004","829744","8373","4928","113534"
"Arkansas","780","50","111","315","2004/10","10","October","2004","119492","3649","7808","17112"
"New Mexico","1019","6","22","46","2004/10","10","October","2004","156831","344","923","1769"
"Indiana","2742","202","95","427","2004/10","10","October","2004","438363","16279","6938","24978"
"Maryland","2069","6","14","594","2004/10","10","October","2004","297305","598","1093","39529"
"Texas","11223","450","258","2621","2004/10","10","October","2004","1497391","28115","10350","142575"
"Wyoming","194","4","18","17","2004/10","10","October","2004","30503","326","1602","936"
"Tennessee","2911","38","24","309","2004/10","10","October","2004","412815","3487","793","26473"
"Iowa","1084","38","61","328","2004/10","10","October","2004","170557","3792","2965","16583"
"Wisconsin","2504","244","181","743","2004/10","10","October","2004","419280","23832","15926","42600"
"Arizona","6123","52","42","788","2004/10","10","October","2004","982613","4516","3339","60134"
"Louisiana","1506","60","122","123","2004/10","10","October","2004","189024","4089","6650","7009"
"Michigan","4011","80","121","912","2004/10","10","October","2004","615921","6801","11490","57570"
"Kansas","716","42","13","16","2004/10","10","October","2004","120210","3637","1211","553"
"Utah","1725","6","73","201","2004/10","10","October","2004","260002","595","7805","16483"
"Virginia","3913","14","26","1380","2004/10","10","October","2004","574045","1460","1956","69648"
"Oregon","1638","46","109","637","2004/10","10","October","2004","299662","5109","9096","47733"
"Connecticut","764","16","3","124","2004/10","10","October","2004","152395","1426","288","6411"
"District of Columbia","9","0","0","206","2004/10","10","October","2004","2363","0","0","13646"
"New Hampshire","652","30","24","74","2004/10","10","October","2004","109987","3356","2029","5416"
"Massachusetts","1099","98","82","480","2004/10","10","October","2004","211676","9324","7679","38269"
"West Virginia","371","6","7","17","2004/10","10","October","2004","55791","458","400","1132"
"South Carolina","2626","36","74","483","2004/10","10","October","2004","374777","2268","4612","28117"
"Vermont","205","20","4","20","2004/10","10","October","2004","27876","1924","443","1548"
"Delaware","690","0","0","99","2004/10","10","October","2004","77163","0","0","2856"
"North Dakota","228","4","18","70","2004/10","10","October","2004","37656","491","1603","4808"
"California","11704","244","325","4368","2004/10","10","October","2004","2417335","23082","33389","431414"
"Pennsylvania","2655","52","175","245","2004/10","10","October","2004","425195","4395","12263","14562"
"Florida","14726","222","217","7574","2004/10","10","October","2004","2361204","18707","22430","693174"
"Kentucky","1548","16","58","363","2004/10","10","October","2004","206127","945","2429","12467"
"Rhode Island","136","6","6","8","2004/10","10","October","2004","22956","389","590","914"
"Nebraska","785","72","0","78","2004/10","10","October","2004","108063","6128","0","4286"
"Missouri","1964","116","111","145","2004/10","10","October","2004","286486","10090","8326","6779"
"Ohio","3376","218","163","638","2004/10","10","October","2004","578130","22614","13071","28943"
"Alabama","1688","12","0","141","2004/10","10","October","2004","200436","1056","0","14971"
"South Dakota","450","6","14","24","2004/10","10","October","2004","57488","803","679","1904"
"Alaska","98","24","18","52","2004/10","10","October","2004","19683","3488","1275","5993"
"Colorado","2833","30","72","351","2004/10","10","October","2004","549700","2486","7939","29224"
"Idaho","1275","26","73","46","2004/10","10","October","2004","190428","2432","2730","2874"
"New Jersey","1747","288","111","477","2004/10","10","October","2004","263415","27540","7624","30534"
"Washington","3140","56","102","968","2004/10","10","October","2004","517874","5343","9261","80129"
"North Carolina","5918","52","39","591","2004/10","10","October","2004","886885","4895","1694","40330"
"Maine","615","22","13","48","2004/10","10","October","2004","88850","2492","1226","4625"
"New York","2028","508","601","1694","2004/10","10","October","2004","389404","52882","50782","126190"
"Montana","169","32","91","64","2004/10","10","October","2004","24853","4064","5680","4143"
"Nevada","2114","4","60","296","2004/10","10","October","2004","294699","495","4179","16815"
"Hawaii","475","14","96","107","2004/10","10","October","2004","96892","1419","8819","21093"
"Mississippi","696","4","20","197","2004/11","11","November","2004","85625","185","1196","8777"
"Oklahoma","892","18","0","355","2004/11","11","November","2004","125170","1232","0","17926"
"Minnesota","2254","32","69","590","2004/11","11","November","2004","396598","3760","3979","65841"
"Illinois","3331","112","234","808","2004/11","11","November","2004","644986","10664","18569","82656"
"Georgia","5555","64","85","3620","2004/11","11","November","2004","772735","3628","4487","300017"
"Arkansas","671","12","19","132","2004/11","11","November","2004","97546","753","1111","4976"
"New Mexico","916","24","9","78","2004/11","11","November","2004","137276","1504","598","2990"
"Indiana","2704","116","74","185","2004/11","11","November","2004","448897","11493","10529","10651"
"Maryland","1726","76","7","630","2004/11","11","November","2004","255660","4190","524","41669"
"Texas","9544","138","151","2216","2004/11","11","November","2004","1312432","10166","9499","119197"
"Wyoming","179","4","16","12","2004/11","11","November","2004","26637","310","1498","575"
"Tennessee","2644","40","138","125","2004/11","11","November","2004","374706","5993","6505","8349"
"Iowa","1015","26","34","266","2004/11","11","November","2004","158011","3193","2378","21529"
"Wisconsin","2155","174","132","404","2004/11","11","November","2004","385540","17754","15227","28201"
"Arizona","5399","62","69","191","2004/11","11","November","2004","949420","4604","5037","11314"
"Louisiana","1443","84","16","232","2004/11","11","November","2004","176764","3819","857","12261"
"Michigan","3282","70","42","747","2004/11","11","November","2004","511429","6403","4575","60068"
"Kansas","729","90","4","72","2004/11","11","November","2004","116926","9008","300","3233"
"Utah","1657","30","89","320","2004/11","11","November","2004","242722","3673","7773","23057"
"Virginia","3249","44","96","577","2004/11","11","November","2004","480303","3448","8351","35824"
"Oregon","1462","74","36","77","2004/11","11","November","2004","283620","7411","2920","7067"
"Connecticut","1029","26","7","423","2004/11","11","November","2004","194734","2366","654","50620"
"District of Columbia","8","0","0","15","2004/11","11","November","2004","1070","0","0","1000"
"New Hampshire","478","16","18","94","2004/11","11","November","2004","88898","1613","1665","4583"
"Massachusetts","1089","78","88","718","2004/11","11","November","2004","230374","7727","7913","60969"
"West Virginia","346","8","0","0","2004/11","11","November","2004","45760","443","0","0"
"South Carolina","2743","34","35","530","2004/11","11","November","2004","372195","2037","2480","31192"
"Vermont","174","18","28","13","2004/11","11","November","2004","25015","1338","2535","1430"
"Delaware","606","0","0","6","2004/11","11","November","2004","73108","0","0","96"
"North Dakota","109","2","4","30","2004/11","11","November","2004","17888","305","566","2593"
"California","10962","214","544","5713","2004/11","11","November","2004","2243652","20576","58942","492342"
"Pennsylvania","2595","24","102","257","2004/11","11","November","2004","395704","2179","10373","15922"
"Florida","13048","206","348","3875","2004/11","11","November","2004","2123659","20276","29643","415118"
"Kentucky","1188","44","17","355","2004/11","11","November","2004","153639","2989","1782","22649"
"Rhode Island","152","20","0","52","2004/11","11","November","2004","26378","1715","0","4696"
"Nebraska","640","16","15","298","2004/11","11","November","2004","98244","1217","1284","18674"
"Missouri","1550","68","183","318","2004/11","11","November","2004","235928","5318","14194","17990"
"Ohio","2899","138","235","963","2004/11","11","November","2004","487312","13294","13728","52307"
"Alabama","1723","14","3","114","2004/11","11","November","2004","215151","992","430","12252"
"South Dakota","408","10","15","27","2004/11","11","November","2004","56425","1027","1292","2354"
"Alaska","83","20","0","36","2004/11","11","November","2004","15998","2957","0","4662"
"Colorado","2345","36","39","219","2004/11","11","November","2004","434976","5489","3878","18790"
"Idaho","1143","74","76","58","2004/11","11","November","2004","184844","8837","4626","3505"
"New Jersey","1717","326","91","552","2004/11","11","November","2004","268385","28164","5256","38736"
"Washington","2568","108","54","895","2004/11","11","November","2004","430232","11222","4792","79474"
"North Carolina","5425","124","66","1280","2004/11","11","November","2004","866202","10761","3084","83092"
"Maine","595","16","13","61","2004/11","11","November","2004","86030","1325","1080","4268"
"New York","1912","352","464","2778","2004/11","11","November","2004","359398","40005","41124","184885"
"Montana","202","28","84","121","2004/11","11","November","2004","25388","3382","3975","7449"
"Nevada","2480","0","49","135","2004/11","11","November","2004","330784","0","3096","8251"
"Hawaii","295","0","4","378","2004/11","11","November","2004","63029","0","367","29708"
"Mississippi","702","4","16","106","2004/12","12","December","2004","84263","110","1197","5331"
"Oklahoma","1117","10","84","284","2004/12","12","December","2004","159515","669","2205","13399"
"Minnesota","1978","22","119","1134","2004/12","12","December","2004","359517","3168","14345","111250"
"Illinois","2717","118","369","954","2004/12","12","December","2004","538860","11337","31216","84159"
"Georgia","6197","74","97","1891","2004/12","12","December","2004","858684","4770","6329","108083"
"Arkansas","728","74","82","517","2004/12","12","December","2004","110370","6948","5310","23611"
"New Mexico","855","2","81","81","2004/12","12","December","2004","131298","117","4425","4516"
"Indiana","2056","100","103","751","2004/12","12","December","2004","338457","9990","9393","49042"
"Maryland","1654","6","7","422","2004/12","12","December","2004","245618","829","524","27457"
"Texas","10070","168","186","1724","2004/12","12","December","2004","1414618","10467","10925","115218"
"Wyoming","163","4","18","16","2004/12","12","December","2004","21657","330","1602","784"
"Tennessee","2739","28","88","699","2004/12","12","December","2004","344791","1518","3232","41939"
"Iowa","708","18","13","60","2004/12","12","December","2004","109007","2221","1288","5047"
"Wisconsin","1701","152","71","441","2004/12","12","December","2004","292468","14545","6639","58694"
"Arizona","5535","26","95","1222","2004/12","12","December","2004","912625","2315","8417","94725"
"Louisiana","1330","28","12","181","2004/12","12","December","2004","181466","1964","707","10927"
"Michigan","2558","38","70","179","2004/12","12","December","2004","394001","2982","7459","17310"
"Kansas","789","140","49","64","2004/12","12","December","2004","132805","10491","4714","2846"
"Utah","1308","22","30","92","2004/12","12","December","2004","211340","2231","3525","6641"
"Virginia","3488","58","50","774","2004/12","12","December","2004","524022","4113","3390","56744"
"Oregon","1685","48","300","164","2004/12","12","December","2004","309321","4903","23599","14059"
"Connecticut","635","12","4","248","2004/12","12","December","2004","134923","591","100","15366"
"District of Columbia","6","0","0","103","2004/12","12","December","2004","664","0","0","9498"
"New Hampshire","431","16","13","34","2004/12","12","December","2004","80211","1538","1575","1767"
"Massachusetts","1050","226","38","1037","2004/12","12","December","2004","234545","20417","4036","92699"
"West Virginia","312","6","4","5","2004/12","12","December","2004","50809","509","180","226"
"South Carolina","2718","6","118","1274","2004/12","12","December","2004","385199","373","12345","99387"
"Vermont","148","8","8","6","2004/12","12","December","2004","21665","662","800","808"
"Delaware","556","0","0","61","2004/12","12","December","2004","61547","0","0","1193"
"North Dakota","105","2","4","22","2004/12","12","December","2004","21130","240","338","1524"
"California","10836","130","315","6555","2004/12","12","December","2004","2231921","15137","31085","567556"
"Pennsylvania","2200","38","95","464","2004/12","12","December","2004","364181","3081","8335","29074"
"Florida","13750","172","291","4761","2004/12","12","December","2004","2263055","13136","39388","513691"
"Kentucky","1027","22","31","281","2004/12","12","December","2004","131841","1274","1955","15180"
"Rhode Island","134","4","7","15","2004/12","12","December","2004","23848","224","551","664"
"Nebraska","599","6","0","213","2004/12","12","December","2004","89740","512","0","9216"
"Missouri","1888","150","83","251","2004/12","12","December","2004","287472","10723","4876","17222"
"Ohio","2408","84","288","222","2004/12","12","December","2004","435998","6134","21345","10037"
"Alabama","2104","0","3","431","2004/12","12","December","2004","272862","0","162","56240"
"South Dakota","224","6","3","73","2004/12","12","December","2004","29403","495","158","5163"
"Alaska","79","24","8","102","2004/12","12","December","2004","13978","3218","761","12168"
"Colorado","2726","36","95","765","2004/12","12","December","2004","487667","3793","9648","62120"
"Idaho","1171","26","37","90","2004/12","12","December","2004","188216","2660","2067","4618"
"New Jersey","1709","308","213","901","2004/12","12","December","2004","271011","25539","15013","70655"
"Washington","2493","110","124","1241","2004/12","12","December","2004","428432","10510","11968","100621"
"North Carolina","5735","90","42","1020","2004/12","12","December","2004","899958","7775","6362","62823"
"Maine","582","14","10","19","2004/12","12","December","2004","90984","1194","867","1796"
"New York","2003","340","545","1934","2004/12","12","December","2004","375338","28802","40727","123357"
"Montana","188","12","40","112","2004/12","12","December","2004","26884","1030","3082","9026"
"Nevada","2461","0","49","170","2004/12","12","December","2004","326814","0","3019","7748"
"Hawaii","350","6","20","138","2004/12","12","December","2004","76645","608","948","10241"
"Mississippi","832","16","15","15","2005/01","1","January","2005","97865","1081","905","499"
"Oklahoma","944","18","0","499","2005/01","1","January","2005","141974","1081","0","32434"
"Minnesota","1062","10","18","304","2005/01","1","January","2005","219858","1246","2861","29642"
"Illinois","2176","38","184","622","2005/01","1","January","2005","428661","4211","16774","44488"
"Georgia","6782","36","34","582","2005/01","1","January","2005","926099","2687","1860","30812"
"Arkansas","813","50","21","518","2005/01","1","January","2005","123796","4394","950","27387"
"New Mexico","881","30","36","123","2005/01","1","January","2005","129325","2040","2531","5452"
"Indiana","1511","48","62","372","2005/01","1","January","2005","248366","4580","3802","19034"
"Maryland","1343","10","13","183","2005/01","1","January","2005","220955","1426","1018","10651"
"Texas","10880","152","264","4551","2005/01","1","January","2005","1555708","11105","13262","247924"
"Wyoming","119","6","11","10","2005/01","1","January","2005","17114","698","1248","519"
"Tennessee","2839","68","21","398","2005/01","1","January","2005","392959","3266","2120","25064"
"Iowa","433","4","7","95","2005/01","1","January","2005","68810","203","581","7342"
"Wisconsin","1158","32","26","554","2005/01","1","January","2005","204243","3001","2735","48098"
"Arizona","5475","34","81","514","2005/01","1","January","2005","880113","3298","7323","42187"
"Louisiana","1955","18","0","100","2005/01","1","January","2005","235244","1199","0","3637"
"Michigan","2107","24","66","323","2005/01","1","January","2005","327524","2257","7603","18840"
"Kansas","507","12","16","58","2005/01","1","January","2005","88295","1465","1361","2475"
"Utah","1497","14","26","470","2005/01","1","January","2005","216726","1679","2769","38122"
"Virginia","3273","14","67","496","2005/01","1","January","2005","506914","1127","4832","32121"
"Oregon","1653","76","140","227","2005/01","1","January","2005","298845","8375","12188","15919"
"Connecticut","443","8","12","188","2005/01","1","January","2005","93856","488","1022","11871"
"District of Columbia","7","0","4","126","2005/01","1","January","2005","2026","0","201","8346"
"New Hampshire","371","36","3","87","2005/01","1","January","2005","65597","3450","219","8422"
"Massachusetts","811","60","47","626","2005/01","1","January","2005","171156","6027","4183","58138"
"West Virginia","356","2","3","94","2005/01","1","January","2005","51071","59","135","6130"
"South Carolina","2937","26","40","1003","2005/01","1","January","2005","405691","1865","3444","89608"
"Vermont","87","8","3","11","2005/01","1","January","2005","14148","688","364","759"
"Delaware","562","0","0","10","2005/01","1","January","2005","64735","0","0","160"
"North Dakota","10","0","3","11","2005/01","1","January","2005","1764","0","351","1221"
"California","9564","124","158","4232","2005/01","1","January","2005","1909430","13313","15455","386905"
"Pennsylvania","1825","18","40","187","2005/01","1","January","2005","308607","1540","2327","11434"
"Florida","14913","214","343","5049","2005/01","1","January","2005","2432700","17718","33564","492889"
"Kentucky","1145","22","12","89","2005/01","1","January","2005","148639","1760","600","5016"
"Rhode Island","99","12","4","13","2005/01","1","January","2005","16048","625","246","841"
"Nebraska","418","12","3","17","2005/01","1","January","2005","58721","1129","173","786"
"Missouri","1666","64","18","103","2005/01","1","January","2005","247944","6165","1722","9664"
"Ohio","2109","16","45","298","2005/01","1","January","2005","381264","1619","3175","15730"
"Alabama","1942","4","0","1040","2005/01","1","January","2005","254897","214","0","82222"
"South Dakota","170","4","22","6","2005/01","1","January","2005","23343","160","540","388"
"Alaska","67","12","11","0","2005/01","1","January","2005","13251","1783","1482","0"
"Colorado","2691","12","134","444","2005/01","1","January","2005","507373","1254","15796","31583"
"Idaho","977","34","16","65","2005/01","1","January","2005","158627","3836","775","4040"
"New Jersey","1375","210","70","844","2005/01","1","January","2005","290219","21563","4708","72629"
"Washington","2705","54","60","368","2005/01","1","January","2005","464267","5723","5563","26729"
"North Carolina","5773","204","7","608","2005/01","1","January","2005","907598","22159","1167","46416"
"Maine","372","6","10","12","2005/01","1","January","2005","56657","454","816","806"
"New York","1181","246","376","1380","2005/01","1","January","2005","218872","21234","29139","92486"
"Montana","225","22","12","54","2005/01","1","January","2005","30987","2429","1602","3961"
"Nevada","1687","0","43","266","2005/01","1","January","2005","274121","0","3935","20294"
"Hawaii","419","20","0","0","2005/01","1","January","2005","82822","1989","0","0"
"Mississippi","698","6","0","42","2005/02","2","February","2005","86683","260","0","1506"
"Oklahoma","1108","54","0","134","2005/02","2","February","2005","157767","3717","0","7613"
"Minnesota","1167","6","6","293","2005/02","2","February","2005","234789","854","976","39450"
"Illinois","2705","28","196","866","2005/02","2","February","2005","527941","2846","16915","60201"
"Georgia","6277","22","28","1327","2005/02","2","February","2005","843952","1567","1835","84439"
"Arkansas","788","68","15","469","2005/02","2","February","2005","113684","5320","939","28654"
"New Mexico","1007","0","3","56","2005/02","2","February","2005","165620","0","87","2294"
"Indiana","1765","56","51","114","2005/02","2","February","2005","290732","6212","3844","5808"
"Maryland","1692","12","24","874","2005/02","2","February","2005","259341","2100","1821","52896"
"Texas","12083","266","231","2723","2005/02","2","February","2005","1636729","15751","14896","179581"
"Wyoming","140","2","11","15","2005/02","2","February","2005","22087","119","562","817"
"Tennessee","2800","40","31","247","2005/02","2","February","2005","409940","4125","3129","15096"
"Iowa","644","34","22","196","2005/02","2","February","2005","104136","3358","1813","16599"
"Wisconsin","1288","96","35","247","2005/02","2","February","2005","238623","9054","4200","14333"
"Arizona","5831","24","55","847","2005/02","2","February","2005","956636","2117","4255","70676"
"Louisiana","1431","38","14","5","2005/02","2","February","2005","182667","16621","1011","400"
"Michigan","3731","28","43","287","2005/02","2","February","2005","557511","2771","4583","20695"
"Kansas","786","64","0","120","2005/02","2","February","2005","125719","5640","0","4269"
"Utah","1476","6","56","288","2005/02","2","February","2005","248813","565","5842","24441"
"Virginia","3371","18","50","823","2005/02","2","February","2005","520388","1433","3334","49312"
"Oregon","1721","94","147","185","2005/02","2","February","2005","330275","9802","14163","13553"
"Connecticut","460","10","0","77","2005/02","2","February","2005","90870","759","0","3995"
"District of Columbia","18","0","3","225","2005/02","2","February","2005","2569","0","300","62056"
"New Hampshire","307","12","4","36","2005/02","2","February","2005","56058","1277","324","1987"
"Massachusetts","697","82","29","322","2005/02","2","February","2005","142855","7955","2606","32058"
"West Virginia","334","2","15","10","2005/02","2","February","2005","51264","309","335","429"
"South Carolina","3083","26","72","730","2005/02","2","February","2005","418961","1610","9397","50416"
"Vermont","100","8","0","5","2005/02","2","February","2005","15726","629","0","317"
"Delaware","591","0","4","52","2005/02","2","February","2005","71400","0","409","1027"
"North Dakota","40","0","0","252","2005/02","2","February","2005","9030","0","0","10435"
"California","9771","138","154","4032","2005/02","2","February","2005","1998055","12712","18411","328431"
"Pennsylvania","2053","6","23","785","2005/02","2","February","2005","320220","471","1254","43387"
"Florida","15241","244","471","4220","2005/02","2","February","2005","2564855","20199","41762","410523"
"Kentucky","1498","24","30","149","2005/02","2","February","2005","192330","1325","1433","6986"
"Rhode Island","105","8","0","11","2005/02","2","February","2005","14772","589","0","504"
"Nebraska","511","12","19","135","2005/02","2","February","2005","75692","1266","1334","6477"
"Missouri","1614","124","89","304","2005/02","2","February","2005","249938","9956","7469","18674"
"Ohio","2740","120","95","137","2005/02","2","February","2005","458770","12262","9845","8574"
"Alabama","1783","8","12","505","2005/02","2","February","2005","244623","350","2114","26517"
"South Dakota","196","8","11","34","2005/02","2","February","2005","28538","980","678","1378"
"Alaska","64","36","4","0","2005/02","2","February","2005","12129","4961","438","0"
"Colorado","2823","10","6","266","2005/02","2","February","2005","549774","1394","831","27995"
"Idaho","1253","24","75","101","2005/02","2","February","2005","189085","2563","8400","8240"
"New Jersey","1254","170","52","609","2005/02","2","February","2005","200229","16329","4153","56822"
"Washington","2722","92","73","777","2005/02","2","February","2005","489602","9609","6917","85175"
"North Carolina","6226","116","18","955","2005/02","2","February","2005","938391","13551","1509","171507"
"Maine","395","10","6","20","2005/02","2","February","2005","60808","1061","521","1584"
"New York","1074","316","259","1707","2005/02","2","February","2005","213975","26996","20061","121834"
"Montana","164","10","4","30","2005/02","2","February","2005","24323","959","486","1333"
"Nevada","2861","22","222","330","2005/02","2","February","2005","377655","2896","15041","69177"
"Hawaii","512","6","3","76","2005/02","2","February","2005","94930","875","432","9889"
"Mississippi","1142","8","0","272","2005/03","3","March","2005","145783","318","0","13796"
"Oklahoma","1513","20","0","50","2005/03","3","March","2005","214658","1601","0","3271"
"Minnesota","2051","32","40","277","2005/03","3","March","2005","361811","3489","5328","26098"
"Illinois","4159","94","597","1129","2005/03","3","March","2005","822157","8042","40206","92591"
"Georgia","8496","30","19","521","2005/03","3","March","2005","1133554","2300","1513","28298"
"Arkansas","1091","48","72","314","2005/03","3","March","2005","167768","3948","5169","16576"
"New Mexico","1129","0","4","5","2005/03","3","March","2005","173996","0","1300","160"
"Indiana","2903","90","80","270","2005/03","3","March","2005","481826","9332","6623","12041"
"Maryland","2431","12","15","1136","2005/03","3","March","2005","353174","1107","1129","93314"
"Texas","14280","240","303","3230","2005/03","3","March","2005","1938383","16645","18458","220972"
"Wyoming","226","4","18","5","2005/03","3","March","2005","50538","294","1602","247"
"Tennessee","3608","54","113","77","2005/03","3","March","2005","520495","2794","5590","7778"
"Iowa","1262","32","59","391","2005/03","3","March","2005","206455","3068","3913","21897"
"Wisconsin","2097","130","83","350","2005/03","3","March","2005","372636","14220","7735","28212"
"Arizona","6853","60","140","953","2005/03","3","March","2005","1085433","5387","11701","82204"
"Louisiana","1764","40","15","214","2005/03","3","March","2005","224228","18302","922","16204"
"Michigan","2969","32","47","333","2005/03","3","March","2005","470450","2321","5070","22337"
"Kansas","1026","72","48","189","2005/03","3","March","2005","164638","5554","5111","11744"
"Utah","2148","20","75","143","2005/03","3","March","2005","349850","2664","7116","12336"
"Virginia","4610","60","44","634","2005/03","3","March","2005","725138","4217","3095","36912"
"Oregon","2169","86","57","741","2005/03","3","March","2005","417291","8498","5507","64589"
"Connecticut","645","8","0","233","2005/03","3","March","2005","123656","482","0","11695"
"District of Columbia","18","0","4","160","2005/03","3","March","2005","3436","0","300","2289"
"New Hampshire","485","24","7","92","2005/03","3","March","2005","90233","2284","1100","6135"
"Massachusetts","1137","154","52","667","2005/03","3","March","2005","230342","19164","4113","58260"
"West Virginia","505","2","4","9","2005/03","3","March","2005","70501","59","180","550"
"South Carolina","3714","82","34","903","2005/03","3","March","2005","517592","10176","3266","68681"
"Vermont","173","16","3","18","2005/03","3","March","2005","25291","1290","180","1200"
"Delaware","605","2","8","53","2005/03","3","March","2005","69807","64","409","2571"
"North Dakota","144","2","8","102","2005/03","3","March","2005","19922","309","1263","4243"
"California","13887","202","474","3573","2005/03","3","March","2005","2729881","22360","51597","309260"
"Pennsylvania","2580","16","45","614","2005/03","3","March","2005","416083","1606","3522","40571"
"Florida","18391","286","264","6236","2005/03","3","March","2005","3142169","23792","34336","852307"
"Kentucky","1851","32","15","155","2005/03","3","March","2005","249690","1945","655","7516"
"Rhode Island","131","14","4","43","2005/03","3","March","2005","24576","1153","233","4390"
"Nebraska","870","24","93","186","2005/03","3","March","2005","129318","2523","5253","10135"
"Missouri","2610","116","168","168","2005/03","3","March","2005","408473","10096","12405","10761"
"Ohio","3995","38","215","273","2005/03","3","March","2005","677416","3909","19554","15686"
"Alabama","2258","6","15","444","2005/03","3","March","2005","309554","397","1618","41552"
"South Dakota","451","14","16","60","2005/03","3","March","2005","59308","1070","1248","2806"
"Alaska","173","84","17","47","2005/03","3","March","2005","34940","11101","2439","5146"
"Colorado","3741","44","27","290","2005/03","3","March","2005","722872","4700","2920","24308"
"Idaho","1688","36","25","66","2005/03","3","March","2005","262288","3788","1638","3438"
"New Jersey","1889","260","119","772","2005/03","3","March","2005","277551","23989","8254","46612"
"Washington","3882","48","126","685","2005/03","3","March","2005","715765","4349","11895","54072"
"North Carolina","7261","200","60","733","2005/03","3","March","2005","1124393","20143","4156","51015"
