Lee County,140247,Alabama,4410,55682,953,2038,13,0,19831,28120,209,0,25354,46162,316,0,77360,119052,797,0,7655,11327,87,0
Limestone County,82782,Alabama,2907,31446,901,1114,3,0,16365,18755,80,0,21879,25162,57,0,67917,78037,309,0,8130,9454,40,0
Lowndes County,11299,Alabama,96,4352,533,563,232,0,2613,2699,1171,0,5749,5977,2284,0,10656,11018,4411,0,1526,1581,581,0
Macon County,21452,Alabama,1772,8499,805,994,116,0,3778,4201,521,0,8761,10292,1138,0,17711,20428,2201,0,2558,2842,313,0
Madison County,334811,Alabama,8042,134700,2622,5187,3,0,40683,66801,81,0,44342,79103,100,0,165732,277105,346,0,18666,32931,51,0
Marengo County,21027,Alabama,254,8535,378,597,93,0,3047,4095,1000,0,6252,8278,2065,0,12839,17291,3950,0,2113,2929,643,0
Marion County,30776,Alabama,868,12651,355,504,7,0,5185,6096,194,0,10818,12827,316,0,23186,27622,932,0,3874,4923,187,0
Marshall County,93019,Alabama,1047,35810,826,1343,0,0,14958,19899,0,0,25394,34223,0,0,60924,80017,0,0,8708,11822,0,0
Mobile County,412992,Alabama,6808,158435,3393,7470,2,0,49762,81039,126,0,73370,126600,127,0,193433,320208,847,0,23794,40790,179,0
Monroe County,23068,Alabama,230,9214,789,926,272,0,4713,5459,1014,0,9731,11217,2613,2,18266,21231,4295,3,2697,3208,739,1
Montgomery County,229363,Alabama,9082,89981,2628,6155,86,0,20720,44225,945,0,30406,73999,2043,0,83407,179428,5160,0,9058,20850,916,0
Morgan County,119490,Alabama,2133,47030,1137,2046,6,0,17298,25318,85,0,24140,37984,69,0,71887,103759,336,0,9850,14259,44,0
Perry County,10591,Alabama,721,3947,505,577,279,0,2232,2518,1151,0,6014,7131,2950,0,8815,10453,4187,0,1504,1736,619,0
Pickens County,19746,Alabama,334,8012,530,683,26,0,3229,4094,185,0,6606,8181,295,0,14454,17773,820,0,2365,2967,136,0
Pike County,32899,Alabama,1963,13210,434,803,23,0,4375,5808,332,0,8707,14468,547,0,19385,28403,1382,0,2677,3497,229,0
Randolph County,22913,Alabama,407,9164,423,483,75,0,4436,4983,658,0,7674,8529,1490,0,18783,20868,2939,0,3113,3463,453,0
Russell County,52947,Alabama,574,21229,702,1421,220,6,5800,9652,764,16,9226,16825,1739,62,24032,39420,3927,111,3210,5404,754,24
Shelby County,195085,Alabama,2574,74072,1418,1919,4,0,33173,44586,47,0,26574,36752,98,0,126073,172280,353,0,13646,18409,60,0
St. Clair County,83593,Alabama,1967,31624,782,927,0,0,16384,18733,0,0,21797,25384,0,0,68877,78916,0,0,8880,10310,0,0
Sumter County,13763,Alabama,718,5629,444,568,139,0,2005,2595,579,5,5555,7250,1480,10,8951,11741,2483,21,1523,1823,447,3
Talladega County,82291,Alabama,3143,31890,1464,2231,0,0,13563,17351,10,0,25131,33313,13,0,59391,75022,37,0,7984,10382,5,0
Tallapoosa County,41616,Alabama,576,16985,1085,1354,28,0,7142,8496,460,0,13082,16295,815,0,33202,38797,2227,0,5778,6661,398,0
Tuscaloosa County,194656,Alabama,10423,76141,1112,2886,23,0,21923,34422,836,0,26868,53687,817,0,90383,152578,3266,0,10131,16562,453,0
Walker County,67023,Alabama,866,26571,1175,1425,0,0,12094,13868,28,0,22899,26247,49,0,53204,61228,167,0,8161,9662,36,0
Washington County,17581,Alabama,147,6758,228,236,49,0,4100,4349,516,0,7199,7601,788,0,16113,17045,1966,0,2323,2503,315,0
Wilcox County,11670,Alabama,108,4484,666,683,220,0,3040,3127,1305,1,6152,6260,2763,3,11304,11591,4897,5,1696,1738,738,1
Winston County,24484,Alabama,301,10163,474,614,19,0,4142,4718,213,0,8930,10159,415,0,19554,22073,1033,0,3320,3821,204,0
Aleutians East Borough,3141,Alaska,1726,553,126,131,56,34,346,360,56,35,1047,1081,458,418,2950,3041,1226,1119,145,151,44,42
Aleutians West Census Area,5561,Alaska,2543,1212,133,159,103,103,497,602,204,204,999,1317,434,433,3409,4570,1190,1185,139,168,75,75
Anchorage Municipality,291826,Alaska,8450,107332,987,3578,3,0,23380,55038,105,2,14114,41102,62,3,89739,212595,631,18,5869,14832,41,0
Bethel Census Area,17013,Alaska,338,4651,2299,2403,1826,1473,5029,5548,3380,2780,7887,8295,6009,4835,13260,14732,8747,7127,822,896,626,500
Bristol Bay Borough,997,Alaska,16,423,42,42,24,0,225,225,127,1,203,203,116,2,996,997,561,7,83,83,51,2
Denali Borough,1826,Alaska,36,806,25,25,25,25,411,411,411,411,604,604,604,603,1826,1826,1826,1822,137,137,137,137
Dillingham Census Area,4847,Alaska,52,1563,548,574,467,331,1394,1523,894,668,1941,2063,1525,1138,4074,4513,2462,1730,290,326,187,122
Fairbanks North Star Borough,97581,Alaska,4313,36441,607,1025,8,5,17901,22929,1296,198,14699,20017,825,229,69363,87959,5178,910,4055,5405,392,110
Haines Borough,2508,Alaska,0,1149,32,48,0,0,284,389,99,84,507,608,253,212,1479,1920,519,434,183,240,58,46
Hoonah-Angoon Census Area,2150,Alaska,0,913,281,281,279,270,424,424,418,404,674,674,669,644,2150,2150,2137,2047,288,288,287,275
Juneau City and Borough,31275,Alaska,887,12187,526,661,13,3,4868,6215,18,0,3266,3936,21,8,20058,25445,157,30,1520,1969,13,2
Kenai Peninsula Borough,55400,Alaska,1722,22161,974,1254,240,68,10773,12430,2066,357,13222,15172,2949,549,45784,52147,8785,1558,5023,5777,1133,176
Ketchikan Gateway Borough,13477,Alaska,246,5305,70,313,4,3,1140,1903,0,0,843,1839,1,1,4732,7976,39,24,437,702,12,7
Kodiak Island Borough,13592,Alaska,336,4630,338,404,110,78,2064,3101,422,192,1857,2850,532,310,7301,10942,1633,644,537,762,116,56
Kusilvak Census Area,7459,Alaska,0,1745,952,1196,327,276,1984,2453,653,558,3472,4292,1193,1015,4691,5855,1562,1324,254,326,70,55
Lake and Peninsula Borough,1631,Alaska,37,553,259,259,259,259,492,492,492,492,679,679,679,678,1631,1631,1631,1630,127,127,127,127
Matanuska-Susitna Borough,88995,Alaska,1370,31824,703,938,91,32,20543,23938,1131,300,17607,20652,2007,520,71009,82786,5525,1436,5403,6562,665,188
Nome Census Area,9492,Alaska,219,2815,1032,1185,520,519,1809,2306,807,801,2984,3415,1442,1440,4819,6260,2196,2178,256,335,133,132
North Slope Borough,9430,Alaska,2652,2029,379,614,201,196,699,1412,342,327,1073,1791,670,651,4758,6855,3575,3469,180,285,109,107
Northwest Arctic Borough,7523,Alaska,382,1919,760,858,653,542,1478,1800,1269,996,2476,2903,2179,1807,3971,4857,3434,2754,210,249,177,134
Petersburg Borough,3815,Alaska,43,1599,133,180,16,6,313,544,47,15,215,418,25,9,1402,2385,168,58,149,274,14,5
Prince of Wales-Hyder Census Area,5559,Alaska,50,2194,109,174,76,64,547,986,254,209,849,1368,491,400,2306,3960,1262,1043,246,391,151,133
Sitka City and Borough,8881,Alaska,255,3545,116,189,10,6,738,1125,9,5,555,941,0,0,3066,4541,60,35,283,398,3,2
Skagway Municipality,968,Alaska,32,436,3,6,0,0,10,24,0,0,14,28,1,0,82,158,3,0,7,13,1,0
