year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,1,54597,65213,1010067,972627,10457,16.375,7749,12.135,216097,76167,139930,7.831,22.218,141919,60090,81829,6.178,14.591,74178,7.627,29.183,5248,5329,28257
1979,1,55893,66797,1066814,1037995,9668,14.701,7604,11.562,220293,76618,143675,7.381,21.223,162194,60352,101842,5.814,15.626,58099,5.597,31.251,5234,5294,29467
1980,1,54838,66095,1060558,1064141,8714,13.168,8871,13.406,172732,65734,106998,6.177,16.232,179985,59422,120563,5.584,16.914,-7253,-0.682,32.464,6058,6128,32427
1981,1,54791,66410,1047044,1051448,8371,12.687,7516,11.391,164056,70115,93941,6.668,15.603,173188,51937,121251,4.94,16.471,-9132,-0.869,31.206,5176,5269,27038
1982,1,53219,65276,1033194,1037728,8185,12.497,8621,13.163,171970,73083,98887,7.043,16.572,181628,61970,119658,5.972,17.502,-9658,-0.931,33.144,6077,6147,34073
1983,1,53724,65380,1008219,1012807,8371,12.942,6970,10.776,171697,66389,105308,6.555,16.953,180203,57417,122786,5.669,17.792,-8506,-0.84,33.905,4537,4663,27346
1984,1,57267,69519,1103379,1054020,10726,16.006,5712,8.524,220367,79566,140801,7.549,20.907,121292,39249,82043,3.724,11.508,99075,9.4,23.015,4265,4320,22686
1985,1,58402,70932,1176089,1148409,10063,14.453,7449,10.699,215394,80918,134476,7.046,18.756,160469,60504,99965,5.269,13.973,54925,4.783,27.946,5377,5480,33204
1986,1,59182,72289,1190161,1166259,10218,14.4,7555,10.647,227308,90341,136967,7.746,19.49,180446,58733,121713,5.036,15.472,46862,4.018,30.944,5330,5449,30834
1987,1,60479,73979,1204831,1196881,10683,14.714,7937,10.932,221489,85554,135935,7.148,18.506,205284,71790,133494,5.998,17.152,16205,1.354,34.303,5412,5530,34257
1988,1,62286,76624,1238578,1222477,10603,14.097,7781,10.345,218042,91978,126064,7.524,17.836,185499,65161,120338,5.33,15.174,32543,2.662,30.348,5451,5547,34052
1989,1,63461,78473,1307763,1269650,10613,13.766,7861,10.196,241658,94892,146766,7.474,19.033,165904,55953,109951,4.407,13.067,75754,5.967,26.134,5647,5782,33792
1990,1,64371,79859,1359821,1335271,10084,12.801,7914,10.046,229668,79153,150515,5.928,17.2,180807,59253,121554,4.438,13.541,48861,3.659,27.082,5850,5991,37617
1991,1,64112,80427,1351744,1353605,9871,12.392,8329,10.456,212247,92206,120041,6.812,15.68,215385,75437,139948,5.573,15.912,-3138,-0.232,31.36,5870,6009,46381
1992,1,64731,81195,1373375,1363065,9465,11.78,7766,9.666,218703,77922,140781,5.717,16.045,196471,62867,133604,4.612,14.414,22232,1.631,28.828,5277,5409,34547
1993,1,66352,82781,1415069,1393469,9635,11.774,7741,9.459,222607,66321,156286,4.759,15.975,178920,65310,113610,4.687,12.84,43687,3.135,25.68,5179,5318,30535
1994,1,68332,85126,1456738,1438949,10521,12.544,8020,9.562,227096,86407,140689,6.005,15.782,192124,64434,127690,4.478,13.352,34972,2.43,26.703,5549,5688,37294
1995,1,70251,87575,1520399,1484503,10640,12.343,7901,9.165,248290,85993,162297,5.793,16.725,176132,58264,117868,3.925,11.865,72158,4.861,23.729,5581,5720,34054
1996,1,71167,89144,1525097,1517424,10623,12.066,8413,9.556,231337,82504,148833,5.437,15.245,215511,74287,141224,4.896,14.202,15826,1.043,28.405,6063,6181,39886
1997,1,71754,90163,1553963,1541084,10794,12.061,9453,10.563,268069,101064,167005,6.558,17.395,242944,89592,153352,5.814,15.764,25125,1.63,31.529,6437,6576,46127
1998,1,72280,91061,1590895,1586686,10186,11.246,9215,10.174,248754,87481,161273,5.513,15.678,238578,96233,142345,6.065,15.036,10176,0.641,30.073,6205,6376,39593
1999,1,72253,91601,1620294,1604978,9885,10.848,8925,9.795,261164,103526,157638,6.45,16.272,231106,83777,147329,5.22,14.399,30058,1.873,28.799,6031,6204,39923
2000,1,71665,91129,1654806,1637765,9293,10.196,9316,10.222,258477,80802,177675,4.934,15.782,225318,84159,141159,5.139,13.758,33159,2.025,27.515,6108,6331,42007
2001,1,70660,90778,1617445,1633666,9546,10.524,9398,10.361,234686,96026,138660,5.878,14.366,266644,88908,177736,5.442,16.322,-31958,-1.956,28.731,6092,6397,47004
2002,1,70708,91358,1577429,1598498,10202,11.213,9461,10.398,255687,98302,157385,6.15,15.995,297853,102198,195655,6.393,18.633,-42166,-2.638,31.991,5893,6089,57557
2003,1,70985,91829,1595565,1586021,9420,10.305,8594,9.401,249773,75279,174494,4.746,15.748,229896,74798,155098,4.716,14.495,19877,1.253,28.99,5589,5665,32841
2004,1,71716,92756,1633839,1613771,9487,10.298,8224,8.927,250861,82394,168467,5.106,15.545,211774,70731,141043,4.383,13.123,39087,2.422,26.246,5330,5406,34156
2005,1,72486,94135,1677501,1655548,9912,10.625,8219,8.81,265796,84227,181569,5.088,16.055,223254,64844,158410,3.917,13.485,42542,2.57,26.97,5440,5546,31005
2006,1,73344,96097,1710209,1693179,11236,11.84,8847,9.322,269483,107056,162427,6.323,15.916,235732,76568,159164,4.522,13.922,33751,1.993,27.845,6198,6317,38401
2007,1,74189,97819,1716140,1712797,10726,11.087,8573,8.862,256697,91951,164746,5.368,14.987,249859,76100,173759,4.443,14.588,6838,0.399,29.176,5471,5647,34048
2008,1,73362,97199,1707514,1710759,9037,9.286,9280,9.536,235860,77158,158702,4.51,13.787,242335,82806,159529,4.84,14.165,-6475,-0.378,27.574,6102,6293,36872
2009,1,71187,94859,1607243,1659173,7586,7.905,9806,10.218,170323,62314,108009,3.756,10.266,274710,69678,205032,4.2,16.557,-104387,-6.292,20.531,6534,6726,35954
2010,1,69404,93066,1569617,1586913,7396,7.892,8699,9.282,178049,61350,116699,3.866,11.22,212214,57025,155189,3.593,13.373,-34165,-2.153,22.44,5680,5817,29386
2011,1,68310,91895,1588552,1578159,7457,8.079,8260,8.949,209375,53862,155513,3.413,13.267,185970,54667,131303,3.464,11.784,23405,1.483,23.568,5159,5446,26274
2012,1,67979,91744,1583111,1585129,7737,8.444,7496,8.181,202904,57966,144938,3.657,12.8,207739,57853,149886,3.65,13.105,-4835,-0.305,25.601,4682,4815,28861
2013,1,67609,91387,1594412,1587325,7407,8.107,7365,8.061,193526,53164,140362,3.349,12.192,179474,59900,119574,3.774,11.307,14052,0.885,22.613,4563,4650,28415
2014,1,67538,91855,1601165,1595733,7390,8.077,6669,7.289,191394,61301,130093,3.842,11.994,181013,51361,129652,3.219,11.344,10381,0.651,22.687,4324,4445,25458
2015,1,67458,92448,1632403,1615483,7711,8.382,6813,7.406,198497,62884,135613,3.893,12.287,165119,52360,112759,3.241,10.221,33378,2.066,20.442,4382,4538,25976
2016,1,68123,93762,1673386,1652706,7713,8.296,6137,6.601,199649,66167,133482,4.004,12.08,156916,44704,112212,2.705,9.494,42733,2.586,18.989,4155,4274,23426
2017,1,68250,93828,1695699,1682109,7482,7.989,7140,7.624,219671,54454,165217,3.237,13.059,191740,57003,134737,3.389,11.399,27931,1.66,22.798,4541,4674,28225
2018,1,68159,93502,1727979,1712580,6695,7.159,6725,7.191,203011,54749,148262,3.197,11.854,173305,46993,126312,2.744,10.12,29706,1.735,20.239,4744,4957,27152
1978,2,7107,8396,106610,107425,1924,23.813,1291,15.979,35127,14756,20371,13.736,32.699,36645,18526,18119,17.246,34.112,-1518,-1.413,65.398,828,834,8775
1979,2,7264,8555,107600,106684,1658,19.726,1358,16.157,27519,10369,17150,9.719,25.795,25829,9389,16440,8.801,24.211,1690,1.584,48.422,853,865,4695
1980,2,7123,8447,103889,105361,1431,16.964,1408,16.691,23277,9344,13933,8.869,22.093,26258,10490,15768,9.956,24.922,-2981,-2.829,44.185,898,911,4314
1981,2,7477,8854,115373,109264,1597,18.594,1067,12.423,31523,11247,20276,10.293,28.85,19197,7287,11910,6.669,17.569,12326,11.281,35.139,637,642,3990
1982,2,8073,9538,130891,123553,1992,21.786,1203,13.157,40244,15524,24720,12.565,32.572,25676,8147,17529,6.594,20.781,14568,11.791,41.563,783,793,4447
1983,2,9181,10814,135765,131831,2520,24.96,1084,10.737,37503,16529,20974,12.538,28.448,29845,9270,20575,7.032,22.639,7658,5.809,45.278,723,741,4986
1984,2,10256,11948,144897,139620,2614,23.146,1305,11.555,37492,16063,21429,11.505,26.853,26946,8969,17977,6.424,19.3,10546,7.553,38.599,923,940,5870
1985,2,10566,12320,150745,145820,2434,20.261,1821,15.158,40077,15416,24661,10.572,27.484,30021,11906,18115,8.165,20.588,10056,6.896,41.176,1338,1352,7787
1986,2,10460,12285,145402,146531,2260,18.6,1991,16.386,34666,15146,19520,10.336,23.658,36759,11244,25515,7.673,25.086,-2093,-1.428,47.316,1456,1485,8005
1987,2,9904,11678,138724,140710,1903,16.068,2234,18.863,32816,15764,17052,11.203,23.322,37054,14872,22182,10.569,26.334,-4238,-3.012,46.643,1563,1622,9593
1988,2,10018,11880,136951,137484,1974,16.806,1706,14.524,30590,13158,17432,9.571,22.25,31622,12459,19163,9.062,23.001,-1032,-0.751,44.5,1096,1109,5804
1989,2,10323,12292,144960,140590,1930,16.082,1348,11.232,31760,11911,19849,8.472,22.591,23143,8159,14984,5.803,16.461,8617,6.129,32.923,930,953,4913
1990,2,10621,12700,159106,151759,1918,15.448,1350,10.873,35968,11297,24671,7.444,23.701,21209,7758,13451,5.112,13.975,14759,9.725,27.951,946,972,5597
1991,2,10820,13101,162162,160745,1935,15.084,1390,10.835,32507,12351,20156,7.684,20.223,29688,8562,21126,5.326,18.469,2819,1.754,36.938,898,920,5339
1992,2,11012,13400,166667,166512,1823,13.855,1339,10.176,35709,11061,24648,6.643,21.445,34673,8568,26105,5.146,20.823,1036,0.622,41.646,827,845,4892
1993,2,11312,13607,165735,166008,1742,12.932,1468,10.898,29581,8833,20748,5.321,17.819,30301,9997,20304,6.022,18.253,-720,-0.434,35.638,866,903,4948
1994,2,11684,13999,173801,170636,1852,13.424,1446,10.481,33973,12441,21532,7.291,19.91,27826,8955,18871,5.248,16.307,6147,3.602,32.615,913,938,4644
1995,2,12066,14415,176778,174958,1890,13.33,1418,10.001,30369,10268,20101,5.869,17.358,26718,8079,18639,4.618,15.271,3651,2.087,30.542,943,970,4796
1996,2,12239,14597,177475,175718,1822,12.642,1452,10.075,29435,8475,20960,4.823,16.751,26085,8441,17644,4.804,14.845,3350,1.906,29.69,966,986,5200
1997,2,12441,14852,183994,180611,1932,13.16,1590,10.83,36485,10478,26007,5.801,20.201,29887,9270,20617,5.133,16.548,6598,3.653,33.096,1012,1024,4565
1998,2,12723,15177,196305,191940,1897,12.624,1598,10.634,36752,12673,24079,6.603,19.148,28163,8963,19200,4.67,14.673,8589,4.475,29.346,990,1026,4591
1999,2,12781,15300,196164,195532,1745,11.481,1544,10.158,29213,8803,20410,4.502,14.94,27905,7726,20179,3.951,14.271,1308,0.669,28.543,1017,1037,4300
2000,2,12785,15232,203353,200148,1770,11.613,1789,11.738,38505,13510,24995,6.75,19.238,32213,14367,17846,7.178,16.095,6292,3.144,32.189,1074,1106,5987
2001,2,12730,15311,210283,206235,1814,11.926,1614,10.611,36527,11904,24623,5.772,17.711,28417,9621,18796,4.665,13.779,8110,3.932,27.558,987,1014,5016
2002,2,12843,15617,212802,211903,2134,13.819,1786,11.565,39629,15427,24202,7.28,18.701,37863,12289,25574,5.799,17.868,1766,0.833,35.736,1019,1032,6725
2003,2,13068,15931,217690,214498,1966,12.493,1578,10.027,40276,14183,26093,6.612,18.777,33570,9980,23590,4.653,15.651,6706,3.126,31.301,918,941,4746
2004,2,13361,16214,223329,220392,1906,11.877,1574,9.808,35102,9634,25468,4.371,15.927,29303,10720,18583,4.864,13.296,5799,2.631,26.592,961,994,4797
2005,2,13551,16532,226482,222901,1940,11.875,1549,9.482,35661,10936,24725,4.906,15.999,28412,7330,21082,3.288,12.746,7249,3.252,25.493,1006,1031,4831
2006,2,13794,16997,241831,235770,2329,13.922,1793,10.718,41787,12597,29190,5.343,17.724,29918,9449,20469,4.008,12.69,11869,5.034,25.379,1247,1266,5881
2007,2,13833,17174,244775,243150,2022,11.866,1755,10.299,42755,14636,28119,6.019,17.584,39347,8843,30504,3.637,16.182,3408,1.402,32.364,1085,1100,4570
2008,2,13678,17021,247067,245718,1814,10.638,1875,10.996,35356,9989,25367,4.065,14.389,32758,8770,23988,3.569,13.332,2598,1.057,26.663,1158,1170,4899
2009,2,13561,16998,251208,249232,1788,10.513,1808,10.63,39233,12130,27103,4.867,15.742,35422,10859,24563,4.357,14.212,3811,1.529,28.425,1039,1075,4841
2010,2,13603,17132,253628,252452,1740,10.216,1539,9.036,33361,8717,24644,3.453,13.215,31000,7436,23564,2.946,12.28,2361,0.935,24.559,898,916,3512
2011,2,13612,17313,254222,253776,1763,10.257,1512,8.797,31511,9705,21806,3.824,12.417,30407,7388,23019,2.911,11.982,1104,0.435,23.964,910,933,3174
2012,2,13720,17416,257324,255997,1729,9.983,1536,8.869,37291,10763,26528,4.204,14.567,34514,7556,26958,2.952,13.482,2777,1.085,26.964,822,834,3225
2013,2,13795,17525,264763,260965,1733,9.94,1551,8.896,34601,9885,24716,3.788,13.259,27132,7207,19925,2.762,10.397,7469,2.862,20.794,895,913,3244
2014,2,13820,17706,264370,263781,1748,9.942,1500,8.531,37042,12959,24083,4.913,14.043,35765,9952,25813,3.773,13.559,1277,0.484,27.117,925,932,3855
2015,2,13921,17899,266269,265150,1765,9.936,1496,8.421,35858,10535,25323,3.973,13.524,33867,9120,24747,3.44,12.773,1991,0.751,25.546,923,935,4101
2016,2,14034,18114,264338,265204,1832,10.191,1559,8.672,34188,11847,22341,4.467,12.891,35956,10495,25461,3.957,13.558,-1768,-0.667,25.782,999,1021,6451
2017,2,13979,18045,259701,261491,1734,9.613,1720,9.535,34029,8500,25529,3.251,13.013,37499,12479,25020,4.772,14.34,-3470,-1.327,26.027,1094,1111,5240
2018,2,14037,18041,260427,260765,1594,8.85,1536,8.528,30688,6824,23864,2.617,11.768,31279,8206,23073,3.147,11.995,-591,-0.227,23.537,1060,1083,4032
1978,4,40042,48180,697602,652593,9597,20.575,6524,13.987,197049,79242,117807,12.143,30.195,106464,48116,58348,7.373,16.314,90585,13.881,32.628,4429,4518,25194
1979,4,42294,50940,776575,731918,9129,18.512,5878,11.919,195612,71628,123984,9.786,26.726,106643,41463,65180,5.665,14.57,88969,12.156,29.141,3888,3969,23231
1980,4,43894,53213,815428,802197,9121,17.615,6254,12.078,167147,66972,100175,8.349,20.836,140694,48276,92418,6.018,17.539,26453,3.298,35.077,4424,4497,26673
1981,4,45805,55776,835493,823862,9312,17.185,6134,11.32,159079,66337,92742,8.052,19.309,135796,38755,97041,4.704,16.483,23283,2.826,32.966,4076,4155,21916
1982,4,46899,57603,844128,838339,9751,17.294,7312,12.968,165341,71674,93667,8.55,19.722,154172,45835,108337,5.467,18.39,11169,1.332,36.78,5189,5217,28101
1983,4,49221,60427,854676,846763,10150,17.347,6317,10.796,178434,70921,107513,8.376,21.072,162580,48955,113625,5.781,19.2,15854,1.872,38.4,4231,4304,25909
1984,4,53001,64413,965516,906336,11384,18.378,6443,10.402,240307,92625,147682,10.22,26.514,122158,44018,78140,4.857,13.478,118149,13.036,26.956,4424,4532,24992
1985,4,56026,67696,1068340,1011777,12067,18.423,7673,11.715,273832,104504,169328,10.329,27.064,160717,62011,98706,6.129,15.885,113115,11.18,31.769,5425,5538,38689
1986,4,57692,70259,1123811,1089120,12234,17.931,8169,11.973,264535,112903,151632,10.366,24.289,195352,61158,134194,5.615,17.937,69183,6.352,35.873,5821,5878,38131
1987,4,59691,73033,1157595,1139042,12927,18.18,9072,12.759,260317,122004,138313,10.711,22.854,222833,88578,134255,7.777,19.563,37484,3.291,39.126,6262,6340,45772
1988,4,61972,76487,1195297,1170456,12863,17.244,9081,12.174,261001,114642,146359,9.795,22.299,212460,75478,136982,6.449,18.152,48541,4.147,36.304,6473,6583,45393
1989,4,62661,77657,1232617,1206541,12293,16.126,9442,12.386,260236,108317,151919,8.977,21.569,208014,77881,130133,6.455,17.241,52222,4.328,34.481,6739,6914,47061
1990,4,63516,78597,1252633,1237055,11759,15.187,9419,12.165,243762,98117,145645,7.932,19.705,213505,71202,142303,5.756,17.259,30257,2.446,34.518,6729,6934,44754
1991,4,64079,80042,1252142,1247435,11940,15.176,9210,11.706,241588,115728,125860,9.277,19.367,232416,83259,149157,6.674,18.632,9172,0.735,37.263,6478,6648,50628
1992,4,64975,80901,1267165,1253559,11253,14.11,8959,11.233,243160,95519,147641,7.62,19.398,216246,70430,145816,5.618,17.251,26914,2.147,34.501,5806,5959,38587
1993,4,67005,82546,1312801,1289673,11380,13.948,9461,11.596,248847,87225,161622,6.763,19.295,203711,79734,123977,6.182,15.796,45136,3.5,31.591,6012,6183,40642
1994,4,69780,86147,1415023,1365515,12813,15.2,9112,10.809,301186,116203,184983,8.51,22.057,201195,78632,122563,5.758,14.734,99991,7.323,29.468,6269,6439,40891
1995,4,72463,89419,1499240,1455041,13063,14.908,9474,10.812,294427,114225,180202,7.85,20.235,205226,80285,124941,5.518,14.104,89201,6.13,28.209,6457,6653,48705
1996,4,74315,92059,1560563,1523091,13163,14.562,9826,10.871,289902,106799,183103,7.012,19.034,214210,79942,134268,5.249,14.064,75692,4.97,28.128,6772,6962,48554
1997,4,76515,95113,1659399,1615732,14532,15.549,11221,12.007,361008,144383,216625,8.936,22.343,275185,112970,162215,6.992,17.032,85823,5.312,34.063,7259,7431,50811
1998,4,77938,97237,1757321,1712490,13076,13.598,10927,11.363,348587,137164,211423,8.01,20.356,259507,94403,165104,5.513,15.154,89080,5.202,30.308,7173,7360,50514
1999,4,79419,99623,1815667,1782802,13862,14.108,11130,11.327,354747,136915,217832,7.68,19.898,288821,116429,172392,6.531,16.2,65926,3.698,32.401,7082,7351,55373
2000,4,80271,101419,1898960,1860337,13673,13.623,11568,11.526,378584,138323,240261,7.435,20.35,300916,115456,185460,6.206,16.175,77668,4.175,32.351,7413,7666,49725
2001,4,81513,103254,1940485,1922592,14054,13.752,11935,11.679,356770,137006,219764,7.126,18.557,321233,126583,194650,6.584,16.708,35537,1.848,33.417,7185,7415,50941
2002,4,82105,104994,1930304,1937637,14800,14.229,12843,12.347,385741,157882,227859,8.148,19.908,400749,138031,262718,7.124,20.682,-15008,-0.775,39.816,7777,8046,62921
2003,4,83660,106907,1974303,1950453,14327,13.539,12156,11.487,386644,138655,247989,7.109,19.823,341382,129875,211507,6.659,17.503,45262,2.321,35.005,7561,7688,51224
2004,4,86028,109939,2033762,2002244,14648,13.517,11510,10.621,363807,128196,235611,6.403,18.17,300144,119547,180597,5.971,14.99,63663,3.18,29.981,7236,7453,48009
2005,4,89336,114648,2153839,2093589,16478,14.683,11627,10.361,411348,161598,249750,7.719,19.648,291711,99624,192087,4.759,13.934,119637,5.714,27.867,7455,7697,49142
2006,4,94664,122110,2335532,2246637,20196,17.076,12520,10.586,464553,184283,280270,8.203,20.678,285849,102773,183076,4.575,12.723,178704,7.954,25.447,8698,8866,59940
2007,4,97182,126144,2384709,2359934,18118,14.614,13782,11.117,445931,152730,293201,6.472,18.896,397402,126642,270760,5.366,16.84,48529,2.056,33.679,8814,8987,56817
2008,4,96276,125726,2309833,2346919,15810,12.566,15991,12.71,350677,130775,219902,5.572,14.942,424348,129084,295264,5.5,18.081,-73671,-3.139,29.884,10680,10877,69273
2009,4,91332,120537,2111920,2213633,13023,10.568,18401,14.933,275979,116807,159172,5.277,12.467,479226,164047,315179,7.411,21.649,-203247,-9.182,24.934,11961,12186,97131
2010,4,88457,117683,2053004,2082807,13050,10.969,15622,13.131,286946,113395,173551,5.444,13.777,346275,102516,243759,4.922,16.625,-59329,-2.849,27.554,9735,10016,50969
2011,4,87577,117014,2107291,2080200,13497,11.514,13923,11.877,321015,106013,215002,5.096,15.432,267859,95271,172588,4.58,12.877,53156,2.555,25.753,8795,9051,47988
2012,4,87774,117127,2125167,2116068,12885,11.021,12467,10.663,316876,101224,215652,4.784,14.975,300332,107347,192985,5.073,14.193,16544,0.782,28.386,7512,7736,41117
2013,4,88518,118071,2173903,2147947,12964,11.04,11678,9.945,306630,101208,205422,4.712,14.275,255465,82153,173312,3.825,11.893,51165,2.382,23.787,7152,7249,42593
2014,4,89448,120104,2227557,2200907,13260,11.145,11012,9.255,338143,113549,224594,5.159,15.364,284467,82568,201899,3.752,12.925,53676,2.439,25.85,7101,7230,42258
2015,4,90727,121791,2299424,2264930,13234,10.953,11296,9.349,329909,111694,218215,4.931,14.566,260575,83347,177228,3.68,11.505,69334,3.061,23.01,7054,7245,40318
2016,4,92513,124748,2376075,2337139,13722,11.14,10577,8.587,358115,119133,238982,5.097,15.323,280708,101929,178779,4.361,12.011,77407,3.312,24.022,6985,7191,55674
2017,4,94019,126629,2437737,2404226,13686,10.898,11592,9.231,356067,114963,241104,4.782,14.81,289177,98715,190462,4.106,12.028,66890,2.782,24.056,7428,7585,46186
2018,4,95482,128008,2542914,2490499,13095,10.295,11478,9.024,364069,116231,247838,4.667,14.618,258652,75268,183384,3.022,10.386,105417,4.233,20.771,8242,8495,46330
1978,5,36821,42075,564036,539707,7154,17.401,5227,12.714,122816,49204,73612,9.117,22.756,73746,31801,41945,5.892,13.664,49070,9.092,27.328,3858,3884,17124
1979,5,37250,42551,589212,576411,6211,14.777,5171,12.303,108945,40791,68154,7.077,18.901,82982,30517,52465,5.294,14.396,25963,4.504,28.793,3767,3804,17470
1980,5,37057,42567,591646,591536,5583,13.165,5266,12.417,96434,35458,60976,5.994,16.302,96193,30582,65611,5.17,16.262,241,0.041,32.523,3924,3985,17371
1981,5,36818,42585,591308,590284,5271,12.433,4894,11.543,91171,38031,53140,6.443,15.445,89602,25016,64586,4.238,15.179,1569,0.266,30.359,3376,3416,14736
1982,5,36204,42180,576841,582353,5560,13.193,5486,13.018,90350,37764,52586,6.485,15.515,101396,29415,71981,5.051,17.411,-11046,-1.897,31.029,3955,3986,17798
1983,5,37183,43235,574276,573190,5808,13.702,4114,9.706,92060,31912,60148,5.567,16.061,89805,27521,62284,4.801,15.668,2255,0.393,31.335,2895,2941,13177
1984,5,39236,45419,622247,596798,7062,16.039,4285,9.732,120296,42634,77662,7.144,20.157,69867,25864,44003,4.334,11.707,50429,8.45,23.414,3102,3175,14236
1985,5,39591,45875,650936,633660,6355,14.045,5101,11.273,126765,52844,73921,8.339,20.005,92375,37596,54779,5.933,14.578,34390,5.427,29.156,3836,3901,20901
1986,5,39482,45795,660566,651097,6034,13.297,5203,11.466,117877,45237,72640,6.948,18.104,98480,35292,63188,5.42,15.125,19397,2.979,30.251,3781,3848,19422
1987,5,39549,46160,682402,671678,6398,14.022,5336,11.694,122291,45431,76860,6.764,18.207,100589,35874,64715,5.341,14.976,21702,3.231,29.952,3816,3871,21076
1988,5,40139,47228,704491,694719,6324,13.566,5102,10.945,124432,44266,80166,6.372,17.911,104553,38251,66302,5.506,15.05,19879,2.861,30.099,3604,3643,21373
1989,5,40531,47923,725610,712457,6049,12.791,4782,10.112,124434,48872,75562,6.86,17.465,98554,37475,61079,5.26,13.833,25881,3.633,27.666,3554,3629,22386
1990,5,41362,48967,751678,738029,6163,12.786,4631,9.608,122915,44921,77994,6.087,16.654,95272,29373,65899,3.98,12.909,27643,3.746,25.818,3483,3541,19154
1991,5,41236,49380,757284,753246,5998,12.275,4964,10.159,118617,46347,72270,6.153,15.747,111066,34874,76192,4.63,14.745,7551,1.002,29.49,3612,3660,21679
1992,5,41708,50073,783215,774869,6025,12.189,4737,9.583,130492,44352,86140,5.724,16.841,114019,34503,79516,4.453,14.715,16473,2.126,29.429,3271,3331,20175
1993,5,43077,51382,810857,796306,6340,12.521,4849,9.576,131176,42840,88336,5.38,16.473,102628,35514,67114,4.46,12.888,28548,3.585,25.776,3321,3379,18645
1994,5,44218,52985,838017,825058,6710,12.874,4983,9.56,137063,54002,83061,6.545,16.613,110458,44062,66396,5.34,13.388,26605,3.225,26.776,3567,3655,25357
1995,5,45420,54451,880938,858672,6765,12.616,5105,9.521,147805,51194,96611,5.962,17.213,103049,41593,61456,4.844,12.001,44756,5.212,24.002,3649,3698,22992
1996,5,45793,55112,889503,882170,6477,11.871,5379,9.858,131173,45942,85231,5.208,14.869,116312,36170,80142,4.1,13.185,14861,1.685,26.37,3926,4027,22548
1997,5,46053,55612,899253,895203,6733,12.183,6037,10.924,141191,53097,88094,5.931,15.772,132973,50545,82428,5.646,14.854,8218,0.918,29.708,4210,4322,26136
1998,5,46036,55979,938177,922751,6376,11.432,5963,10.692,153523,61383,92140,6.652,16.638,122515,44589,77926,4.832,13.277,31008,3.36,26.554,4091,4190,24594
1999,5,46052,56297,949518,943436,6351,11.334,5822,10.39,142572,49784,92788,5.277,15.112,130894,48208,82686,5.11,13.874,11678,1.238,27.748,3997,4124,24834
2000,5,46170,56635,988028,968477,6342,11.259,5732,10.176,154569,50458,104111,5.21,15.96,114862,41748,73114,4.311,11.86,39707,4.1,23.72,3803,3890,21067
2001,5,45611,56506,987392,986636,6183,10.959,6009,10.651,143521,56517,87004,5.728,14.547,141628,46581,95047,4.721,14.355,1893,0.192,28.709,4114,4217,24086
2002,5,46004,57392,969132,980693,6864,12.064,5877,10.329,150543,53568,96975,5.462,15.351,174497,63744,110753,6.5,17.793,-23954,-2.443,30.701,3807,3932,24705
2003,5,46517,58258,979735,974066,6425,11.137,5295,9.178,140607,45830,94777,4.705,14.435,129318,40067,89251,4.113,13.276,11289,1.159,26.552,3545,3609,17237
2004,5,47068,58957,993507,986354,6174,10.554,5262,8.995,143911,47047,96864,4.77,14.59,130280,44766,85514,4.539,13.208,13631,1.382,26.416,3606,3665,19580
2005,5,47527,59915,1012268,1004015,6495,10.944,5364,9.038,138491,48631,89860,4.844,13.794,122376,36197,86179,3.605,12.189,16115,1.605,24.377,3824,3881,21881
2006,5,47887,61105,1042434,1026867,7483,12.399,5978,9.905,149085,55309,93776,5.386,14.518,117835,36907,80928,3.594,11.475,31250,3.043,22.95,4387,4471,23301
2007,5,48029,61715,1026303,1033552,6588,10.757,5642,9.213,143212,49684,93528,4.807,13.856,157348,45252,112096,4.378,15.224,-14136,-1.368,27.713,3771,3815,21751
2008,5,47447,61231,1011382,1017922,5700,9.291,5932,9.67,126793,41422,85371,4.069,12.456,139984,40297,99687,3.959,13.752,-13191,-1.296,24.912,4007,4087,21950
2009,5,46617,60486,968495,990343,5383,8.846,6119,10.055,110926,43892,67034,4.432,11.201,155009,44001,111008,4.443,15.652,-44083,-4.451,22.402,4090,4185,25139
2010,5,46127,60158,963807,966526,5162,8.573,5277,8.764,115235,39359,75876,4.072,11.923,120217,33937,86280,3.511,12.438,-4982,-0.515,23.845,3472,3580,20230
2011,5,45703,59851,976330,969367,5216,8.712,5260,8.785,122759,39398,83361,4.064,12.664,109340,30284,79056,3.124,11.28,13419,1.384,22.559,3419,3579,16934
2012,5,45646,59746,971834,973269,5001,8.381,4846,8.122,116235,29737,86498,3.055,11.943,119139,35352,83787,3.632,12.241,-2904,-0.298,23.885,3088,3165,17744
2013,5,45507,59766,975274,973906,5164,8.661,4886,8.194,115974,35851,80123,3.681,11.908,112898,39943,72955,4.101,11.592,3076,0.316,23.185,3164,3246,19218
2014,5,45398,59808,986083,980549,4830,8.093,4573,7.663,114333,35568,78765,3.627,11.66,103323,36381,66942,3.71,10.537,11010,1.123,21.075,3107,3164,15675
