New Orleans,John B. Robertson,"New Orleans, LA",LA,New Orleans,Cornelius Noonan,"New Orleans, LA",LA,34.0,M,Floyd,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,1021.33,1
New Orleans,Phillip Jason Frederick Woods,"New Orleans, LA",LA,New Orleans,Holland McTyeire,"New Orleans, LA",LA,43.0,F,Isabella,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,150.0,1
New Orleans,Sarah Potee,"New Orleans, LA",LA,New Orleans,John Brohan,"New Orleans, LA",LA,48.0,F,Criddy,Negro,11/17/1856,1,0,1,0.00602698,Cash,0.07477,230.0,1
New Orleans,John H. Follett,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,23.0,F,Ida,Griff,11/18/1856,1,0,1,0.00602698,Cash,0.07477,1250.0,1
Calcasieu,Jacob Cole,"Calcasieu, LA",LA,New Orleans,William Jackson Maynard,"New Orleans, LA",LA,13.0,F,Aline,Negro,11/15/1856,1,0,1,0.00602698,Cash,0.07477,800.0,1
New Orleans,Catherine Pradat,"New Orleans, LA",LA,New Orleans,Norbert Vignie,"New Orleans, LA",LA,23.0,F,Isabella,Negro,11/18/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,975.0,1
New Orleans,Manuel Elliot,"New Orleans, LA",LA,St. Bernard,Antoine Landier,"St. Bernard, LA",LA,23.0,F,Rosa,Negro,11/19/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,1235.0,1
New Orleans,Thomas L. Bayne,"New Orleans, LA",LA,New Orleans,Genevieve Odile Longer,"New Orleans, LA",LA,40.0,F,Mathilda,Negro,11/14/1856,1,1,2,0.00602698,Cash,0.07477,1500.0,1
New Orleans,Louis Caretta,"New Orleans, LA",LA,New Orleans,"Marie, Marthe Millaudon","New Orleans, LA",LA,55.0,F,Ann/ Celeste,Unknown,11/6/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,220.0,1
New Orleans,John A. Kranz,"New Orleans, LA",LA,New Orleans,Richard Farrell Harrison,"New Orleans, LA",LA,20.0,F,Mary Jane,Mulatto,11/21/1856,1,1,2,0.005790818,Cash and Credit,0.07174632,1075.0,1
New Orleans,Pierre Ninon Faisans,"New Orleans, LA",LA,New Orleans,Thomas Charles Payan,"New Orleans, LA",LA,19.0,F,Sarah,Mulatto,11/21/1856,1,0,1,0.005790818,Cash and Credit,0.07174632,1200.0,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,East Feliciana,James R. Shelton,"East Feliciana, LA",LA,22.0,M,Dudly Green,Negro,11/22/1856,1,0,1,0.00602698,Cash,0.07477,900.0,1
New Orleans,Charles Metye,"New Orleans, LA",LA,New Orleans,Anette Malus,"New Orleans, LA",LA,37.0,F,Cidalize,Negro,11/24/1856,1,0,1,0.00602698,Cash,0.07477,900.0,1
Orleans,John F. Hughes,"Orleans, LA",LA,Herckman,Felix C. McFall,"Herckman, KY",KY,22.0,M,Henry,Griff,11/5/1856,1,0,1,0.00602698,Cash,0.07477,1200.0,1
St. Bernard,Maria Morales,"St. Bernard, LA",LA,New Orleans,Antonio de Monasterio,"New Orleans, LA",LA,30.0,F,Mary Ann,Negro,11/25/1856,1,0,1,0.00602698,Exchange,0.07477,700.0,1
New Orleans,Antonio de Monasterio,"New Orleans, LA",LA,St. Bernard,Maria Morales,"St. Bernard, LA",LA,14.0,F,Philomene,Negro,11/25/1856,1,0,1,0.00602698,Exchange,0.07477,700.0,1
New Orleans,Truman Cook Holmes,"New Orleans, LA",LA,New Orleans,D. G. Hill,"New Orleans, LA",LA,23.0,M,Moses,Negro,11/17/1856,1,0,1,0.00602698,Cash,0.07477,1200.0,1
New Orleans,William Jackson Maynard,"New Orleans, LA",LA,New Orleans,Numa Lacoste,"New Orleans, LA",LA,27.0,M,Auguste,Negro,11/25/1856,1,0,1,0.00602698,Cash,0.07477,825.0,1
St. Louis,John Ruckner White,"St. Louis, MO",MO,Pointe Coupee,John L. Daniel,"Pointe Coupee, LA",LA,25.0,M,Phil,Mulatto,11/24/1856,1,0,1,0.00602698,Cash,0.07477,800.0,1
New Orleans,Abraham Haber,"New Orleans, LA",LA,New Orleans,Thomas Emile Benoit,"New Orleans, LA",LA,16.0,F,Lucy,Negro,11/14/1856,1,0,1,0.00602698,Cash,0.07477,900.0,1
New Orleans,Henry Cassidy,"New Orleans, LA",LA,New Orleans,Henry Weber,"New Orleans, LA",LA,31.0,F,Maria,Griff,11/22/1856,1,0,1,0.00602698,Cash,0.07477,600.0,1
New Orleans,Hippolyte Griffon,"New Orleans, LA",LA,St. Louis,Robert Eager,"St. Louis, MS",MS,13.0,M,John,Negro,11/18/1856,1,0,1,0.006114795,Credit,0.07589632,800.0,1
New Orleans,Joseph Hoy,"New Orleans, LA",LA,New Orleans,Tyler C. Boswell,"New Orleans, LA",LA,32.0,M,Richard/ Dick,Negro,11/26/1856,1,0,1,0.00602698,Cash,0.07477,1000.0,1
New Orleans,Augustine Lion,"New Orleans, LA",LA,New Orleans,Charles Joseph Daron,"New Orleans, LA",LA,54.0,F,Azelie,Negro,11/27/1856,1,0,1,0.00602698,Cash,0.07477,150.0,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,New Orleans,Adelaide Aubry,"New Orleans, LA",LA,30.0,F,Louise,Negro,11/18/1856,1,0,1,0.00602698,Cash,0.07477,900.0,1
